headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
pen,noun,A1,ruchka,ручка,A thing you write with using ink.,pen,2400,school,Write your name with a pen.,Ismingizni ruchka bilan yozing.,,
pencil,noun,A1,qalam,карандаш,A thing you write or draw with.,ˈpensəl,2900,school,Draw a picture with a pencil.,Qalam bilan rasm chizing.,,
question,noun,A1,savol,вопрос,Words that you say to get an answer.,ˈkwestʃən,550,school,Can I ask a question?,Savol bersam bo'ladimi?,,answer
read,verb,A1,o'qimoq,читать,To look at words and understand them.,riːd,600,school,I read books before sleep.,Uxlashdan oldin kitob o'qiyman.,,write
school,noun,A1,maktab,школа,A place where children learn.,skuːl,320,school,Our school has a big library.,Maktabimizda katta kutubxona bor.,,
student,noun,A1,o'quvchi,ученик,A person who studies at school.,ˈstjuːdənt,480,school,She is a good student.,U yaxshi o'quvchi.,pupil,teacher
teacher,noun,A1,o'qituvchi,учитель,A person who helps students learn.,ˈtiːtʃə,520,school,Our teacher explains everything well.,O'qituvchimiz hammasini yaxshi tushuntiradi.,,student
word,noun,A1,so'z,слово,A group of letters with a meaning.,wɜːd,420,school,What does this word mean?,Bu so'z nimani anglatadi?,,
write,verb,A1,yozmoq,писать,To put words on paper.,raɪt,580,school,Write a short text about your family.,Oilangiz haqida qisqa matn yozing.,,read
paper,noun,A1,qog'oz,бумага,Thin white material for writing.,ˈpeɪpə,1600,school,Take a piece of paper.,Bir varaq qog'oz oling.,,
study,verb,A1,o'qimoq (ta'lim olmoq),учиться,To spend time learning.,ˈstʌdi,700,school,My sister studies at university.,Opam universitetda o'qiydi.,learn,
boss,noun,A1,boshliq,начальник,The person you work for.,bɒs,2500,work,My boss is very kind.,Boshlig'im juda mehribon.,,
busy,adjective,A1,band,занятый,Having many things to do.,ˈbɪzi,1400,work,I am busy on Mondays.,Dushanba kunlari bandman.,,free
doctor,noun,A1,shifokor,врач,A person who helps sick people.,ˈdɒktə,800,work,The doctor works at the hospital.,Shifokor kasalxonada ishlaydi.,,
driver,noun,A1,haydovchi,водитель,A person who drives a car or bus.,ˈdraɪvə,1900,work,The taxi driver knows the city well.,Taksi haydovchisi shaharni yaxshi biladi.,,
job,noun,A1,ish (kasb),работа,The work you do for money.,dʒɒb,650,work,She has a new job at a bank.,Uning bankda yangi ishi bor.,work,
money,noun,A1,pul,деньги,You use it to buy things.,ˈmʌni,380,work,Save your money for books.,Pulingizni kitoblar uchun jamg'aring.,,
office,noun,A1,ofis,офис,A room where people work at desks.,ˈɒfɪs,1100,work,My father works in an office.,Otam ofisda ishlaydi.,,
police,noun,A1,politsiya,полиция,People whose job is to keep us safe.,pəˈliːs,1300,work,Call the police for help.,Yordam uchun politsiyani chaqiring.,,
work,verb,A1,ishlamoq,работать,To do a job.,wɜːk,250,work,I work from nine to six.,Men to'qqizdan oltigacha ishlayman.,,rest
worker,noun,A1,ishchi,рабочий,A person who works.,ˈwɜːkə,1800,work,The workers build a new road.,Ishchilar yangi yo'l qurmoqda.,,
nurse,noun,A1,hamshira,медсестра,A person who helps doctors and sick people.,nɜːs,2100,work,The nurse gives medicine to patients.,Hamshira bemorlarga dori beradi.,,
farmer,noun,A1,fermer,фермер,A person who grows food on a farm.,ˈfɑːmə,2400,work,The farmer grows cotton and wheat.,Fermer paxta va bug'doy yetishtiradi.,,
airport,noun,A1,aeroport,аэропорт,The place where planes go up and come down.,ˈeəpɔːt,2800,travel,We arrive at the airport at six.,Biz aeroportga oltida yetib boramiz.,,
bag,noun,A1,sumka,сумка,A thing you carry your things in.,bæɡ,1500,travel,My bag is very heavy.,Sumkam juda og'ir.,,
bicycle,noun,A1,velosiped,велосипед,A thing with two wheels that you ride.,ˈbaɪsɪkəl,2900,travel,He goes to school by bicycle.,U maktabga velosipedda boradi.,bike,
bus,noun,A1,avtobus,автобус,A big car that carries many people.,bʌs,1400,travel,The bus comes every ten minutes.,Avtobus har o'n daqiqada keladi.,,
car,noun,A1,mashina,машина,A road vehicle with four wheels.,kɑː,600,travel,My uncle has a white car.,Amakimning oq mashinasi bor.,,
city,noun,A1,shahar,город,A big place with many people and buildings.,ˈsɪti,550,travel,Tashkent is a big city.,Toshkent katta shahar.,town,village
country,noun,A1,mamlakat,страна,A land with its own people like Uzbekistan.,ˈkʌntri,450,travel,Uzbekistan is a beautiful country.,O'zbekiston go'zal mamlakat.,,
go,verb,A1,bormoq,идти,To move from one place to another.,ɡəʊ,50,travel,We go to the bazaar on Sunday.,Biz yakshanba kuni bozorga boramiz.,,come
holiday,noun,A1,ta'til,отпуск,Days when you do not work or study.,ˈhɒlədeɪ,1900,travel,We visit Samarkand on holiday.,Ta'tilda Samarqandga boramiz.,vacation,
hotel,noun,A1,mehmonxona,гостиница,A place where you pay to sleep.,həʊˈtel,1700,travel,The hotel is near the station.,Mehmonxona vokzal yaqinida.,,
map,noun,A1,xarita,карта,A picture that shows roads and places.,mæp,2500,travel,Look at the map to find the street.,Ko'chani topish uchun xaritaga qarang.,,
plane,noun,A1,samolyot,самолёт,A machine that flies in the sky.,pleɪn,2000,travel,The plane flies to Istanbul.,Samolyot Istanbulga uchadi.,airplane,
road,noun,A1,yo'l,дорога,A way that cars travel on.,rəʊd,900,travel,This road goes to Fergana.,Bu yo'l Farg'onaga boradi.,way,
station,noun,A1,bekat,вокзал,A place where trains or buses stop.,ˈsteɪʃən,1800,travel,The train station is old and beautiful.,Temir yo'l vokzali eski va chiroyli.,,
stop,verb,A1,to'xtamoq,останавливаться,To not move any more.,stɒp,800,travel,The bus stops here.,Avtobus shu yerda to'xtaydi.,,start
street,noun,A1,ko'cha,улица,A road in a city with houses.,striːt,1000,travel,Our street is very quiet.,Ko'chamiz juda tinch.,road,
taxi,noun,A1,taksi,такси,A car that you pay to ride in.,ˈtæksi,2600,travel,Take a taxi to the airport.,Aeroportga taksida boring.,,
ticket,noun,A1,chipta,билет,A paper that lets you ride or enter.,ˈtɪkɪt,2100,travel,Buy two tickets for the train.,Poyezdga ikkita chipta oling.,,
train,noun,A1,poyezd,поезд,A long vehicle that runs on rails.,treɪn,1300,travel,The fast train goes to Samarkand.,Tezyurar poyezd Samarqandga boradi.,,
travel,verb,A1,sayohat qilmoq,путешествовать,To go to other places or countries.,ˈtrævəl,1600,travel,I want to travel around the world.,Men dunyo bo'ylab sayohat qilishni xohlayman.,,
walk,verb,A1,piyoda yurmoq,ходить пешком,To move on your feet.,wɔːk,750,travel,We walk in the park every evening.,Biz har kuni kechqurun bog'da yuramiz.,,
trip,noun,A1,safar,поездка,A short travel to a place.,trɪp,2200,travel,Our school trip is on Friday.,Maktab sayohatimiz juma kuni.,journey,
cloud,noun,A1,bulut,облако,A white or grey thing in the sky.,klaʊd,2700,nature,There are dark clouds in the sky.,Osmonda qora bulutlar bor.,,
cold,adjective,A1,sovuq,холодный,Having a low temperature like winter.,kəʊld,700,nature,Winter is very cold here.,Bu yerda qish juda sovuq.,,hot
flower,noun,A1,gul,цветок,The beautiful colored part of a plant.,ˈflaʊə,1800,nature,She gives flowers to her mother.,U onasiga gul sovg'a qiladi.,,
grass,noun,A1,o't (maysa),трава,The green plant that covers the ground.,ɡrɑːs,2400,nature,Children play on the grass.,Bolalar maysada o'ynaydi.,,
hot,adjective,A1,issiq,горячий,Having a high temperature like fire.,hɒt,650,nature,Summer in Uzbekistan is very hot.,O'zbekistonda yoz juda issiq.,warm,cold
moon,noun,A1,oy,луна,The round light in the sky at night.,muːn,2300,nature,The moon is bright tonight.,Bugun kechasi oy yorug'.,,sun
mountain,noun,A1,tog',гора,A very high part of the land.,ˈmaʊntɪn,1500,nature,The mountains are white in winter.,Qishda tog'lar oppoq bo'ladi.,,
rain,noun,A1,yomg'ir,дождь,Water that falls from the sky.,reɪn,1600,nature,The rain is strong today.,Bugun yomg'ir kuchli.,,
river,noun,A1,daryo,река,A long line of water that moves to the sea.,ˈrɪvə,1400,nature,The Amu Darya is a big river.,Amudaryo katta daryo.,,
sea,noun,A1,dengiz,море,A very big area of salt water.,siː,1100,nature,Children love swimming in the sea.,Bolalar dengizda suzishni yaxshi ko'radi.,,
sky,noun,A1,osmon,небо,The blue space above the earth.,skaɪ,1700,nature,The sky is clear and blue.,Osmon tiniq va ko'm-ko'k.,,
snow,noun,A1,qor,снег,Soft white water that falls in winter.,snəʊ,2000,nature,Snow falls in January.,Yanvarda qor yog'adi.,,
star,noun,A1,yulduz,звезда,A small light in the sky at night.,stɑː,1900,nature,We count stars at night.,Kechasi yulduzlarni sanaymiz.,,
sun,noun,A1,quyosh,солнце,The big hot light in the sky in the day.,sʌn,1200,nature,The sun rises early in summer.,Yozda quyosh erta chiqadi.,,moon
tree,noun,A1,daraxt,дерево,A tall plant with leaves and branches.,triː,1300,nature,Birds sing in the trees.,Qushlar daraxtlarda sayraydi.,,
weather,noun,A1,ob-havo,погода,How hot or cold or rainy it is outside.,ˈweðə,1500,nature,The weather is nice today.,Bugun ob-havo yaxshi.,,
wind,noun,A1,shamol,ветер,Air that moves fast outside.,wɪnd,2100,nature,A cold wind blows from the mountains.,Tog'lardan sovuq shamol esadi.,,
warm,adjective,A1,iliq,тёплый,A little hot in a nice way.,wɔːm,1400,nature,Spring days are warm.,Bahor kunlari iliq bo'ladi.,,cold
animal,noun,A1,hayvon,животное,A living thing like a cat or horse.,ˈænɪməl,1100,animals,Wild animals live in the mountains.,Yovvoyi hayvonlar tog'larda yashaydi.,,
bird,noun,A1,qush,птица,An animal with wings that can fly.,bɜːd,1500,animals,The birds fly to warm countries.,Qushlar issiq mamlakatlarga uchib ketadi.,,
cat,noun,A1,mushuk,кошка,A small soft animal that says meow.,kæt,1800,animals,Our cat sleeps all day.,Mushugimiz kun bo'yi uxlaydi.,,
cow,noun,A1,sigir,корова,A big farm animal that gives milk.,kaʊ,2400,animals,The cow gives us milk.,Sigir bizga sut beradi.,,
dog,noun,A1,it,собака,An animal that is a good friend to people.,dɒɡ,1600,animals,The dog plays in the garden.,It bog'da o'ynayapti.,,
duck,noun,A1,o'rdak,утка,A bird that swims on water.,dʌk,3000,animals,Ducks swim in the lake.,O'rdaklar ko'lda suzadi.,,
elephant,noun,A1,fil,слон,A very big grey animal with a long nose.,ˈelɪfənt,3200,animals,The elephant is the biggest land animal.,Fil quruqlikdagi eng katta hayvon.,,
fish,noun,A1,baliq,рыба,An animal that lives and swims in water.,fɪʃ,1400,animals,There are many fish in this river.,Bu daryoda baliq ko'p.,,
horse,noun,A1,ot,лошадь,A big animal that people ride.,hɔːs,1900,animals,He rides a horse very well.,U otda juda yaxshi yuradi.,,
lion,noun,A1,sher,лев,A big wild cat that is called the king of animals.,ˈlaɪən,3100,animals,The lion is a strong animal.,Sher kuchli hayvon.,,
mouse,noun,A1,sichqon,мышь,A very small animal with a long tail.,maʊs,2900,animals,The cat runs after the mouse.,Mushuk sichqonning orqasidan yuguradi.,,
sheep,noun,A1,qo'y,овца,A farm animal with soft white wool.,ʃiːp,2600,animals,The sheep eat grass on the hill.,Qo'ylar tepalikda o't yeydi.,,
arm,noun,A1,qo'l (yelkadan panjagacha),рука,The part of the body from shoulder to hand.,ɑːm,1700,body-health,My arm hurts after sport.,Sportdan keyin qo'lim og'riyapti.,,
back,noun,A1,orqa (bel),спина,The part of the body behind you.,bæk,1300,body-health,Sit straight to help your back.,Belingiz uchun tik o'tiring.,,
body,noun,A1,tana,тело,All of a person from head to feet.,ˈbɒdi,1200,body-health,Sport is good for the body.,Sport tana uchun foydali.,,
ear,noun,A1,quloq,ухо,The part of the body you hear with.,ɪə,2200,body-health,Rabbits have long ears.,Quyonlarning quloqlari uzun.,,
eye,noun,A1,ko'z,глаз,The part of the body you see with.,aɪ,900,body-health,She has beautiful brown eyes.,Uning chiroyli qo'ng'ir ko'zlari bor.,,
face,noun,A1,yuz,лицо,The front part of the head.,feɪs,1000,body-health,Wash your face every morning.,Har kuni ertalab yuzingizni yuving.,,
foot,noun,A1,oyoq panjasi,ступня,The part of the body you stand on.,fʊt,1500,body-health,My left foot hurts.,Chap oyog'im og'riyapti.,,
hair,noun,A1,soch,волосы,It grows on your head.,heə,1400,body-health,Her hair is long and black.,Uning sochlari uzun va qora.,,
hand,noun,A1,qo'l (panja),рука,The part of the body you hold things with.,hænd,800,body-health,Wash your hands before eating.,Ovqatdan oldin qo'lingizni yuving.,,
head,noun,A1,bosh,голова,The top part of the body with eyes and mouth.,hed,700,body-health,Put the hat on your head.,Boshingizga do'ppi kiying.,,
health,noun,A1,salomatlik,здоровье,How well your body is.,helθ,1600,body-health,Fruit and sport are good for health.,Meva va sport salomatlik uchun foydali.,,
ill,adjective,A1,kasal,больной,Not healthy or well.,ɪl,1900,body-health,He is ill and stays at home.,U kasal va uyda qolyapti.,sick,healthy
leg,noun,A1,oyoq,нога,The long part of the body you walk with.,leɡ,1450,body-health,Football players have strong legs.,Futbolchilarning oyoqlari kuchli.,,
mouth,noun,A1,og'iz,рот,The part of the face you eat and speak with.,maʊθ,1650,body-health,Open your mouth and say aaa.,Og'zingizni oching va aaa deng.,,
nose,noun,A1,burun,нос,The part of the face you smell with.,nəʊz,2100,body-health,My nose is cold in winter.,Qishda burnim sovqotadi.,,
tooth,noun,A1,tish,зуб,The white hard things in your mouth.,tuːθ,1950,body-health,Clean your teeth two times a day.,Tishlaringizni kuniga ikki marta yuving.,,
sick,adjective,A1,kasal (behol),больной,Not well in your body.,sɪk,1800,body-health,She feels sick after the long trip.,Uzoq safardan keyin u o'zini yomon his qilyapti.,ill,healthy
tired,adjective,A1,charchagan,усталый,Wanting to rest or sleep.,taɪəd,1550,body-health,I am tired after work.,Ishdan keyin charchayman.,,
