headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,example_ru,synonyms,antonyms,word_family,common_mistake
spell out,phrasal verb,B2,"batafsil tushuntirmoq, ochiq-oydin aytmoq","разъяснять, подробно объяснять",to explain something clearly and in explicit detail,/spel ˈaʊt/,20021,phrasal,You do not need to spell out every detail; I understand the situation.,Har bir tafsilotni batafsil tushuntirishingiz shart emas; men vaziyatni tushunib turibman.,Вам не нужно подробно объяснять каждую деталь; я понимаю ситуацию.,"clarify, specify, explain","obscure, confuse",spell out (verb),"Bu ibora ko'chma ma'noda aniq tushuntirishni anglatadi, shunchaki harflab aytishni emas."
step down,phrasal verb,B2,"lavozimidan ketmoq, iste'foga chiqmoq","уходить в отставку, покидать пост",to resign or leave a position of authority or responsibility,/step ˈdaʊn/,20023,phrasal,The chief executive decided to step down following the scandal.,Bosh ijrochi direktor mojarodan so'ng lavozimidan ketishga qaror qildi.,Генеральный директор решил уйти в отставку после скандала.,"resign, retire, stand down","take office, step up, assume power",step down (verb),"Lavozimdan ketish ma'nosida 'step down from' ishlatiladi, 'step down of' emas."
die down,phrasal verb,B2,"pasaymoq, tinchimoq, susaymoq","утихать, затихать","to become less noisy, strong, or active",/daɪ ˈdaʊn/,20025,phrasal,We waited for the storm to die down before leaving the house.,Uydan chiqishdan oldin bo'ronning tinchishini kutdik.,"Мы подождали, пока буря утихнет, прежде чем выйти из дома.","subside, abate, lessen","intensify, grow, escalate",die down (verb),"Ushbu iboraning o'limga aloqasi yo'q; u shovqin, shamol yoki hayajonning pasayishini bildiradi."
opt out,phrasal verb,B2,"voz kechmoq, qatnashmaslikni tanlamoq","отказаться от участия, выходить",to choose not to participate in something or to stop belonging to a scheme,/ɒpt ˈaʊt/,20027,phrasal,Members can opt out of the new pension scheme if they wish.,"A'zolar agar xohlasalar, yangi pensiya tizimida qatnashmaslikni tanlashlari mumkin.","Участники могут отказаться от участия в новой пенсионной схеме, если пожелают.","withdraw, decline, bow out","opt in, participate, join","opt out (verb), opt-out (noun)","'Opt out'dan keyin predlog sifatida 'of' ishlatiladi ('opt out of something'), 'from' emas."
wipe out,phrasal verb,B2,"butunlay yo'q qilmoq, qirib tashlamoq","уничтожать, стирать с лица земли",to destroy or eliminate something completely,/waɪp ˈaʊt/,20029,phrasal,The disease threatened to wipe out the entire livestock population.,Kasallik butun chorva mollarini yo'q qilib yuborish bilan tahdid qildi.,Болезнь угрожала полностью уничтожить все поголовье скота.,"eradicate, exterminate, destroy","create, build, preserve",wipeout (noun),"Ot shakli 'wipeout' (birga), lekin fe'l iborasi 'wipe out' (alohida yoziladi)."
gloss over,phrasal verb,C1,"ko'rmaganlikka olmoq, yuzaki yoritmoq","замалчивать, уходить от подробностей",to treat or describe something as if it were not important or to avoid discussing it,/ɡlɒs ˈəʊvə/,20031,phrasal,The report tried to gloss over the company's financial losses.,Hisobotda kompaniyaning moliyaviy yo'qotishlarini ko'rmaganlikka olishga harakat qilindi.,В отчете попытались замолчать финансовые потери компании.,"cover up, downplay, ignore","highlight, emphasize, dwell on",gloss over (verb),'Gloss over' asosan kamchilik yoki xatolarni berkitish va yuzaki o'tib ketishda ishlatiladi.
fizzle out,phrasal verb,C1,"sekin-asta so'nmoq, muvaffaqiyatsiz tugamoq","сходить на нет, заглохнуть",to gradually end or fail in a weak or disappointing way,/ˈfɪzl ˈaʊt/,20033,phrasal,The protest movement gradually fizzled out due to lack of support.,Norozilik harakati qo'llab-quvvatlash yo'qligi sababli sekin-asta so'nib qoldi.,Протестное движение постепенно сошло на нет из-за отсутствия поддержки.,"peter out, die away, fade","succeed, flourish, peak",fizzle out (verb),"Bu ibora birdaniga keskin to'xtashni emas, sekin-asta so'nib yo'q bo'lishni anglatadi."
call in,phrasal verb,B2,mutaxassisni chaqirmoq,вызывать (специалиста),to ask a specialist or expert to come and help with a situation,/ˌkɔːl ˈɪn/,20035,phrasal,The company had to call in a consultant to solve the technical problem.,Kompaniya texnik muammoni hal qilish uchun konsultant chaqirishga majbur bo'ldi.,"Компании пришлось вызвать консультанта, чтобы решить техническую проблему.","summon, call upon, bring in",,call-in (noun),Do not confuse 'call in' (ask to come) with 'call back' (return a phone call).
come along,phrasal verb,B1,"rivojlanmoq, siljimoq","продвигаться, улучшаться",to make progress or improve in quality or development,/ˌkʌm əˈlɒŋ/,20037,phrasal,Her English skills are coming along very well this term.,Uning ingliz tili ko'nikmalari bu chorakda juda yaxshi rivojlanmoqda.,Её навыки английского языка в этой четверти заметно улучшаются.,"progress, improve, advance","worsen, deteriorate",,Avoid using the preposition 'to' after 'come along' when it means 'make progress'.
come up,phrasal verb,B1,"o'rtaga tushmoq, tilga olinmoq","всплывать, подниматься (о вопросе)",to be mentioned or discussed in a conversation or meeting,/ˌkʌm ˈʌp/,20039,phrasal,The topic of salary increases came up during yesterday's meeting.,Kechagidek majlisda maoshlarni oshirish mavzusi o'rtaga tushdi.,Тема повышения зарплаты всплыла во время вчерашнего собрания.,"arise, emerge, be mentioned",,,'Come up' in this sense is intransitive; do not attach a direct object to it.
cut off,phrasal verb,B2,uzib qo'ymoq (ta'minotni),"отключать, прекращать подачу","to stop the supply of electricity, water, gas, or telephone service",/ˌkʌt ˈɒf/,20041,phrasal,The company cut off our electricity because we paid the bill late.,Kompaniya hisobni kech to'laganimiz uchun elektr energiyamizni uzib qo'ydi.,"Компания отключила нам электричество, потому что мы поздно оплатили счет.","disconnect, sever, stop","connect, restore",cutoff (noun),"Use 'cut off', not 'cut out', when referring to disconnecting utilities."
fall behind,phrasal verb,B2,orqada qolmoq,отставать,"to fail to keep up with a schedule, work, or payments",/ˌfɔːl bɪˈhaɪnd/,20043,phrasal,"If you miss too many classes, you will quickly fall behind.","Agar juda ko'p darslarni qoldirsangiz, tezda orqada qolib ketasiz.","Если вы пропустите слишком много занятий, вы быстро отстанете.","lag, trail, get behind","keep up, get ahead",,Do not use 'back' instead of 'behind'; 'fall back' means to retreat.
get through,phrasal verb,B2,telefon orqali bog'lanmoq,дозвониться,to succeed in speaking to someone on the telephone,/ˌɡet ˈθruː/,20045,phrasal,"I tried calling customer service, but I couldn't get through.","Men mijozlarga xizmat ko'rsatish bo'limiga qo'ng'iroq qilishga urindim, lekin bog'lana olmadim.","Я пытался позвонить в службу поддержки, но не смог дозвониться.","reach, connect with, contact",,,Remember to include 'to' when mentioning the person: 'get through to someone'.
lay off,phrasal verb,B2,ishdan bo'shatmoq (qisqartirish sababli),увольнять (из-за сокращения),to stop employing someone because there is not enough work available,/ˌleɪ ˈɒf/,20047,phrasal,The factory had to lay off fifty workers due to falling sales.,Zavod savdo hajmi kamaygani sababli ellikta ishchini ishdan bo'shatishga majbur bo'ldi.,Заводу пришлось уволить пятьдесят рабочих из-за падения продаж.,"make redundant, dismiss, let go","hire, employ, recruit",layoff (noun),"'Lay off' implies redundancy for economic reasons, whereas 'fire' usually implies misconduct."
look back,phrasal verb,B1,"o'tmishga nazar tashlamoq, eslamoq","оглядываться назад, вспоминать",to think about something that happened in the past,/ˌlʊk ˈbæk/,20049,phrasal,"When I look back on my school years, I realise how lucky I was.","Maktab yillarimga nazar tashlaganimda, qanchalik omadli bo'lganimni tushunaman.","Когда я оглядываюсь на свои школьные годы, я понимаю, как мне повезло.","reflect on, recall, remember",look ahead,,"Use the preposition 'on' or 'at' after 'look back', not 'to'."
pass out,phrasal verb,B1,hushidan ketmoq,"терять сознание, падать в обморок",to lose consciousness for a short time,/ˌpɑːs ˈaʊt/,20051,phrasal,It was so hot in the room that one student passed out.,Xonada issiq juda kuchli bo'lganidan bir talaba hushidan ketdi.,"В комнате было так жарко, что один студент упал в обморок.","faint, lose consciousness","come round, wake up",,Do not confuse 'pass out' (faint) with 'pass away' (die).
stand in,phrasal verb,B2,"o'rnini bosmoq, vaqtincha almashtirmoq",заменять (кого-либо),to temporarily take the place of someone who is absent,/ˌstænd ˈɪn/,20053,phrasal,Another teacher had to stand in for Mr Smith while he was ill.,Janob Smit kasal bo'lganida boshqa o'qituvchi uning o'rniga dars o'tishiga to'g'ri keldi.,"Другому учителю пришлось заменить мистера Смита, пока тот болел.","deputise, substitute, cover for",,stand-in (noun),Always use 'for' after 'stand in' when identifying the person being replaced.
step up,phrasal verb,B2,"kuchaytirmoq, oshirmoq","усиливать, наращивать","to increase the amount, speed, or intensity of something",/ˌstep ˈʌp/,20055,phrasal,The police have stepped up security around the stadium.,Politsiya stadion atrofida xavfsizlik choralarini kuchaytirdi.,Полиция усилила меры безопасности вокруг стадиона.,"increase, boost, intensify","scale down, reduce",,Do not confuse 'step up' (increase) with 'step down' (resign from a post).
take back,phrasal verb,B1,gapini qaytarib olmoq,брать свои слова обратно,to admit that something you said was wrong or untrue,/ˌteɪk ˈbæk/,20057,phrasal,"I was wrong to call you lazy, and I take back what I said.",Sizni dangasa deb xato qildim va aytgan gaplarimni qaytarib olaman.,"Я был неправ, назвав вас ленивым, и беру свои слова обратно.","retract, withdraw, recant",,,"When using a pronoun like 'it', place it between 'take' and 'back' ('take it back')."
turn into,phrasal verb,B1,"aylanmoq, aylantirmoq","превращаться, превращать",to change or develop into something different,/ˌtɜːn ˈɪntə/,20059,phrasal,Our short meeting turned into a three-hour discussion.,Qisqa uchrashuvimiz uch soatlik muhokamaga aylanib ketdi.,Наша короткая встреча превратилась в трехчасовое обсуждение.,"become, transform into, convert into",,,Do not use 'turn in' when you mean 'change into'; 'turn in' means to submit or go to bed.
wear out,phrasal verb,B1,"to'zimoq, eyilmoq","изнашиваться, изнашивать",to become thin or damaged through long or frequent use,/ˌweər ˈaʊt/,20061,phrasal,Cheap shoes tend to wear out very quickly.,Arzon poyabzallar juda tez to'zib ketadi.,Дешевая обувь имеет тенденцию очень быстро изнашиваться.,"deteriorate, fray, erode",,worn-out (adjective),Remember the irregular past forms: 'wore out' and 'worn out'.
wind up,phrasal verb,B2,"tushib qolmoq, yakunlanmoq","оказаться, очутиться","to find yourself in a particular place or situation, usually unexpectedly",/ˌwaɪnd ˈʌp/,20063,phrasal,"If you carry on driving like that, you will wind up in hospital.","Agar bunday haydashda davom etsangiz, kasalxonaga tushib qolasiz.","Если вы продолжите так водить, то окажетесь в больнице.","end up, finish up",,,"Pronounce the verb as /waɪnd/ (rhyming with 'find'), not /wɪnd/."
brush up on,phrasal verb,B2,"bilimini oshirmoq, takrorlab olmoq","освежить в памяти, подтянуть",to improve your knowledge or skill in something that you used to know well,/brʌʃ ʌp ɒn/,20065,phrasal,I need to brush up on my French before traveling to Paris.,Parijga borishdan oldin fransuz tilimni takrorlab olishim kerak.,Мне нужно освежить в памяти свой французский перед поездкой в Париж.,"review, refresh, polish up","forget, neglect",brush up (verb),Oʻrganilayotgan fan yoki til haqida gapirganda 'on' predlogini tushirib qoldirmang.
come down with,phrasal verb,B1,"kasal boʻlib qolmoq, yuqtirib olmoq","заболеть, слечь с",to start to suffer from a minor illness,/kʌm daʊn wɪð/,20067,phrasal,I think I am coming down with a cold.,"Meningcha, men shamollab qolayapman.","Кажется, я заболеваю простудой.","catch, contract, fall ill with",recover from,come down (verb),"Ushbu ibora odatda yengilroq kasalliklar (gripp, shamollash) uchun ishlatiladi."
get across,phrasal verb,B2,"tushuntira olmoq, yetkazib bermoq","донести (мысль), четко объяснить",to successfully communicate an idea or message to people,/ɡet əˈkrɒs/,20069,phrasal,The teacher managed to get her message across to the students.,Oʻqituvchi oʻz fikrini oʻquvchilarga tushuntirib bera oldi.,Учителю удалось донести свою мысль до учеников.,"convey, communicate, put across","confuse, obscure",get across (verb),'Get across' doim tushunilishi kerak bo'lgan g'oya yoki fikr bilan birga keladi.
cut back on,phrasal verb,B2,"kamaytirmoq, qisqartirmoq","сократить, урезать","to reduce the amount of something that you eat, drink, or use",/kʌt bæk ɒn/,20071,phrasal,The doctor told him to cut back on sugar.,Shifokor unga shakarni kamaytirishni aytdi.,Врач посоветовал ему сократить потребление сахара.,"reduce, decrease, trim","increase, raise",cutback (noun),Xarajat yoki iste'molni qisqartirishda 'cut back on' birikmasida 'on' predlogi shart.
bring in,phrasal verb,B2,"joriy etmoq, kiritmoq","внедрять, вводить (закон)","to introduce a new law, system, or rule",/brɪŋ ɪn/,20073,phrasal,The government plans to bring in new laws to reduce pollution.,Hukumat ifloslanishni kamaytirish uchun yangi qonunlarni joriy etishni rejalashtirmoqda.,Правительство планирует ввести новые законы для уменьшения загрязнения.,"introduce, enact, implement","abolish, repeal",bring in (verb),Qonun yoki qoida kiritish haqida gapirganda 'introduce' o'rnida ishlatilishi mumkin.
take in,phrasal verb,B2,"tushunmoq, oʻzlashtirmoq","усваивать, понимать",to completely understand and remember something you hear or read,/teɪk ɪn/,20075,phrasal,There was so much information that I couldn't take it all in.,"Ma'lumot shunchalik ko'p ediki, hammasini tushunib yetolmadim.","Было так много информации, что я не мог всё это усвоить.","absorb, comprehend, grasp","misunderstand, ignore",intake (noun),Sifatida qo'llanganda ('be taken in') 'aldanib qolmoq' ma'nosini ham beradi.
pull through,phrasal verb,B2,"tuzalib ketmoq, omon qolmoq","пойти на поправку, выкарабкаться",to recover from a serious illness or succeed in a difficult situation,/pʊl θruː/,20077,phrasal,Everyone was relieved when the patient pulled through after the surgery.,Operatsiyadan so'ng bemor tuzalib ketganida hamma yengil tortdi.,"Все почувствовали облегчение, когда пациент пошел на поправку после операции.","survive, recover, pull round","succumb, fail",pull through (verb),Odatda og'ir kasallik yoki inqirozdan omon qolishda ishlatiladi.
stand by,phrasal verb,B2,"qoʻllab-quvvatlamoq, sodiq qolmoq","поддерживать, оставаться верным","to continue to support someone, especially in a difficult situation",/stænd baɪ/,20079,phrasal,She promised to stand by her brother no matter what happened.,"U nima bo'lishidan qat'i nazar, ukasini qo'llab-quvvatlashga va'da berdi.","Она обещала поддерживать своего брата, что бы ни случилось.","support, stick by, back","abandon, desert",standby (noun),Biror kishini qo'llab-quvvatlash ma'nosida 'stand by someone' iborasida 'by' predlogini tushirmang.
tear down,phrasal verb,B2,"buzib tashlamoq, tekislab tashlamoq","сносить, разрушать",to intentionally destroy a building or structure,/teə daʊn/,20081,phrasal,They plan to tear down the old factory and build apartments.,"Ular eski zavodni buzib tashlab, xonadonlar qurishni rejalashtirishmoqda.",Они планируют снести старую фабрику и построить жилые дома.,"demolish, knock down, raze","build, construct",tear down (verb),"Ko'pincha binolarga nisbatan qo'llaniladi, kichik buyumlar uchun emas."
call for,phrasal verb,B2,"talab qilmoq, chaqirmoq","призывать, требовать",to publicly demand that something should happen,/kɔːl fɔː/,20083,phrasal,The protest leaders called for an immediate ceasefire.,E'tiroz yetakchilari zudlik bilan o't ochishni to'xtatishni talab qilishdi.,Лидеры протеста призвали к немедленному прекращению огня.,"demand, urge, require","oppose, reject",call for (verb),'Call for' rasmiy chaqiriq yoki talab bildirishda ishlatiladi.
hold up,phrasal verb,B2,"ushlab qolmoq, kechiktirmoq","задерживать, откладывать",to delay someone or something,/həʊld ʌp/,20085,phrasal,Sorry I'm late; I was held up in heavy traffic.,"Kechikkanim uchun uzr, tirbandlikda ushlanib qoldim.","Извините за опоздание, меня задержали сильные пробки.","delay, detain, stall","advance, speed up",holdup (noun),Kechikib qolish ma'nosida ko'pincha majhul nisbatda (be held up) qo'llaniladi.
break through,phrasal verb,B2,"yorib oʻtmoq, yorib chiqmoq","пробиваться, прорываться",to force a way through something that is holding you back,/breɪk θruː/,20087,phrasal,The sun finally broke through the thick clouds.,Quyosh nihoyat qalin bulutlar orasidan yorib chiqdi.,Солнце наконец пробилось сквозь густые облака.,"penetrate, pierce, force through","retreat, yield",breakthrough (noun),"Fe'l shakli alohida ('break through'), ot shakli esa birga yoziladi ('breakthrough')."
bear with,phrasal verb,B2,"sabr qilish, kutib turish","потерпеть, подождать",to be patient with someone while they complete a task or solve a problem,/beə wɪð/,20089,phrasal,Please bear with me for a minute while I locate your file.,"Faylingizni topgunimcha, iltimos, bir daqiqa sabr qiling.","Пожалуйста, подождите минуту, пока я найду ваш файл.","be patient, wait, hold on",,"bear, bearing",'Bare with me' deb yozish xatodir; 'bear' fe'lidan foydalanilishi kerak.
bottom out,phrasal verb,C1,"eng quyi nuqtaga yetib, barqarorlashmoq","достичь дна, прекратить падение",to reach the lowest point in a process or period of decline before stabilizing or improving,/ˌbɒtəm ˈaʊt/,20091,phrasal,Economists believe that housing prices have finally bottomed out.,"Iqtisodchilarning fikricha, uy-joy narxlari nihoyat eng quyi nuqtasiga yetdi.","Экономисты считают, что цены на жилье наконец прекратили падение.","level off, reach rock bottom, stabilize","peak, skyrocket","bottom, bottoming out","O'zbek tiliga 'tubiga cho'kish' deb so'zma-so'z tarjima qilish noto'g'ri, bu pasayish to'xtab barqarorlashuvni anglatadi."
break out,phrasal verb,B2,"to'satdan boshlanmoq (urush, yong'in, kasallik)","вспыхнуть, внезапно начаться","to start suddenly and strongly, especially something unpleasant like a war, fire, or disease",/breɪk ˈaʊt/,20093,phrasal,A fierce argument broke out during the board meeting.,Kengash majlisida qizg'in tortishuv to'satdan avj oldi.,Во время заседания совета директоров внезапно вспыхнул бурный спор.,"erupt, flare up, burst out","cease, subside","outbreak, break",'Break out' iborasini faqat qamoqdan qochish ma'nosida ishlatish cheklovdir; u yong'in va urushlarga nisbatan ham keng qo'llanadi.
cash in on,phrasal verb,B2,"vaziyatdan moddiy foyda ko'rmoq, imkoniyatni pulga aylantirmoq","нажиться на, воспользоваться в своих интересах",to take advantage of a situation or trend in order to gain a financial or personal benefit,/kæʃ ɪn ɒn/,20095,phrasal,Many small companies are trying to cash in on the popularity of AI.,Ko'pgina kichik kompaniyalar sun'iy intellekt mashhurligidan foyda ko'rishga harakat qilmoqda.,Многие небольшие компании пытаются нажиться на популярности искусственного интеллекта.,"capitalize on, profit from, exploit","miss out on, lose out on","cash, cashing in","Ko'pincha predlogsiz 'cash on' deb ishlatiladi, ammo to'g'ri shakli 'cash in on'dir."
count on,phrasal verb,B1,"suyanmoq, ishonmoq","рассчитывать на, полагаться на",to rely on or trust someone or something to provide help or support,/kaʊnt ɒn/,20097,phrasal,You can always count on Sarah to give honest advice.,To'g'ri maslahat olishda har doim Saraga suyanishingiz mumkin.,"Вы всегда можете рассчитывать на то, что Сара даст честный совет.","rely on, depend on, trust","distrust, doubt","count, dependable","'Count on' iborasidan keyin 'on' predlogi tushirib qoldirilmaydi; 'count me' emas, 'count on me' bo'lishi kerak."
cross out,phrasal verb,A2,"ustidan chizmoq, o'chirmoq","вычеркивать, зачеркивать",to draw a line through a word or text to show that it is incorrect or no longer needed,/krɒs ˈaʊt/,20099,phrasal,Please cross out any spelling mistakes you find in the essay.,Inshoda uchratgan har qanday imlo xatolarining ustidan chizib qo'ying.,"Пожалуйста, вычеркните все орфографические ошибки, которые найдете в эссе.","strike out, delete, cancel","underline, highlight","cross, crossing out","'Cross out' va 'erase' fe'llarini aralashtirmang; 'erase' rezinada o'chirish bo'lsa, 'cross out' chiziq tortib o'chirishdir."
draw up,phrasal verb,B2,"tuzmoq, tayyorlamoq (hujjat, reja, shartnoma)","составлять, подготавливать (документ, план)","to prepare and write a formal document such as a contract, plan, or list",/drɔː ˈʌp/,20101,phrasal,The lawyer will draw up the agreement by tomorrow afternoon.,Yurist ertaga tushgacha shartnomani tuzib beradi.,Юрист составит соглашение к завтрашнему дню.,"draft, prepare, formulate","tear up, cancel","draw, draft, drawing up","'Draw' rasmiy hujjatlar bilan kelganda 'rasm chizmoq' emas, 'tuzmoq' ma'nosini bildiradi."
drift apart,phrasal verb,B2,vaqt o'tib uzoqlashib ketmoq (munosabatda),отдалиться друг от друга,to gradually become less friendly or lose contact with someone over time,/drɪft əˈpɑːt/,20103,phrasal,"After leaving university, the two friends slowly drifted apart.","Universitetni tugatgach, ikki do'st sekin-asta bir-biridan uzoqlashib ketishdi.",После окончания университета двое друзей постепенно отдалились друг от друга.,"estrange, grow apart, lose touch","bond, grow closer","drift, drifting","Urush-janjal sababli munosabat uzilishida emas, balki vaqt o'tib sekin-asta uzoqlashishda ishlatiladi."
face up to,phrasal verb,B2,achchiq haqiqatni tan olmoq va unga tik qaramoq,"смириться с, признать (неприятную правду)",to accept and attempt to deal with a difficult situation or uncomfortable truth,/feɪs ˈʌp tuː/,20105,phrasal,He needs to face up to the fact that he cannot afford this lifestyle.,U ushbu turmush tarziga qurbi yetmasligi haqidagi haqiqatga tik qarashi kerak.,"Ему нужно смириться с тем фактом, что он не может позволить себе такой образ жизни.","confront, accept, acknowledge","ignore, avoid, evade","face, facing",Predloglarni tushirib 'face to' deyish noto'g'ri; to'liq 'face up to' shakli ishlatilishi zarur.
get round to,phrasal verb,B2,"vaqt ajratib, nihoyat biror ishni qilmoq","добраться до, наконец найти время для",to finally find enough time or energy to do something that has been planned for a long time,/ɡet ˈraʊnd tuː/,20107,phrasal,I finally got round to fixing the leaking tap in the kitchen.,Nihoyat oshxonadagi tomayotgan jo'mrakni tuzatishga vaqt topdim.,Я наконец добрался до ремонта протекающего крана на кухне.,"find time for, attend to","put off, postpone","get, round",'Get round to' iborasidan keyin keladigan fe'lga '-ing' qo'shiladi (masalan: get round to fixing).
mess up,phrasal verb,B1,"rasvosini chiqarmoq, xatoga yo'l qo'ymoq","испортить, накосячить",to make a serious mistake or spoil something by doing it badly,/mes ˈʌp/,20109,phrasal,"I prepared well for the interview, so I hope I do not mess up.","Suhbatga yaxshi tayyorlandim, shuning uchun rasvosini chiqarmayman deb umid qilaman.","Я хорошо подготовился к собеседованию, поэтому надеюсь, что не накосячу.","spoil, ruin, bungle","succeed, perfect","mess, messy, messed up",Bu so'zlashuv uslubiga oid ibora; rasmiy akademik insholarda uning o'rniga 'make a mistake' ishlatilgani ma'qul.
weigh up,phrasal verb,B2,"atroflicha o'ylab ko'rmoq, solishtirib chiqmoq","взвесить, оценить (плюсы и минусы)",to carefully consider and compare the pros and cons of a situation before making a decision,/weɪ ˈʌp/,20111,phrasal,We need to weigh up the pros and cons before buying the house.,Uyni sotib olishdan oldin barcha ijobiy va salbiy tomonlarni atroflicha o'ylab ko'rishimiz kerak.,Нам нужно взвесить все за и против перед покупкой дома.,"evaluate, consider, assess","ignore, disregard","weigh, weight, weighing","'Weigh' fe'li jismoniy vaznni o'lchash bo'lsa, 'weigh up' qaror qabul qilishda ijobiy va salbiy tomonlarni solishtirishdir."
