headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
indolent,adjective,C2,dangasalik qiladigan,ленивый,avoiding work or effort,ˈɪndələnt,34295,describing,The indolent worker missed every deadline.,Dangasalik qiladigan xodim har bir muddatni o'tkazib yubordi.,lazy | idle,diligent
ineffable,adjective,C2,so'z bilan ifodalab bo'lmaydigan,невыразимый,too great or beautiful to describe in words,ɪnˈefəbl,34296,describing,The view gave us an ineffable feeling of awe.,Manzara bizga so'z bilan ifodalab bo'lmaydigan hayrat berdi.,indescribable | sublime,ordinary
inept,adjective,C2,no'noq,неумелый,not skilled or effective,ɪˈnept,34297,describing,His inept handling made things worse.,Uning no'noq boshqaruvi vaziyatni yomonlashtirdi.,clumsy | incompetent,capable
inextricable,adjective,C2,ajratib bo'lmaydigan,неразрывный,impossible to separate or escape from,ˌɪnɪkˈstrɪkəbl,34298,describing,The two issues are inextricable.,Ikki masala ajratib bo'lmaydigan darajada bog'liq.,inseparable | tangled,separable
ingenuous,adjective,C2,sodda va samimiy,простодушный,innocent and honest in a simple way,ɪnˈdʒenjuəs,34299,describing,Her ingenuous question made us smile.,Uning sodda va samimiy savoli bizni jilmaytirdi.,naive | candid,cunning
inimical,adjective,C2,zararli va qarshi,враждебный,tending to harm or oppose something,ɪˈnɪmɪkl,34300,describing,The policy is inimical to innovation.,Siyosat innovatsiyaga zararli va qarshi.,hostile | harmful,favourable
inscrutable,adjective,C2,tushunib bo'lmaydigan,непроницаемый,impossible to understand or interpret,ɪnˈskruːtəbl,34301,describing,His expression remained inscrutable.,Uning yuz ifodasini tushunib bo'lmas edi.,mysterious | unreadable,clear
insidious,adjective,C2,sekin yashirin zararli,коварный,gradually harmful in a hidden way,ɪnˈsɪdiəs,34302,describing,The disease has an insidious onset.,Kasallik sekin yashirin boshlanadi.,subtle | stealthy,obvious
insipid,adjective,C2,mazasiz va zerikarli,безвкусный,lacking flavour or interest,ɪnˈsɪpɪd,34303,describing,The speech was long and insipid.,Nutq uzun va zerikarli edi.,dull | bland,interesting
intrepid,adjective,C2,jasur,бесстрашный,extremely brave in danger,ɪnˈtrepɪd,34304,describing,The intrepid climber reached the summit.,Jasur alpinist cho'qqiga yetdi.,fearless | bold,timid
intransigent,adjective,C2,murosaga kelmaydigan,непреклонный,unwilling to change opinions or agree,ɪnˈtrænsɪdʒənt,34305,describing,The intransigent leader rejected every offer.,Murosaga kelmaydigan rahbar har bir taklifni rad etdi.,inflexible | obstinate,cooperative
invective,noun,C2,haqoratli nutq,оскорбительная речь,insulting or abusive language,ɪnˈvektɪv,34306,describing,The speech was full of invective.,Nutq haqoratli gaplarga to'la edi.,abuse | insult,praise
irascible,adjective,C2,tez jahli chiqadigan,вспыльчивый,easily made angry,ɪˈræsɪbl,34307,describing,The irascible director disliked delays.,Tez jahli chiqadigan direktor kechikishlarni yoqtirmasdi.,irritable | hot-tempered,calm
irreverent,adjective,C2,hurmatsiz,непочтительный,showing a lack of respect for serious things,ɪˈrevərənt,34308,describing,The comedian made an irreverent joke.,Komik hurmatsiz hazil qildi.,disrespectful | cheeky,reverent
itinerant,adjective,C2,ko'chib yuradigan,странствующий,travelling from place to place,aɪˈtɪnərənt,34309,describing,He worked as an itinerant musician.,U ko'chib yuradigan musiqachi bo'lib ishladi.,wandering | nomadic,settled
judicious,adjective,C2,oqilona va mulohazali,рассудительный,showing good judgment,dʒuːˈdɪʃəs,34310,describing,She made a judicious investment.,U oqilona va mulohazali sarmoya qildi.,wise | prudent,reckless
languid,adjective,C2,lanj va sust,томный,slow and lacking energy,ˈlæŋɡwɪd,34311,describing,The heat made everyone languid.,Issiq hammani lanj va sust qildi.,lethargic | slow,energetic
laudable,adjective,C2,maqtovga loyiq,похвальный,deserving praise,ˈlɔːdəbl,34312,describing,Their effort to help was laudable.,Ularning yordam berish harakati maqtovga loyiq edi.,commendable | admirable,blameworthy
lethargic,adjective,C2,lanj,вялый,without energy or enthusiasm,ləˈθɑːdʒɪk,34313,describing,I felt lethargic after the long flight.,Uzun parvozdan keyin o'zimni lanj his qildim.,sluggish | tired,energetic
lucid,adjective,C2,ravshan,ясный,clear and easy to understand,ˈluːsɪd,34314,describing,Her explanation was lucid and helpful.,Uning tushuntirishi ravshan va foydali edi.,clear | coherent,confusing
magnanimous,adjective,C2,oliyjanob,великодушный,generous and forgiving towards others,mæɡˈnænɪməs,34315,describing,He was magnanimous after his victory.,U g'alabasidan keyin oliyjanob bo'ldi.,generous | noble,petty
malevolent,adjective,C2,yovuz niyatli,злонамеренный,wishing to cause harm,məˈlevələnt,34316,describing,The villain had a malevolent smile.,Yovuz qahramon yovuz niyatli jilmaydi.,malicious | hostile,benevolent
malleable,adjective,C2,oson shakl beriladigan,податливый,easy to change or influence,ˈmæliəbl,34317,describing,Young minds are highly malleable.,Yosh onglar oson shakl beriladigan bo'ladi.,flexible | adaptable,rigid
meander,verb,C2,egri-bugri oqmoq,извиваться,to move or speak without a clear direction,miˈændə,34318,describing,The river meanders through the valley.,Daryo vodiy bo'ylab egri-bugri oqadi.,wander | wind,direct
mendacious,adjective,C2,yolg'onchi,лживый,not truthful or honest,menˈdeɪʃəs,34319,describing,The article contained mendacious claims.,Maqolada yolg'onchi da'volar bor edi.,dishonest | deceitful,honest
mollify,verb,C2,tinchlantirmoq,смягчать,to make someone less angry,mɒlɪfaɪ,34320,describing,She tried to mollify the angry customer.,U jahli chiqqan mijozni tinchlantirishga urindi.,appease | soothe,provoke
munificent,adjective,C2,juda saxiy,щедрый,extremely generous,mjuːˈnɪfɪsnt,34321,describing,The munificent donor funded the hospital.,Juda saxiy donor shifoxonani moliyalashtirdi.,generous | lavish,stingy
nebulous,adjective,C2,noaniq,туманный,unclear and difficult to define,ˈnebjələs,34322,describing,Their plans were still nebulous.,Ularning rejalari hali ham noaniq edi.,vague | hazy,clear
nefarious,adjective,C2,razil va jinoyatkor,злодейский,wicked or criminal,nɪˈfeəriəs,34323,describing,The police stopped the nefarious scheme.,Politsiya razil va jinoyatkor rejani to'xtatdi.,evil | criminal,virtuous
negligible,adjective,C2,juda kichik,незначительный,too small to be important,ˈneɡlɪdʒəbl,34324,describing,The difference was negligible.,Farq juda kichik edi.,minor | insignificant,significant
nonplussed,adjective,C2,hayron va gangigan,озадаченный,surprised and confused,ˌnɒnˈplʌst,34325,describing,She looked nonplussed by the question.,U savoldan hayron va gangigan ko'rindi.,baffled | puzzled,composed
obdurate,adjective,C2,qaysar va murosasiz,упрямый,refusing to change your opinion,ˈɒbdjərət,34326,describing,The obdurate official refused to listen.,Qaysar va murosasiz amaldor tinglashdan bosh tortdi.,stubborn | inflexible,pliant
obfuscate,verb,C2,ataylab chalkashtirmoq,запутывать,to make something unclear deliberately,ˈɒbfʌskeɪt,34327,describing,The report uses jargon to obfuscate the facts.,Hisobot faktlarni ataylab chalkashtirish uchun jargon ishlatadi.,confuse | obscure,clarify
obstinate,adjective,C2,o'jar,упрямый,refusing to change your behaviour or views,ˈɒbstɪnət,34328,describing,The obstinate child would not apologise.,O'jar bola uzr so'ramadi.,stubborn | rigid,flexible
odious,adjective,C2,nihoyatda jirkanch,отвратительный,extremely unpleasant or hateful,ˈəʊdiəs,34329,describing,They rejected the odious proposal.,Ular nihoyatda jirkanch taklifni rad etdilar.,hateful | disgusting,pleasant
onerous,adjective,C2,juda og'ir va qiyin,обременительный,needing much effort and causing difficulty,ˈəʊnərəs,34330,describing,The task became too onerous for one person.,Vazifa bir odam uchun juda og'ir va qiyin bo'ldi.,burdensome | demanding,easy
opulent,adjective,C2,hashamatli,роскошный,richly decorated and expensive,ˈɒpjələnt,34331,describing,They stayed in an opulent hotel.,Ular hashamatli mehmonxonada qolishdi.,luxurious | lavish,plain
ornate,adjective,C2,serbezak,вычурный,covered with complicated decoration,ɔːˈneɪt,34332,describing,The room had an ornate ceiling.,Xonada serbezak shift bor edi.,elaborate | decorative,plain
orthodox,adjective,C2,an'anaviy,ортодоксальный,following traditional accepted beliefs,ˈɔːθədɒks,34333,describing,He preferred an orthodox approach.,U an'anaviy yondashuvni afzal ko'rdi.,conventional | traditional,unconventional
ostensible,adjective,C2,zohiran ko'ringan,кажущийся,appearing to be true but possibly not,ɒˈstensəbl,34334,describing,The ostensible reason was not the real one.,Zohiran ko'ringan sabab haqiqiy sabab emas edi.,apparent | supposed,actual
ostentatious,adjective,C2,ko'z-ko'z qilinadigan,показной,designed to impress people with wealth,ˌɒstenˈteɪʃəs,34335,describing,His ostentatious car attracted attention.,Uning ko'z-ko'z qilinadigan mashinasi e'tiborni tortdi.,showy | flashy,modest
palpable,adjective,C2,yaqqol seziladigan,ощутимый,so strong that it can be clearly felt,ˈpælpəbl,34336,describing,The tension in the room was palpable.,Xonadagi taranglik yaqqol sezilardi.,noticeable | tangible,imperceptible
panacea,noun,C2,barcha dardga davo,панацея,a solution for every problem,ˌpænəˈsiːə,34337,describing,Technology is not a panacea for inequality.,Texnologiya tengsizlik uchun barcha dardga davo emas.,cure-all | remedy,problem
paradoxical,adjective,C2,qarama-qarshi tuyuladigan,парадоксальный,seemingly impossible but possibly true,ˌpærəˈdɒksɪkl,34338,describing,It seems paradoxical but less can be more.,Bu qarama-qarshi tuyuladi ammo kamroq ko'proq bo'lishi mumkin.,contradictory | puzzling,logical
parochial,adjective,C2,tor doirali,ограниченный,limited to local interests or views,pəˈrəʊkiəl,34339,describing,The article takes a parochial view of history.,Maqola tarixga tor doirali qaraydi.,narrow | provincial,broad-minded
pedantic,adjective,C2,mayda qoidalarga haddan ortiq yopishadigan,педантичный,too concerned with small rules or details,pəˈdæntɪk,34340,describing,His pedantic corrections annoyed everyone.,Uning mayda qoidalarga haddan ortiq yopishadigan tuzatishlari hammani jahli chiqardi.,nitpicking | fussy,relaxed
pernicious,adjective,C2,juda zararli,пагубный,having a very harmful effect,pəˈnɪʃəs,34341,describing,Rumours can have pernicious effects.,Mish-mishlar juda zararli oqibatlarga ega bo'lishi mumkin.,damaging | destructive,beneficial
perspicacious,adjective,C2,o'ta farosatli,проницательный,quick to understand things accurately,ˌpɜːspɪˈkeɪʃəs,34342,describing,Her perspicacious question exposed the flaw.,Uning o'ta farosatli savoli nuqsonni ochib berdi.,perceptive | insightful,obtuse
philanthropic,adjective,C2,xayriya bilan bog'liq,филантропический,aimed at helping other people,ˌfɪlənˈθrɒpɪk,34343,describing,The foundation supports philanthropic projects.,Jamg'arma xayriya bilan bog'liq loyihalarni qo'llab-quvvatlaydi.,charitable | humanitarian,selfish
placate,verb,C2,tinchlantirib ko'ndirmoq,умиротворять,to make someone less angry by giving them something,pləˈkeɪt,34344,describing,They tried to placate the unhappy crowd.,Ular norozi olomonni tinchlantirib ko'ndirishga urindilar.,appease | pacify,provoke
poignant,adjective,C2,juda ta'sirli,трогательный,causing a strong feeling of sadness,ˈpɔɪnjənt,34345,describing,The final scene was deeply poignant.,Yakuniy sahna juda ta'sirli edi.,moving | touching,unmoving
propitious,adjective,C2,qulay va omadli,благоприятный,likely to lead to success,prəˈpɪʃəs,34346,describing,The weather was propitious for sailing.,Ob-havo suzib sayohat qilish uchun qulay va omadli edi.,favourable | auspicious,unfavourable
providential,adjective,C2,go'yo taqdir yuborgandek,провиденциальный,happening at a fortunate time,ˌprɒvɪˈdenʃl,34347,describing,Their meeting was providential.,Ularning uchrashuvi go'yo taqdir yuborgandek edi.,fortunate | timely,unlucky
punctilious,adjective,C2,juda tartibli va aniq,пунктуальный,paying very careful attention to rules,pʌŋkˈtɪliəs,34348,describing,She is punctilious about every detail.,U har bir tafsilotga juda tartibli va aniq qaraydi.,meticulous | precise,careless
quixotic,adjective,C2,amalga oshishi qiyin idealistik,донкихотский,extremely idealistic and impractical,kwɪkˈsɒtɪk,34349,describing,His quixotic plan had little support.,Uning amalga oshishi qiyin idealistik rejasi kam qo'llab-quvvatlandi.,idealistic | unrealistic,practical
rancorous,adjective,C2,achchiq adovatli,злобный,full of lasting bitterness or anger,ˈræŋkərəs,34350,describing,The meeting ended with rancorous remarks.,Uchrashuv achchiq adovatli gaplar bilan tugadi.,bitter | hostile,amicable
rarefied,adjective,C2,faqat tanlanganlar uchun,утонченный,limited to a small privileged group,ˈreərɪfaɪd,34351,describing,The topic belongs to a rarefied academic world.,Mavzu faqat tanlanganlar uchun akademik olamga tegishli.,exclusive | elite,ordinary
recalcitrant,adjective,C2,bo'ysunmaydigan,непокорный,refusing to obey rules or authority,rɪˈkælsɪtrənt,34352,describing,The recalcitrant student refused to cooperate.,Bo'ysunmaydigan talaba hamkorlikdan bosh tortdi.,defiant | uncooperative,obedient
reciprocity,noun,C2,o'zaro qaytarish,взаимность,the exchange of benefits between people,ˌresɪˈprɒsəti,34353,describing,Trust depends on reciprocity.,Ishonch o'zaro qaytarishga bog'liq.,mutuality | exchange,one-sidedness
redolent,adjective,C2,eslatuvchi yoki xushbo'y,благоухающий,strongly suggesting or smelling of something,ˈredələnt,34354,describing,The room was redolent of fresh coffee.,Xona yangi qahva hidini eslatardi.,fragrant | evocative,odourless
relinquish,verb,C2,voz kechmoq,отказываться,to give up control or possession,rɪˈlɪŋkwɪʃ,34355,describing,He refused to relinquish power.,U hokimiyatdan voz kechishni rad etdi.,surrender | abandon,retain
remiss,adjective,C2,vazifasini bajarmagan,небрежный,failing to do what you should do,rɪˈmɪs,34356,describing,We would be remiss to ignore the warning.,Ogohlantirishni e'tiborsiz qoldirsak vazifamizni bajarmagan bo'lamiz.,negligent | careless,diligent
reprehensible,adjective,C2,qoralashga loyiq,предосудительный,deserving strong criticism,rɪprɪˈhensəbl,34357,describing,Their treatment of workers was reprehensible.,Ularning ishchilarga munosabati qoralashga loyiq edi.,blameworthy | shameful,praiseworthy
resolute,adjective,C2,qat'iyatli,решительный,firmly determined to do something,ˈrezəluːt,34358,describing,She remained resolute despite the pressure.,U bosimga qaramay qat'iyatli bo'lib qoldi.,determined | steadfast,indecisive
reticent,adjective,C2,kamgap va tortinchoq,сдержанный,unwilling to speak about thoughts or feelings,ˈretɪsnt,34359,describing,He was reticent about his private life.,U shaxsiy hayoti haqida kamgap edi.,reserved | quiet,talkative
reverent,adjective,C2,chuqur hurmatli,почтительный,showing deep respect,ˈrevərənt,34360,describing,The visitors were reverent in the temple.,Mehmonlar ibodatxonada chuqur hurmatli edilar.,respectful | solemn,irreverent
rife,adjective,C2,keng tarqalgan,распространенный,very common especially something bad,raɪf,34361,describing,Rumours were rife after the announcement.,E'londan keyin mish-mishlar keng tarqaldi.,widespread | prevalent,rare
sagacious,adjective,C2,dono va farosatli,мудрый,having good judgment and wisdom,səˈɡeɪʃəs,34362,describing,The sagacious adviser predicted the risk.,Dono va farosatli maslahatchi xavfni oldindan ko'rdi.,wise | shrewd,foolish
sardonic,adjective,C2,achchiq kinoyali,саркастический,grimly mocking or cynical,sɑːˈdɒnɪk,34363,describing,He gave a sardonic smile.,U achchiq kinoyali jilmaydi.,mocking | cynical,sincere
satiate,verb,C2,to'liq qondirmoq,насыщать,to satisfy a desire completely,ˈseɪʃieɪt,34364,describing,The meal satiated our hunger.,Taom ochligimizni to'liq qondirdi.,satisfy | fulfil,deprive
scant,adjective,C2,juda kam,скудный,small in amount or insufficient,skænt,34365,describing,There was scant evidence to support the claim.,Da'voni qo'llash uchun juda kam dalil bor edi.,meagre | sparse,abundant
scrupulous,adjective,C2,vijdonli va sinchkov,добросовестный,very careful to do what is right,ˈskruːpjələs,34366,describing,She is scrupulous about keeping records.,U qaydlarni yuritishda vijdonli va sinchkov.,meticulous | ethical,careless
serene,adjective,C2,sokin va xotirjam,безмятежный,calm and peaceful,səˈriːn,34367,describing,The lake looked serene at dawn.,Ko'l tongda sokin va xotirjam ko'rindi.,peaceful | tranquil,agitated
simplistic,adjective,C2,haddan tashqari soddalashtirilgan,упрощенный,too simple to be accurate,sɪmˈplɪstɪk,34368,describing,That is a simplistic explanation of poverty.,Bu qashshoqlikning haddan tashqari soddalashtirilgan izohidir.,oversimplified | naive,nuanced
solicitous,adjective,C2,g'amxo'r va tashvishli,заботливый,showing care and concern for someone,səˈlɪsɪtəs,34369,describing,The doctor was solicitous about her recovery.,Shifokor uning sog'ayishi haqida g'amxo'r edi.,caring | attentive,indifferent
sophistry,noun,C2,aldamchi mantiq,софистика,clever but false reasoning,ˈsɒfɪstri,34370,describing,The argument was clever sophistry.,Dalil ayyorona ammo aldamchi mantiq edi.,fallacy | deception,logic
spurious,adjective,C2,soxta,ложный,not genuine or true,ˈspjʊəriəs,34371,describing,The website made spurious claims.,Sayt soxta da'volar qildi.,false | fake,genuine
stoic,adjective,C2,matonatli,стоический,able to endure pain without showing feelings,ˈstəʊɪk,34372,describing,She remained stoic during the ordeal.,U og'ir sinov davomida matonatli bo'ldi.,resilient | impassive,emotional
superfluous,adjective,C2,ortiqcha,излишний,more than is needed,suːˈpɜːfluəs,34373,describing,Remove all superfluous details.,Barcha ortiqcha tafsilotlarni olib tashlang.,unnecessary | excess,essential
surreptitious,adjective,C2,yashirincha qilinadigan,тайный,done secretly to avoid being noticed,ˌsʌrəpˈtɪʃəs,34374,describing,He took a surreptitious glance at his phone.,U telefoniga yashirincha qaradi.,secret | stealthy,open
tacit,adjective,C2,ochiq aytilmagan,молчаливый,understood without being spoken,ˈtæsɪt,34375,describing,They had a tacit agreement.,Ular o'rtasida ochiq aytilmagan kelishuv bor edi.,implicit | unspoken,explicit
taciturn,adjective,C2,kamgap,неразговорчивый,tending not to say much,ˈtæsɪtɜːn,34376,describing,The taciturn guard answered briefly.,Kamgap qo'riqchi qisqa javob berdi.,silent | reserved,talkative
tenuous,adjective,C2,zaif va ishonchsiz,слабый,weak and likely to break or fail,ˈtenjuəs,34377,describing,Their connection was tenuous at best.,Ularning aloqasi eng yaxshi holatda ham zaif edi.,fragile | weak,strong
tepid,adjective,C2,iliqqina,тепловатый,only slightly warm or enthusiastic,ˈtepɪd,34378,describing,The proposal received a tepid response.,Taklif iliqqina munosabat oldi.,lukewarm | unenthusiastic,enthusiastic
terse,adjective,C2,qisqa va keskin,краткий,using very few words,tɜːs,34379,describing,His terse reply ended the discussion.,Uning qisqa va keskin javobi muhokamani tugatdi.,brief | curt,verbose
timorous,adjective,C2,qo'rqoq,робкий,showing fear and lack of confidence,ˈtɪmərəs,34380,describing,The timorous speaker avoided the stage.,Qo'rqoq notiq sahnadan qochdi.,fearful | timid,bold
tirade,noun,C2,uzoq achchiq nutq,гневная тирада,a long angry speech,taɪˈreɪd,34381,describing,She launched into a tirade about service.,U xizmat haqida uzoq achchiq nutq boshladi.,rant | diatribe,praise
transient,adjective,C2,vaqtinchalik,временный,lasting only for a short time,ˈtrænziənt,34382,describing,The pain was transient and soon passed.,Og'riq vaqtinchalik edi va tez o'tdi.,temporary | brief,permanent
trepidation,noun,C2,xavotirli qo'rquv,трепет,feeling of fear about something coming,ˌtrepɪˈdeɪʃn,34383,describing,She accepted the offer with trepidation.,U taklifni xavotirli qo'rquv bilan qabul qildi.,anxiety | dread,confidence
truculent,adjective,C2,janjalkash va tajovuzkor,агрессивный,eager to argue or fight,ˈtrʌkjələnt,34384,describing,The truculent customer refused to calm down.,Janjalkash va tajovuzkor mijoz tinchlanishdan bosh tortdi.,aggressive | hostile,peaceful
unassailable,adjective,C2,inkor qilib bo'lmaydigan,неоспоримый,impossible to doubt or defeat,ˌʌnəˈseɪləbl,34385,describing,The report presented unassailable evidence.,Hisobot inkor qilib bo'lmaydigan dalil taqdim etdi.,irrefutable | unquestionable,weak
unctuous,adjective,C2,soxta muloyim,елейный,excessively flattering in an insincere way,ˈʌŋktʃuəs,34386,describing,His unctuous praise made us uncomfortable.,Uning soxta muloyim maqtovi bizni noqulay qildi.,oily | flattering,sincere
unequivocal,adjective,C2,mutlaqo aniq,недвусмысленный,leaving no doubt,ˌʌnɪˈkwɪvəkl,34387,describing,She gave an unequivocal answer.,U mutlaqo aniq javob berdi.,clear | definite,ambiguous
unremitting,adjective,C2,to'xtovsiz,неослабевающий,continuing without stopping,ˌʌnrɪˈmɪtɪŋ,34388,describing,They faced unremitting pressure all year.,Ular yil bo'yi to'xtovsiz bosimga duch kelishdi.,constant | relentless,intermittent
urbane,adjective,C2,nafis va odobli,утонченный,polite and sophisticated in manner,ɜːˈbeɪn,34389,describing,The urbane host welcomed every guest.,Nafis va odobli mezbon har bir mehmonni kutib oldi.,polished | refined,awkward
vacillate,verb,C2,ikkilanib turmoq,колебаться,to keep changing between choices,ˈvæsɪleɪt,34390,describing,Do not vacillate when time is limited.,Vaqt cheklanganda ikkilanishda davom etmang.,waver | hesitate,decide
