headword,pos,example_en,example_uz
people,noun,People in our street are friendly.,Ko'chamizdagi odamlar do'stona.
people,noun,Old people need our help.,Keksa odamlarga yordamimiz kerak.
time,noun,I don't have time today.,Bugun vaqtim yo'q.
time,noun,It's time to go to bed.,Uxlash vaqti bo'ldi.
come,verb,My cousin comes to us every week.,Amakivachcham har hafta biznikiga keladi.
come,verb,Spring comes after winter.,Bahor qishdan keyin keladi.
see,verb,Did you see that film?,O'sha filmni ko'rdingizmi?
see,verb,See you tomorrow!,Ertaga ko'rishamiz!
man,noun,An old man sits near the door.,Keksa bir kishi eshik yonida o'tiribdi.
man,noun,The man in the black coat is my uncle.,Qora paltodagi kishi mening amakim.
like,verb,Children like sweets.,Bolalar shirinliklarni yaxshi ko'radi.
like,verb,I like walking in the rain.,Men yomg'irda yurishni yoqtiraman.
take,verb,Take this book to the teacher.,Bu kitobni o'qituvchiga olib boring.
take,verb,The trip takes two hours.,Safar ikki soat davom etadi.
yes,adverb,Yes I am ready.,Ha men tayyorman.
yes,adverb,Yes this is my address.,Ha bu mening manzilim.
now,adverb,The shop is closed now.,Do'kon hozir yopiq.
now,adverb,Now open your books.,Endi kitoblaringizni oching.
give,verb,Give this letter to your mother.,Bu xatni onangizga bering.
give,verb,Cows give us milk.,Sigirlar bizga sut beradi.
want,verb,Do you want some tea?,Choy ichishni xohlaysizmi?
want,verb,They want to visit Samarkand.,Ular Samarqandga borishni xohlashadi.
new,adjective,Our school has a new gym.,Maktabimizda yangi sport zali bor.
new,adjective,She bought new shoes.,U yangi tufli sotib oldi.
woman,noun,That woman is a famous doctor.,U ayol mashhur shifokor.
woman,noun,The woman is carrying a baby.,Ayol chaqaloq ko'tarib ketmoqda.
day,noun,Have a nice day!,Kuningiz yaxshi o'tsin!
day,noun,We rest two days a week.,Biz haftada ikki kun dam olamiz.
look,verb,Look at this beautiful flower.,Bu chiroyli gulga qarang.
look,verb,You look tired today.,Bugun charchagan ko'rinasiz.
name,noun,Write your name and surname.,Ism va familiyangizni yozing.
name,noun,What is your cat's name?,Mushugingizning ismi nima?
friend,noun,A good friend always helps.,Yaxshi do'st doim yordam beradi.
friend,noun,I have many friends at school.,Maktabda do'stlarim ko'p.
work,verb,My aunt works in a hospital.,Xolam kasalxonada ishlaydi.
work,verb,This old phone still works.,Bu eski telefon hali ham ishlaydi.
old,adjective,How old are you?,Yoshingiz nechada?
old,adjective,I gave my old clothes to charity.,Eski kiyimlarimni xayriyaga berdim.
need,verb,I need your help.,Menga yordamingiz kerak.
need,verb,We need bread and eggs.,Bizga non va tuxum kerak.
family,noun,Our family has dinner together.,Oilamiz kechki ovqatni birga yeydi.
family,noun,How many people are in your family?,Oilangizda necha kishi bor?
child,noun,The child sleeps in the afternoon.,Bola tushdan keyin uxlaydi.
child,noun,Every child needs love.,Har bir bolaga mehr kerak.
use,verb,Can I use your pen?,Ruchkangizdan foydalansam bo'ladimi?
use,verb,Don't use the phone at the lesson.,Darsda telefondan foydalanmang.
water,noun,Drink warm water in the morning.,Ertalab iliq suv iching.
water,noun,The water in the river is clean.,Daryodagi suv toza.
year,noun,We moved here two years ago.,Biz bu yerga ikki yil oldin ko'chib keldik.
year,noun,Next year I will be twelve.,Kelasi yil men o'n ikki yoshga to'laman.
big,adjective,Tashkent is a big city.,Toshkent katta shahar.
big,adjective,There is a big tree near our house.,Uyimiz yonida katta daraxt bor.
find,verb,Did you find your keys?,Kalitlaringizni topdingizmi?
find,verb,It is hard to find a taxi at night.,Kechasi taksi topish qiyin.
mother,noun,My mother works at a school.,Onam maktabda ishlaydi.
mother,noun,Her mother makes sweet jam.,Uning onasi shirin murabbo tayyorlaydi.
school,noun,Our school is near the park.,Maktabimiz bog' yaqinida.
school,noun,School starts in September.,Maktab sentyabrda boshlanadi.
tell,verb,Tell me about your holiday.,Menga ta'tilingiz haqida gapirib bering.
tell,verb,Don't tell anyone this secret.,Bu sirni hech kimga aytmang.
home,noun,There is no place like home.,Uydek joy yo'q.
home,noun,She stays at home on Sundays.,U yakshanba kunlari uyda bo'ladi.
father,noun,My father drives a bus.,Otam avtobus haydaydi.
father,noun,His father knows my father.,Uning otasi otamni taniydi.
house,noun,Our house has a small garden.,Uyimizning kichkina bog'i bor.
house,noun,The white house on the corner is new.,Burchakdagi oq uy yangi.
small,adjective,I live in a small apartment.,Men kichkina kvartirada yashayman.
small,adjective,These shoes are too small for me.,Bu tufli menga juda kichik.
love,verb,Children love ice cream.,Bolalar muzqaymoqni yaxshi ko'radi.
love,verb,We love our grandparents.,Biz buvi-buvamizni yaxshi ko'ramiz.
put,verb,Put on your warm coat.,Issiq paltongizni kiying.
put,verb,She put the flowers in water.,U gullarni suvga solib qo'ydi.
girl,noun,The little girl draws nice pictures.,Kichkina qiz chiroyli rasmlar chizadi.
girl,noun,Two girls sing in the concert.,Konsertda ikki qiz kuylaydi.
money,noun,How much money do you have?,Qancha pulingiz bor?
money,noun,He keeps his money in the bank.,U pulini bankda saqlaydi.
boy,noun,The boys run in the yard.,Bolalar hovlida yugurishadi.
boy,noun,A small boy asks for water.,Kichkina bola suv so'raydi.
live,verb,My grandparents live in a village.,Buvi-buvam qishloqda yashaydi.
live,verb,Fish live in water.,Baliqlar suvda yashaydi.
bad,adjective,Smoking is bad for health.,Chekish salomatlik uchun zararli.
bad,adjective,I got a bad mark yesterday.,Kecha yomon baho oldim.
feel,verb,I feel happy today.,Bugun o'zimni baxtli his qilyapman.
feel,verb,Do you feel cold?,Sovqotayapsizmi?
word,noun,Learn five new words every day.,Har kuni beshta yangi so'z yodlang.
word,noun,This word has two meanings.,Bu so'zning ikki ma'nosi bor.
food,noun,Hot food is ready.,Issiq ovqat tayyor.
food,noun,We buy food at the bazaar.,Biz oziq-ovqatni bozordan olamiz.
country,noun,Japan is an island country.,Yaponiya orol mamlakat.
country,noun,People from many countries visit Samarkand.,Ko'p mamlakatlardan odamlar Samarqandga keladi.
long,adjective,It was a long and hard day.,Bu uzoq va og'ir kun bo'ldi.
long,adjective,She has long black hair.,Uning uzun qora sochlari bor.
help,verb,Can you help me with this exercise?,Bu mashqda menga yordam bera olasizmi?
help,verb,I help my father in the garden.,Men otamga bog'da yordam beraman.
student,noun,The students write a test today.,Talabalar bugun test yozishadi.
student,noun,Every student has a dictionary.,Har bir o'quvchining lug'ati bor.
understand,verb,Now I understand the rule.,Endi qoidani tushundim.
understand,verb,I don't understand this question.,Bu savolni tushunmayapman.
eat,verb,What do you eat for breakfast?,Nonushtaga nima yeysiz?
eat,verb,Don't eat too many sweets.,Juda ko'p shirinlik yemang.
book,noun,Open your books at page ten.,Kitoblaringizni o'ninchi sahifadan oching.
book,noun,I took three books from the library.,Kutubxonadan uchta kitob oldim.
always,adverb,He always comes on time.,U doim o'z vaqtida keladi.
always,adverb,Always wash your hands before eating.,Ovqatdan oldin doim qo'lingizni yuving.
play,verb,Girls play volleyball in the gym.,Qizlar sport zalida voleybol o'ynashadi.
play,verb,My little sister plays with dolls.,Kichkina singlim qo'g'irchoqlar bilan o'ynaydi.
teacher,noun,The teacher checks our homework.,O'qituvchi uy vazifamizni tekshiradi.
teacher,noun,My English teacher is very kind.,Ingliz tili o'qituvchim juda mehribon.
question,noun,This question is difficult.,Bu savol qiyin.
question,noun,Answer all the questions in the test.,Testdagi barcha savollarga javob bering.
city,noun,Bukhara is an ancient city.,Buxoro qadimiy shahar.
city,noun,The city is beautiful at night.,Shahar kechasi chiroyli.
today,adverb,Today we learn new words.,Bugun yangi so'zlarni o'rganamiz.
today,adverb,It is very windy today.,Bugun shamol kuchli.
speak,verb,Please speak slowly.,Iltimos sekin gapiring.
speak,verb,She speaks three languages.,U uch tilda gapiradi.
write,verb,Write the date in your notebook.,Daftaringizga sanani yozing.
write,verb,He writes letters to his grandmother.,U buvisiga xat yozadi.
parent,noun,Parents love their children.,Ota-onalar farzandlarini yaxshi ko'radi.
parent,noun,My parents work hard.,Ota-onam ko'p mehnat qilishadi.
ask,verb,Ask your teacher for help.,O'qituvchingizdan yordam so'rang.
ask,verb,He asked me about my family.,U mendan oilam haqida so'radi.
read,verb,Read this text aloud.,Bu matnni ovoz chiqarib o'qing.
read,verb,My father reads the news every morning.,Otam har kuni ertalab yangiliklarni o'qiydi.
car,noun,The red car is very fast.,Qizil mashina juda tez.
car,noun,We go to the village by car.,Qishloqqa mashinada boramiz.
never,adverb,I never drink cold water.,Men hech qachon sovuq suv ichmayman.
never,adverb,She is never late for school.,U maktabga hech qachon kechikmaydi.
week,noun,There are seven days in a week.,Haftada yetti kun bor.
week,noun,See you next week.,Kelasi hafta ko'rishamiz.
call,verb,I call my grandmother every day.,Buvimga har kuni qo'ng'iroq qilaman.
call,verb,What do you call this in English?,Buni inglizchada nima deyiladi?
learn,verb,Children learn quickly.,Bolalar tez o'rganadi.
learn,verb,I want to learn to swim.,Men suzishni o'rganmoqchiman.
job,noun,A doctor's job is very important.,Shifokorning ishi juda muhim.
job,noun,He found a good job in the city.,U shaharda yaxshi ish topdi.
hot,adjective,Be careful the soup is hot.,Ehtiyot bo'ling sho'rva issiq.
hot,adjective,July is the hottest month.,Iyul eng issiq oy.
night,noun,Good night and sweet dreams.,Xayrli tun va shirin tushlar.
night,noun,The baby cried all night.,Chaqaloq tun bo'yi yig'ladi.
start,verb,Lessons start at half past eight.,Darslar sakkiz yarimda boshlanadi.
start,verb,Let's start with a small test.,Kichik testdan boshlaylik.
brother,noun,My brother helps me with maths.,Ukam menga matematikada yordam beradi.
brother,noun,Her older brother is a driver.,Uning akasi haydovchi.
drink,verb,I drink green tea with breakfast.,Nonushta bilan ko'k choy ichaman.
drink,verb,The cat drinks milk.,Mushuk sut ichadi.
study,verb,We study English three times a week.,Biz haftada uch marta ingliz tilini o'rganamiz.
study,verb,He studies hard before exams.,U imtihonlardan oldin qattiq o'qiydi.
cold,adjective,Put on your coat it's cold outside.,Paltongizni kiying tashqarida sovuq.
cold,adjective,I like cold watermelon in summer.,Yozda sovuq tarvuzni yaxshi ko'raman.
head,noun,My head hurts a little.,Boshim biroz og'riyapti.
head,noun,He nodded his head.,U boshini qimirlatib ma'qulladi.
month,noun,March is the third month.,Mart uchinchi oy.
month,noun,We will move next month.,Kelasi oy ko'chib o'tamiz.
