headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz
organise,verb,A2,tashkil qilmoq,организовывать,To arrange or plan something in a systematic way.,ˈɔːɡənaɪz,,actions,Volunteers organise weekend surveys of local wildlife.,Ko'ngillilar mahalliy yovvoyi tabiat bo'yicha dam olish kunlari so'rovlarini tashkil qilishadi.
pollinator,noun,B2,changlatuvchi,опылитель,"An insect or animal that carries pollen from one flower to another, helping plants reproduce.",ˈpɒlɪneɪtə,,animals,Rooftop flowers give pollinators a place to feed in the city centre.,Tomdagi gullar shahar markazida changlatuvchilarga oziqlanish joyini beradi.
premature,adjective,B2,"muddatidan oldingi, shoshilinch",преждевременный,Happening or done before the usual or proper time.,ˌpremətʃʊə,,describing,It would be premature to call the pilot project a full success.,Pilot loyihani to'liq muvaffaqiyat deb atash muddatidan oldin bo'lardi.
rainfall,noun,B1,yog'ingarchilik,"осадки, количество дождя",The amount of rain that falls in a particular place over a period of time.,ˈreɪnfɔːl,,nature,A planted roof absorbs a proportion of heavy rainfall.,Ekilgan tom kuchli yog'ingarchilikning bir qismini shimib oladi.
rainwater,noun,A2,yomg'ir suvi,дождевая вода,Water that has fallen as rain and been collected.,ˈreɪnwɔːtə,,nature,Rainwater collected from the roof is used to water the garden.,Tomdan yig'ilgan yomg'ir suvi bog'ni sug'orish uchun ishlatiladi.
run,verb,A1,yugurmoq; davom etmoq (loyiha haqida),бежать; продолжаться (о проекте),"To operate or continue over a period of time, or to move quickly on foot.",rʌn,,actions,The best results have come from projects that ran long enough to observe a full seasonal cycle.,Eng yaxshi natijalar to'liq mavsumiy davrni kuzatish uchun yetarlicha davom etgan loyihalardan kelib chiqdi.
redesign,verb,B2,qayta loyihalashtirmoq,"переделывать, редизайн",To design something again in a different way in order to improve it.,ˌriːdɪˈzaɪn,,actions,Civic learning spaces are being redesigned rather than replaced.,Fuqarolik ta'lim maskanlari almashtirilmasdan qayta loyihalashtirilmoqda.
refundable,adjective,B2,qaytariladigan (pul haqida),возвращаемый (о деньгах),"If money is refundable, it can be given back if you are not satisfied or change your plans.",riːˈfʌndəbl,,work,Booking fees for the class are not refundable after the session starts.,Dars boshlangandan keyin bron qilish to'lovi qaytarilmaydi.
repeatedly,adverb,B1,qayta-qayta,неоднократно,Happening or done many times in a row.,rɪˈpiːtɪdli,,describing,The same materials were tested repeatedly under different weather conditions.,Bir xil materiallar turli ob-havo sharoitlarida qayta-qayta sinovdan o'tkazildi.
residue,noun,B2,qoldiq,остаток,A small amount of something that remains after the main part has gone or been used.,ˈrezɪdjuː,,nature,Fungal packaging turns agricultural residue into a useful material.,Zamburug'li qadoqlash qishloq xo'jaligi qoldiqlarini foydali materialga aylantiradi.
resilience,noun,B2,"chidamlilik, bardoshlilik","устойчивость, жизнестойкость",The ability of something or someone to recover quickly after difficulty or damage.,rɪˈzɪliəns,,describing,Planted roofs can make dense cities more resilient to heat and storms.,Ekilgan tomlar zich shaharlarni issiqlik va bo'ronlarga chidamliroq qilishi mumkin.
roughness,noun,B2,g'adir-budurlik,шероховатость,The quality of having an uneven or rough surface.,ˈrʌfnəs,,describing,Sensors record how lift changes as the roughness of the surface is altered.,Sensorlar sirt g'adir-budurligi o'zgarganda ko'tarilish kuchi qanday o'zgarishini qayd etadi.
seed,noun,A1,urug',семя,The small part of a plant from which a new plant can grow.,siːd,,nature,The seed vault protects crop varieties in case of disaster.,Urug' ombori falokat yuz berganda ekin navlarini himoya qiladi.
shelf,noun,A1,"tokcha, javon",полка,"A flat board fixed to a wall or in a cupboard, used for holding objects.",ʃelf,,home,Rows of shelves once occupied most of the library's floor area.,Bir vaqtlar kutubxonaning katta qismini tokcha qatorlari egallagan edi.
shrub,noun,B1,buta,куст,"A woody plant smaller than a tree, often with several stems growing from the base.",ʃrʌb,,nature,Low shrubs were planted along the restored stream bank.,Tiklangan soy qirg'og'i bo'ylab past butalar ekildi.
site,noun,A2,"joy, hudud","место, участок",A place where something is located or where an activity happens.,saɪt,,places,The findings refer to conditions at one particular site.,Topilmalar faqat bitta ma'lum joydagi sharoitlarga tegishli.
synonym,noun,B2,sinonim,синоним,A word that has the same or nearly the same meaning as another word.,ˈsɪnənɪm,,school,Scan for synonyms rather than expecting the exact same words.,"Xuddi bir xil so'zlarni emas, balki sinonimlarni qidiring."
turbulence,noun,B2,"turbulentlik, havo notekisligi",турбулентность,Violent or unpredictable movement of air or water.,ˈtɜːbjələns,,nature,The wind tunnel test shows how turbulence forms behind the wing.,Shamol tunneli sinovi qanot orqasida turbulentlik qanday hosil bo'lishini ko'rsatadi.
uncertain,adjective,B1,noaniq,неопределённый,Not known or definite; not sure.,ʌnˈsɜːtn,,describing,The long-term effect of the new material is still uncertain.,Yangi materialning uzoq muddatli ta'siri hali ham noaniq.
underline,verb,A2,tagiga chizmoq; ta'kidlamoq,подчёркивать,"To draw a line under a word or phrase, or to emphasise its importance.",ˌʌndəˈlaɪn,,school,Underline the paragraph's repeated idea before reading the headings.,Sarlavhalarni o'qishdan oldin paragrafda takrorlangan g'oyani tagiga chizing.
uninterrupted,adjective,B2,"uzluksiz, to'xtovsiz",непрерывный,Continuing without any pause or interruption.,ˌʌnɪntəˈrʌptɪd,,describing,The recordings need several hours of uninterrupted quiet.,Yozuvlar bir necha soat uzluksiz sokinlikni talab qiladi.
unreliable,adjective,B1,ishonchsiz,ненадёжный,Not able to be trusted or depended on.,ˌʌnrɪˈlaɪəbl,,describing,A single short test can be an unreliable guide to long-term performance.,Bitta qisqa sinov uzoq muddatli samaradorlik uchun ishonchsiz ko'rsatkich bo'lishi mumkin.
unsuitable,adjective,B1,mos kelmaydigan,неподходящий,Not right or appropriate for a particular purpose or situation.,ʌnˈsuːtəbl,,describing,"Some plants are unsuitable for a shallow, windy rooftop.",Ba'zi o'simliklar sayoz va shamolli tom uchun mos kelmaydi.
ventilation,noun,B2,"shamollatish, ventilyatsiya",вентиляция,The process of allowing fresh air to circulate in a space.,ˌventɪˈleɪʃn,,home,Good ventilation keeps the workspace comfortable in summer.,Yaxshi shamollatish yozda ish maydonini qulay saqlaydi.
viewable,adjective,B1,ko'rish mumkin bo'lgan,доступный для просмотра,Able to be seen or watched.,ˈvjuːəbl,,describing,Restoration work made the early films viewable again.,Tiklash ishlari eski filmlarni yana ko'rish mumkin qildi.
waterway,noun,B1,suv yo'li,водный путь,"A river, canal, or other route by which boats can travel, or through which water flows.",ˈwɔːtəweɪ,,nature,The project restores a hidden urban waterway.,Loyiha yashirin shahar suv yo'lini tiklaydi.
wearable,adjective,B2,kiyib yuriladigan,носимый,"Suitable or comfortable to be worn, or (of technology) designed to be worn on the body.",ˈweərəbl,,clothes,A wearable sensor tracks the volunteer's route during the survey.,Kiyib yuriladigan sensor so'rov davomida ko'ngillining marshrutini kuzatib boradi.
weekday,noun,A1,"ish kuni, hafta kuni",будний день,Any day of the week except Saturday and Sunday.,ˈwiːkdeɪ,,time,Classes run on weekday evenings and one Saturday morning.,Darslar ish kunlari kechqurun va bir shanba kuni ertalab o'tkaziladi.
windy,adjective,A2,shamolli,ветреный,With a lot of wind blowing.,ˈwɪndi,,nature,Rooftop gardens must be planned carefully because the site is windy.,Tom bog'lari hudud shamolli bo'lgani uchun ehtiyotkorlik bilan rejalashtirilishi kerak.
withdraw,verb,B1,"chiqib ketmoq, olib qo'ymoq","отзывать, изымать","To remove something, or to leave a place or activity.",wɪðˈdrɔː,,actions,Funding was withdrawn before the second phase could begin.,Ikkinchi bosqich boshlanishidan oldin moliyalashtirish olib qo'yildi.
workspace,noun,B1,ish joyi,рабочее место,"An area used for working, especially in an office.",ˈwɜːkspeɪs,,work,The centre offers shared workspaces for local freelancers.,Markaz mahalliy frilanserlar uchun umumiy ish joylarini taklif etadi.
