headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
contribute,verb,B2,hissa qo'shmoq,вносить вклад,To give something to help achieve a result.,kənˈtrɪbjuːt,2022,ielts,Tourism contributes to the economy.,Turizm iqtisodiyotga hissa qo'shadi.,,
criteria,noun,C1,mezonlar,критерии,Standards used for judging something.,kraɪˈtɪəriə,2024,ielts,The essay is graded against clear criteria.,Insho aniq mezonlar bo'yicha baholanadi.,standards,
data,noun,B2,ma'lumotlar,данные,Facts and figures collected for analysis.,ˈdeɪtə,2026,ielts,The data shows a rising trend.,Ma'lumotlar o'sish tendensiyasini ko'rsatadi.,,
define,verb,B2,ta'riflamoq,определять,To explain the exact meaning of something.,dɪˈfaɪn,2028,ielts,Define the term before using it.,Atamani ishlatishdan oldin ta'riflang.,,
derive,verb,C1,kelib chiqmoq,происходить,To come from something; to obtain from a source.,dɪˈraɪv,2030,ielts,Many English words derive from Latin.,Ko'p inglizcha so'zlar lotin tilidan kelib chiqqan.,originate,
distribute,verb,B2,taqsimlamoq,распределять,To give something out to several people or places.,dɪˈstrɪbjuːt,2032,ielts,Aid was distributed among the villages.,Yordam qishloqlar o'rtasida taqsimlandi.,share,
economy,noun,B2,iqtisodiyot,экономика,The system of money production and trade in a country.,ɪˈkɒnəmi,2034,ielts,The economy grew by five percent.,Iqtisodiyot besh foizga o'sdi.,,
emerge,verb,B2,yuzaga chiqmoq,появляться,To appear or become known.,ɪˈmɜːdʒ,2036,ielts,New evidence emerged during the trial.,Sud jarayonida yangi dalillar yuzaga chiqdi.,appear,
establish,verb,B2,tashkil qilmoq,учреждать,To start or create something lasting.,ɪˈstæblɪʃ,2038,ielts,The university was established in 1918.,Universitet 1918-yilda tashkil qilingan.,found,abolish
estimate,verb,B2,taxminan hisoblamoq,оценивать,To judge an approximate value or amount.,ˈestɪmeɪt,2040,ielts,Experts estimate the cost at two million.,Mutaxassislar xarajatni ikki millionga baholaydilar.,,
evidence,noun,B2,dalil,доказательство,Facts that show something is true.,ˈevɪdəns,2042,ielts,There is strong evidence for this theory.,Bu nazariyaga kuchli dalillar bor.,proof,
factor,noun,B2,omil,фактор,One of the things that influences a result.,ˈfæktə,2044,ielts,Price is a key factor in buying decisions.,Narx xarid qarorlarida asosiy omil.,element,
feature,noun,B2,xususiyat,особенность,An important or typical part of something.,ˈfiːtʃə,2046,ielts,Safety features are standard in new cars.,Yangi mashinalarda xavfsizlik xususiyatlari standart.,characteristic,
framework,noun,C1,asos tizim,структура,A basic structure of ideas or rules.,ˈfreɪmwɜːk,2048,ielts,The law provides a framework for trade.,Qonun savdo uchun asos yaratadi.,structure,
function,noun,B2,vazifa,функция,The purpose or job of something.,ˈfʌŋkʃn,2050,ielts,The function of the heart is to pump blood.,Yurakning vazifasi qon haydash.,role,
generate,verb,B2,hosil qilmoq,генерировать,To produce or create something.,ˈdʒenəreɪt,2052,ielts,Solar panels generate electricity.,Quyosh panellari elektr hosil qiladi.,produce,
hypothesis,noun,C1,gipoteza,гипотеза,An idea that is tested through study.,haɪˈpɒθəsɪs,2054,ielts,The results support our hypothesis.,Natijalar gipotezamizni qo'llab-quvvatlaydi.,theory,
identify,verb,B2,aniqlamoq,определять,To recognize and name someone or something.,aɪˈdentɪfaɪ,2056,ielts,The study identified three main causes.,Tadqiqot uchta asosiy sababni aniqladi.,,
impact,noun,B2,ta'sir,воздействие,A strong effect on something.,ˈɪmpækt,2058,ielts,Technology has a huge impact on education.,Texnologiya ta'limga ulkan ta'sir ko'rsatadi.,effect,
implement,verb,C1,joriy qilmoq,внедрять,To put a plan or decision into action.,ˈɪmplɪment,2060,ielts,The school implemented a new timetable.,Maktab yangi dars jadvalini joriy qildi.,execute,
implication,noun,C1,oqibat ma'no,последствие,A possible result or hidden meaning.,ˌɪmplɪˈkeɪʃn,2062,ielts,The decision has serious implications for farmers.,Qaror dehqonlar uchun jiddiy oqibatlarga ega.,consequence,
indicate,verb,B2,ko'rsatmoq,указывать,To show or point out something.,ˈɪndɪkeɪt,2064,ielts,Studies indicate that sleep affects learning.,Tadqiqotlar uyqu o'rganishga ta'sir qilishini ko'rsatadi.,show,
individual,noun,B2,shaxs,личность,One person considered separately.,ˌɪndɪˈvɪdʒuəl,2066,ielts,Every individual has equal rights.,Har bir shaxs teng huquqqa ega.,person,
interpret,verb,B2,talqin qilmoq,интерпретировать,To explain the meaning of something.,ɪnˈtɜːprɪt,2068,ielts,The chart can be interpreted in two ways.,Diagrammani ikki xil talqin qilish mumkin.,,
involve,verb,B2,o'z ichiga olmoq,включать,To include something as a necessary part.,ɪnˈvɒlv,2070,ielts,The job involves a lot of travel.,Bu ish ko'p safarni o'z ichiga oladi.,include,
issue,noun,B2,masala,вопрос,An important topic or problem.,ˈɪʃuː,2072,ielts,Climate change is a global issue.,Iqlim o'zgarishi global masala.,matter,
maintain,verb,B2,saqlab turmoq,поддерживать,To keep something at the same level or condition.,meɪnˈteɪn,2074,ielts,It is hard to maintain concentration for hours.,Soatlab diqqatni saqlab turish qiyin.,preserve,
major,adjective,B2,asosiy yirik,основной,Very large or important.,ˈmeɪdʒə,2076,ielts,Pollution is a major problem in cities.,Ifloslanish shaharlarda yirik muammo.,significant,minor
method,noun,B2,usul,метод,A way of doing something.,ˈmeθəd,2078,ielts,This method saves time and money.,Bu usul vaqt va pulni tejaydi.,technique,
obtain,verb,B2,qo'lga kiritmoq,получать,To get something especially by effort.,əbˈteɪn,2080,ielts,Students must obtain permission first.,Talabalar avval ruxsat olishlari kerak.,acquire,
occur,verb,B2,sodir bo'lmoq,происходить,To happen.,əˈkɜː,2082,ielts,Earthquakes occur along this fault line.,Zilzilalar shu yoriq chizig'i bo'ylab sodir bo'ladi.,happen,
participate,verb,B2,ishtirok etmoq,участвовать,To take part in an activity.,pɑːˈtɪsɪpeɪt,2084,ielts,All students participated in the survey.,Barcha talabalar so'rovda ishtirok etishdi.,take part,
phenomenon,noun,C1,hodisa,явление,Something that happens especially something unusual.,fəˈnɒmɪnən,2086,ielts,Migration is a global phenomenon.,Migratsiya global hodisa.,,
policy,noun,B2,siyosat,политика,A plan of action agreed by a government or organization.,ˈpɒləsi,2088,ielts,The new policy supports small businesses.,Yangi siyosat kichik biznesni qo'llab-quvvatlaydi.,,
potential,noun,B2,salohiyat,потенциал,The possibility to develop or succeed.,pəˈtenʃl,2090,ielts,She has great potential as a scientist.,Uning olim sifatida katta salohiyati bor.,,
previous,adjective,B2,oldingi,предыдущий,Happening or existing before.,ˈpriːviəs,2092,ielts,Compare the results with previous years.,Natijalarni oldingi yillar bilan solishtiring.,earlier,following
primary,adjective,B2,birlamchi,первичный,Most important; first.,ˈpraɪməri,2094,ielts,Our primary goal is student success.,Bizning birlamchi maqsadimiz talaba muvaffaqiyati.,main,secondary
principle,noun,B2,tamoyil,принцип,A basic rule or belief.,ˈprɪnsəpl,2096,ielts,The system works on a simple principle.,Tizim oddiy tamoyil asosida ishlaydi.,rule,
priority,noun,B2,ustuvorlik,приоритет,Something more important than other things.,praɪˈɒrəti,2098,ielts,Health is our top priority.,Salomatlik bizning bosh ustuvorligimiz.,,
procedure,noun,B2,tartib-taomil,процедура,An official way of doing something.,prəˈsiːdʒə,2100,ielts,Follow the safety procedure exactly.,Xavfsizlik tartibiga aniq rioya qiling.,process,
process,noun,B2,jarayon,процесс,A series of actions to achieve a result.,ˈprəʊses,2102,ielts,Learning a language is a slow process.,Til o'rganish sekin jarayon.,,
proportion,noun,C1,nisbat ulush,пропорция,A part or share of a whole.,prəˈpɔːʃn,2104,ielts,A large proportion of students work part-time.,Talabalarning katta ulushi yarim kunlik ishlaydi.,share,
pursue,verb,C1,intilmoq,преследовать (цель),To try to achieve something over time.,pəˈsjuː,2106,ielts,She moved abroad to pursue her studies.,U o'qishini davom ettirish uchun chet elga ketdi.,,
relevant,adjective,B2,tegishli dolzarb,актуальный,Connected to the matter being discussed.,ˈreləvənt,2108,ielts,Only include relevant information.,Faqat tegishli ma'lumotni kiriting.,,irrelevant
require,verb,B2,talab qilmoq,требовать,To need something; to make something necessary.,rɪˈkwaɪə,2110,ielts,The visa requires two photos.,Viza ikkita surat talab qiladi.,need,
research,noun,B2,tadqiqot,исследование,Careful study to discover new facts.,rɪˈsɜːtʃ,2112,ielts,Her research focuses on child language.,Uning tadqiqoti bola tiliga qaratilgan.,study,
resource,noun,B2,resurs,ресурс,Something useful that can be used to help.,rɪˈsɔːs,2114,ielts,Water is our most precious resource.,Suv eng qimmatli resursimiz.,,
respond,verb,B2,javob bermoq,отвечать,To answer or react to something.,rɪˈspɒnd,2116,ielts,The government responded to the crisis quickly.,Hukumat inqirozga tez javob berdi.,reply,
restrict,verb,B2,cheklamoq,ограничивать,To limit something.,rɪˈstrɪkt,2118,ielts,The city restricted traffic in the centre.,Shahar markazda transportni chekladi.,limit,
reveal,verb,B2,oshkor qilmoq,раскрывать,To show something that was hidden.,rɪˈviːl,2120,ielts,The survey revealed surprising results.,So'rov kutilmagan natijalarni oshkor qildi.,disclose,conceal
role,noun,B2,rol,роль,The position or purpose someone or something has.,rəʊl,2122,ielts,Teachers play a key role in society.,O'qituvchilar jamiyatda asosiy rol o'ynaydi.,,
sector,noun,B2,soha sektor,сектор,A part of the economy or society.,ˈsektə,2124,ielts,The IT sector is growing fast.,IT sohasi tez o'smoqda.,,
significant,adjective,B2,ahamiyatli,значительный,Large or important enough to matter.,sɪɡˈnɪfɪkənt,2126,ielts,There was a significant improvement in scores.,Natijalarda ahamiyatli yaxshilanish bo'ldi.,notable,insignificant
similar,adjective,B2,o'xshash,похожий,Almost the same but not exactly.,ˈsɪmələ,2128,ielts,The two studies reached similar conclusions.,Ikkala tadqiqot o'xshash xulosalarga keldi.,alike,different
source,noun,B2,manba,источник,Where something comes from.,sɔːs,2130,ielts,Cite your sources in the essay.,Inshoda manbalaringizni ko'rsating.,origin,
specific,adjective,B2,aniq muayyan,конкретный,Exact and particular.,spəˈsɪfɪk,2132,ielts,Give specific examples in your answer.,Javobingizda aniq misollar keltiring.,particular,general
strategy,noun,B2,strategiya,стратегия,A plan for achieving a goal.,ˈstrætədʒi,2134,ielts,We need a clear marketing strategy.,Bizga aniq marketing strategiyasi kerak.,plan,
structure,noun,B2,tuzilma,структура,The way parts are arranged or organized.,ˈstrʌktʃə,2136,ielts,The essay has a clear structure.,Inshoning tuzilishi aniq.,,
subsequent,adjective,C1,keyingi,последующий,Coming after something else.,ˈsʌbsɪkwənt,2138,ielts,Subsequent studies confirmed the finding.,Keyingi tadqiqotlar topilmani tasdiqladi.,following,previous
sufficient,adjective,B2,yetarli,достаточный,As much as is needed.,səˈfɪʃnt,2140,ielts,Make sure you have sufficient time.,Yetarli vaqtingiz borligiga ishonch hosil qiling.,enough,insufficient
summary,noun,B2,xulosa qisqacha bayon,резюме,A short statement of the main points.,ˈsʌməri,2142,ielts,Write a summary of the article.,Maqolaning qisqacha bayonini yozing.,overview,
survey,noun,B2,so'rov,опрос,A set of questions asked to many people.,ˈsɜːveɪ,2144,ielts,The survey covered two thousand households.,So'rov ikki ming xonadonni qamrab oldi.,poll,
sustainable,adjective,C1,barqaror,устойчивый,Able to continue without damaging the environment.,səˈsteɪnəbl,2146,ielts,We need sustainable farming methods.,Bizga barqaror dehqonchilik usullari kerak.,,
tendency,noun,C1,moyillik,тенденция,A general direction of change or behaviour.,ˈtendənsi,2148,ielts,Prices show a tendency to rise in spring.,Narxlar bahorda o'sish tendensiyasini ko'rsatadi.,trend,
theory,noun,B2,nazariya,теория,An idea that explains how something works.,ˈθɪəri,2150,ielts,The theory is supported by evidence.,Nazariya dalillar bilan tasdiqlangan.,,
trend,noun,B2,tendensiya,тренд,A general direction of change.,trend,2152,ielts,The graph shows an upward trend.,Grafik o'sish tendensiyasini ko'rsatadi.,tendency,
undergo,verb,C1,boshdan kechirmoq,подвергаться,To experience something especially change.,ˌʌndəˈɡəʊ,2154,ielts,The city has undergone rapid change.,Shahar tez o'zgarishlarni boshdan kechirdi.,experience,
undertake,verb,C1,zimmasiga olmoq,предпринимать,To start and take responsibility for a task.,ˌʌndəˈteɪk,2156,ielts,The team undertook a major project.,Jamoa yirik loyihani zimmasiga oldi.,,
vary,verb,B2,turlicha bo'lmoq,варьироваться,To be different in different situations.,ˈveəri,2158,ielts,Prices vary from region to region.,Narxlar hududdan hududga turlicha bo'ladi.,differ,
welfare,noun,C1,farovonlik,благосостояние,The health and happiness of people.,ˈwelfeə,2160,ielts,The charity works for child welfare.,Xayriya tashkiloti bolalar farovonligi uchun ishlaydi.,wellbeing,
widespread,adjective,B2,keng tarqalgan,широко распространённый,Existing in many places or among many people.,ˈwaɪdspred,2162,ielts,Smartphone use is widespread among teenagers.,Smartfon o'smirlar orasida keng tarqalgan.,common,rare
acquire,verb,B2,egallamoq,приобретать,To gain or get something.,əˈkwaɪə,2164,ielts,Children acquire language naturally.,Bolalar tilni tabiiy egallaydi.,obtain,lose
adequate,adjective,B2,yetarli munosib,адекватный,Good enough for a purpose.,ˈædɪkwət,2166,ielts,The room has adequate lighting for reading.,Xonada o'qish uchun yetarli yorug'lik bor.,sufficient,inadequate
alter,verb,B2,o'zgartirmoq,изменять,To change something.,ˈɔːltə,2168,ielts,The plan was altered at the last minute.,Reja so'nggi daqiqada o'zgartirildi.,change,
appropriate,adjective,B2,mos munosib,подходящий,Suitable for a situation.,əˈprəʊpriət,2170,ielts,Wear appropriate clothes for the interview.,Suhbatga mos kiyim kiying.,suitable,inappropriate
assist,verb,B2,yordam bermoq,помогать,To help someone.,əˈsɪst,2172,ielts,Volunteers assisted the medical team.,Ko'ngillilar tibbiy jamoaga yordam berishdi.,help,
category,noun,B2,turkum,категория,A group of things with shared features.,ˈkætəɡəri,2174,ielts,The books are sorted into categories.,Kitoblar turkumlarga ajratilgan.,class,
circumstance,noun,C1,vaziyat holat,обстоятельство,A condition connected with an event.,ˈsɜːkəmstəns,2176,ielts,Under no circumstances leave the door open.,Hech qanday vaziyatda eshikni ochiq qoldirmang.,situation,
commit,verb,B2,o'zini bag'ishlamoq,посвящать себя,To promise to do something; to do something wrong.,kəˈmɪt,2178,ielts,She committed herself to the project.,U o'zini loyihaga bag'ishladi.,dedicate,
complex,adjective,B2,murakkab,сложный,Made of many connected parts; difficult.,ˈkɒmpleks,2180,ielts,The brain is a complex organ.,Miya murakkab a'zo.,complicated,simple
comprise,verb,C1,o'z ichiga olmoq,включать в себя,To consist of; to be made up of.,kəmˈpraɪz,2182,ielts,The exam comprises four sections.,Imtihon to'rt bo'limni o'z ichiga oladi.,consist of,
conflict,noun,B2,nizo,конфликт,A serious disagreement.,ˈkɒnflɪkt,2184,ielts,The conflict was resolved through talks.,Nizo muzokaralar orqali hal qilindi.,dispute,harmony
constant,adjective,B2,doimiy,постоянный,Happening all the time; not changing.,ˈkɒnstənt,2186,ielts,The machine needs constant attention.,Mashina doimiy e'tibor talab qiladi.,continuous,variable
consult,verb,B2,maslahatlashmoq,консультироваться,To ask an expert for advice or information.,kənˈsʌlt,2188,ielts,Consult a doctor before starting a diet.,Parhezni boshlashdan oldin shifokor bilan maslahatlashing.,,
consume,verb,B2,iste'mol qilmoq,потреблять,To use eat or drink something.,kənˈsjuːm,2190,ielts,The country consumes more energy every year.,Mamlakat har yili ko'proq energiya iste'mol qiladi.,use,
contemporary,adjective,C1,zamonaviy hozirgi,современный,Belonging to the present time.,kənˈtemprəri,2192,ielts,The gallery shows contemporary art.,Galereya zamonaviy san'atni namoyish etadi.,modern,ancient
controversial,adjective,C1,munozarali,спорный,Causing strong disagreement.,ˌkɒntrəˈvɜːʃl,2194,ielts,The new law is highly controversial.,Yangi qonun juda munozarali.,disputed,
academic,adjective,B2,akademik ilmiy,академический,Connected with education and study.,ˌækəˈdemɪk,2196,ielts,Her academic results were excellent.,Uning akademik natijalari a'lo edi.,scholarly,
objective,noun,B2,maqsad,цель,Something you plan to achieve.,əbˈdʒektɪv,2198,ielts,The main objective is to reduce costs.,Asosiy maqsad xarajatlarni kamaytirish.,goal,
