headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
asperity,noun,C2,qo'pol keskinlik,резкость,harshness in speech or manner,əˈsperəti,34120,describing,She spoke with asperity after the insult.,U haqoratdan keyin qo'pol keskinlik bilan gapirdi.,harshness | severity,gentleness
atone,verb,C2,gunohini yuvmoq,искупать,to do something to show regret for a wrong action,əˈtəʊn,34121,describing,He tried to atone for his earlier mistake.,U oldingi xatosi uchun gunohini yuvishga urindi.,repent | compensate,offend
audacity,noun,C2,jasoratli betakalluflik,дерзость,a willingness to take bold risks,ɔːˈdæsəti,34122,describing,She had the audacity to challenge the decision.,U qarorni shubha ostiga olishga jasoratli betakalluflik qildi.,boldness | nerve,timidity
augury,noun,C2,alomat,предзнаменование,a sign that suggests what may happen,ˈɔːɡjəri,34123,describing,The dark clouds were an augury of rain.,Qora bulutlar yomg'ir alomati edi.,omen | sign,certainty
autonomous,adjective,C2,mustaqil boshqariladigan,автономный,able to govern or control itself,ɔːˈtɒnəməs,34124,describing,The region became autonomous after the reform.,Hudud islohotdan keyin mustaqil boshqariladigan bo'ldi.,independent | self-governing,dependent
aversion,noun,C2,kuchli yoqtirmaslik,отвращение,a strong feeling of dislike,əˈvɜːʃn,34125,describing,He has an aversion to public speaking.,U omma oldida gapirishni qattiq yoqtirmaydi.,dislike | repugnance,attraction
avow,verb,C2,ochiq tan olmoq,признавать,to state something openly and firmly,əˈvaʊ,34126,describing,She avowed her support for the project.,U loyiha tarafdori ekanini ochiq tan oldi.,declare | affirm,deny
bombastic,adjective,C2,dabdabali va balandparvoz,напыщенный,using language that sounds important but is not useful,bɒmˈbæstɪk,34127,describing,His bombastic speech lacked real ideas.,Uning dabdabali nutqida haqiqiy g'oyalar yo'q edi.,pompous | grandiose,plain
cacophonous,adjective,C2,quloqqa yoqimsiz shovqinli,какофонический,making a harsh mixture of sounds,kəˈkɒfənəs,34128,describing,The street became cacophonous at rush hour.,Ko'cha tig'iz paytda quloqqa yoqimsiz shovqinli bo'ldi.,noisy | discordant,harmonious
cajole,verb,C2,shirin gap bilan ko'ndirmoq,уговаривать,to persuade someone by being pleasant,kəˈdʒəʊl,34129,describing,He tried to cajole her into staying.,U uni qolishga shirin gap bilan ko'ndirmoqchi bo'ldi.,persuade | coax,force
capitulation,noun,C2,taslim bo'lish,капитуляция,the act of giving up resistance,kəˌpɪtjʊˈleɪʃn,34130,describing,The surrender marked the capitulation of the army.,Taslim bo'lish armiyaning taslim bo'lganini ko'rsatdi.,surrender | submission,resistance
carping,adjective,C2,mayda nuqson qidiradigan,придирчивый,always finding fault with small things,ˈkɑːpɪŋ,34131,describing,His carping criticism discouraged the team.,Uning mayda nuqson qidiradigan tanqidi jamoani tushkun qildi.,faultfinding | critical,praising
categorical,adjective,C2,qat'iy va aniq,категоричный,expressed in a definite and clear way,ˌkætəˈɡɒrɪkl,34132,describing,The minister gave a categorical refusal.,Vazir qat'iy va aniq rad javobini berdi.,absolute | definite,uncertain
chicanery,noun,C2,makkor hiyla,махинация,clever dishonest behaviour used to gain advantage,ʃɪˈkeɪnəri,34133,describing,The deal involved financial chicanery.,Kelishuv moliyaviy makkor hiylani o'z ichiga oldi.,trickery | fraud,honesty
circumscribe,verb,C2,cheklab qo'ymoq,ограничивать,to limit something within boundaries,ˈsɜːkəmskraɪb,34134,describing,Strict rules circumscribe what employees can do.,Qattiq qoidalar xodimlar nima qila olishini cheklab qo'yadi.,limit | restrict,expand
clemency,noun,C2,rahm-shafqat,милосердие,kindness shown by reducing a punishment,ˈklemənsi,34135,describing,The prisoner appealed for clemency.,Mahbus rahm-shafqat so'rab murojaat qildi.,mercy | leniency,severity
coercive,adjective,C2,majburlovchi,принудительный,using force or threats to control others,kəʊˈɜːsɪv,34136,describing,The group used coercive tactics to gain support.,Guruh qo'llov olish uchun majburlovchi usullardan foydalandi.,forceful | oppressive,voluntary
commensurate,adjective,C2,mos darajadagi,соразмерный,matching in size or importance,kəˈmensərət,34137,describing,The reward should be commensurate with the effort.,Mukofot harakatga mos darajada bo'lishi kerak.,proportionate | equivalent,disproportionate
compunction,noun,C2,vijdon azobi,угрызения совести,a feeling of guilt about doing something wrong,kəmˈpʌŋkʃn,34138,describing,He showed no compunction after lying.,U yolg'ondan keyin hech qanday vijdon azobi ko'rsatmadi.,remorse | guilt,indifference
condescending,adjective,C2,tepada turib gapiradigan,снисходительный,treating others as less intelligent or important,ˌkɒndɪˈsendɪŋ,34139,describing,Her condescending reply upset the intern.,Uning tepada turib gapiradigan javobi amaliyotchini xafa qildi.,patronizing | superior,respectful
connoisseur,noun,C2,nozik didli bilimdon,знаток,a person with expert knowledge of a subject,ˌkɒnəˈsɜː,34140,describing,The connoisseur recognized the rare painting.,Nozik didli bilimdon noyob rasmni tanidi.,expert | aficionado,novice
consummate,adjective,C2,benuqson,совершенный,showing the highest level of skill,ˈkɒnsəmət,34141,describing,She is a consummate professional.,U benuqson mutaxassisdir.,perfect | masterful,inept
contravene,verb,C2,buzmoq,нарушать,to act against a rule or law,ˌkɒntrəˈviːn,34142,describing,The action could contravene company policy.,Bu harakat kompaniya siyosatini buzishi mumkin.,violate | breach,obey
corporeal,adjective,C2,jismoniy,телесный,relating to the physical body,kɔːˈpɔːriəl,34143,describing,The novel contrasts corporeal and spiritual needs.,Roman jismoniy va ruhiy ehtiyojlarni qarama-qarshi qo'yadi.,physical | bodily,spiritual
corroborative,adjective,C2,tasdiqlovchi,подтверждающий,supporting a statement with evidence,kəˈrɒbərətɪv,34144,describing,The witness gave corroborative evidence.,Guvoh tasdiqlovchi dalil berdi.,confirming | supporting,contradictory
covert,adjective,C2,yashirin,тайный,kept secret or hidden,ˈkəʊvɜːt,34145,describing,They conducted a covert investigation.,Ular yashirin tekshiruv o'tkazdilar.,secret | concealed,overt
culpable,adjective,C2,aybdor,виновный,deserving blame for something wrong,ˈkʌlpəbl,34146,describing,The report found the manager culpable.,Hisobot menejerni aybdor deb topdi.,guilty | blameworthy,innocent
cynical,adjective,C2,hamma narsadan yomon gumon qiladigan,циничный,believing people are mainly selfish,ˈsɪnɪkl,34147,describing,He gave a cynical laugh at the promise.,U va'daga hamma narsadan yomon gumon qilgandek kuldi.,skeptical | distrustful,idealistic
debacle,noun,C2,sharmandali muvaffaqiyatsizlik,фиаско,a complete and embarrassing failure,deɪˈbɑːkl,34148,describing,The launch became a costly debacle.,Ishga tushirish qimmat sharmandali muvaffaqiyatsizlikka aylandi.,fiasco | disaster,success
decry,verb,C2,qattiq qoralamoq,осуждать,to publicly criticize something strongly,dɪˈkraɪ,34149,describing,Activists decry the new restrictions.,Faollar yangi cheklovlarni qattiq qoralaydilar.,condemn | denounce,praise
deleterious,adjective,C2,zararli,вредный,causing harm or damage,ˌdelɪˈtɪəriəs,34150,describing,Stress has deleterious effects on sleep.,Stress uyquga zararli ta'sir qiladi.,harmful | damaging,beneficial
delineation,noun,C2,aniq belgilash,разграничение,the clear description or marking of limits,dɪˌlɪniˈeɪʃn,34151,describing,The map provides a delineation of the border.,Xarita chegaraning aniq belgilanishini beradi.,definition | outline,confusion
demagogue,noun,C2,ommani qo'zg'atuvchi siyosatchi,демагог,a leader who gains support through emotion and prejudice,ˈdeməɡɒɡ,34152,describing,The demagogue used fear to win votes.,Ommani qo'zg'atuvchi siyosatchi ovoz olish uchun qo'rquvdan foydalandi.,agitator | populist,statesman
denigrate,verb,C2,qadrini tushirmoq,очернять,to unfairly criticize or damage someone's reputation,ˈdenɪɡreɪt,34153,describing,Do not denigrate your colleagues in public.,Hamkasblaringizning qadrini omma oldida tushirmang.,belittle | disparage,praise
depravity,noun,C2,axloqiy tubanlik,порочность,extreme moral corruption,dɪˈprævəti,34154,describing,The novel describes the depravity of the regime.,Roman tuzumning axloqiy tubanligini tasvirlaydi.,corruption | wickedness,virtue
derision,noun,C2,masxara,насмешка,contemptuous laughter or mockery,dɪˈrɪʒn,34155,describing,His idea was met with derision.,Uning g'oyasi masxara bilan kutib olindi.,mockery | scorn,respect
despot,noun,C2,zolim hukmdor,деспот,a ruler with complete and cruel power,ˈdespɒt,34156,describing,The despot ruled through fear.,Zolim hukmdor qo'rquv orqali hukmronlik qildi.,tyrant | autocrat,democrat
dilatory,adjective,C2,ataylab cho'zadigan,затягивающий,intended to delay something,ˈdɪlətəri,34157,describing,The lawyer used dilatory tactics in court.,Advokat sudda ataylab cho'zadigan usullardan foydalandi.,delaying | obstructive,prompt
discernible,adjective,C2,seziladigan,различимый,able to be seen or noticed,dɪˈsɜːnəbl,34158,describing,There was no discernible change in her voice.,Uning ovozida seziladigan o'zgarish yo'q edi.,noticeable | detectable,imperceptible
disconcerting,adjective,C2,bezovta qiladigan,тревожный,making you feel worried or confused,ˌdɪskənˈsɜːtɪŋ,34159,describing,The silence was deeply disconcerting.,Sukunat juda bezovta qiladigan edi.,unsettling | troubling,reassuring
discredit,verb,C2,obro'sini tushirmoq,дискредитировать,to cause people to stop believing someone,dɪsˈkredɪt,34160,describing,False claims can discredit a researcher.,Yolg'on da'volar tadqiqotchining obro'sini tushirishi mumkin.,undermine | disprove,validate
disingenuous,adjective,C2,samimiy bo'lmagan,неискренний,not honest about your true intentions,ˌdɪsɪnˈdʒenjuəs,34161,describing,His disingenuous apology convinced no one.,Uning samimiy bo'lmagan kechirimi hech kimni ishontirmadi.,insincere | deceitful,honest
dispassionate,adjective,C2,xolis,беспристрастный,not influenced by strong feelings,dɪsˈpæʃənət,34162,describing,The judge gave a dispassionate assessment.,Sudya xolis baho berdi.,objective | impartial,emotional
disparate,adjective,C2,mutlaqo turli,разнородный,very different from each other,ˈdɪspərət,34163,describing,The report combines disparate sources.,Hisobot mutlaqo turli manbalarni birlashtiradi.,different | distinct,similar
disreputable,adjective,C2,yomon nom chiqargan,сомнительный,having a bad reputation,dɪsˈrepjətəbl,34164,describing,They avoided the disreputable website.,Ular yomon nom chiqargan saytdan qochdilar.,shady | dishonourable,respectable
dormant,adjective,C2,faol bo'lmagan,спящий,not active but able to become active,ˈdɔːmənt,34165,describing,The volcano has been dormant for centuries.,Vulqon asrlar davomida faol bo'lmagan.,inactive | latent,active
eclectic,adjective,C2,turli manbalardan tanlangan,эклектичный,including a wide range of different styles,ɪˈklektɪk,34166,describing,Her playlist is eclectic and surprising.,Uning qo'shiqlar ro'yxati turli manbalardan tanlangan va hayratli.,diverse | varied,uniform
edifying,adjective,C2,ma'rifiy,поучительный,providing moral or intellectual instruction,ˈedɪfaɪɪŋ,34167,describing,The documentary was both moving and edifying.,Hujjatli film ham ta'sirli ham ma'rifiy edi.,instructive | enlightening,trivial
efficacy,noun,C2,samaradorlik,эффективность,the ability to produce the desired result,ˈefɪkəsi,34168,describing,The trial tested the efficacy of the treatment.,Sinov davolash usulining samaradorligini tekshirdi.,effectiveness | potency,ineffectiveness
egregious,adjective,C2,juda qo'pol,вопиющий,extremely bad or shocking,ɪˈɡriːdʒəs,34169,describing,The report exposed an egregious error.,Hisobot juda qo'pol xatoni ochib berdi.,outrageous | flagrant,minor
embolden,verb,C2,jasorat bermoq,ободрять,to give someone confidence to act,ɪmˈbəʊldən,34170,describing,The early success emboldened the team.,Dastlabki muvaffaqiyat jamoaga jasorat berdi.,encourage | strengthen,discourage
emollient,noun,C2,yumshatuvchi vosita,смягчающее средство,a substance that softens or soothes skin,ɪˈmɒliənt,34171,describing,The doctor recommended an emollient for dry skin.,Shifokor quruq teri uchun yumshatuvchi vosita tavsiya qildi.,moisturizer | balm,irritant
enervating,adjective,C2,holdan toydiradigan,изнуряющий,making someone feel weak or tired,ˈenəveɪtɪŋ,34172,describing,The humid heat was enervating.,Nam issiq holdan toydiradigan edi.,exhausting | draining,energizing
enigmatic,adjective,C2,sirli,загадочный,difficult to understand or explain,ˌenɪɡˈmætɪk,34173,describing,Her enigmatic smile puzzled everyone.,Uning sirli jilmayishi hammani hayron qoldirdi.,mysterious | puzzling,obvious
enmity,noun,C2,ochiq dushmanlik,вражда,a state of active hostility,ˈenməti,34174,describing,Years of enmity divided the families.,Yillar davom etgan ochiq dushmanlik oilalarni ajratdi.,hostility | animosity,friendship
ennui,noun,C2,zerikish va ma'nosizlik hissi,тоска,a feeling of boredom and dissatisfaction,ɒnˈwiː,34175,describing,He felt ennui during the long summer.,U uzun yoz davomida zerikish va ma'nosizlikni his qildi.,boredom | weariness,excitement
equivocal,adjective,C2,noaniq,двусмысленный,open to more than one interpretation,ɪˈkwɪvəkl,34176,describing,The statement was equivocal and confusing.,Bayonot noaniq va chalkash edi.,ambiguous | vague,clear
erudite,adjective,C2,juda bilimdon,эрудированный,having or showing great knowledge,ˈerudaɪt,34177,describing,The erudite professor answered every question.,Juda bilimdon professor har bir savolga javob berdi.,learned | scholarly,ignorant
esoteric,adjective,C2,faqat ozchilik tushunadigan,эзотерический,intended for or understood by few people,ˌesəˈterɪk,34178,describing,The lecture became too esoteric for beginners.,Ma'ruza yangi o'rganuvchilar uchun haddan tashqari murakkab bo'ldi.,obscure | specialised,common
euphemistic,adjective,C2,yumshatib aytilgan,эвфемистический,using mild words instead of direct ones,ˌjuːfəˈmɪstɪk,34179,describing,The phrase is a euphemistic way to describe failure.,Bu ibora muvaffaqiyatsizlikni yumshatib aytish usulidir.,indirect | softened,direct
exculpatory,adjective,C2,aybsizligini ko'rsatuvchi,оправдательный,showing that someone is not guilty,ɪkˈskʌlpətəri,34180,describing,The lawyer presented exculpatory evidence.,Advokat aybsizligini ko'rsatuvchi dalil taqdim etdi.,clearing | absolving,incriminating
execrable,adjective,C2,nihoyatda yomon,отвратительный,extremely bad or unpleasant,ˈeksɪkrəbl,34181,describing,The hotel service was execrable.,Mehmonxona xizmati nihoyatda yomon edi.,awful | dreadful,excellent
exhort,verb,C2,qat'iy undamoq,увещевать,to strongly encourage someone to do something,ɪɡˈzɔːt,34182,describing,The coach exhorted the players to focus.,Murabbiy o'yinchilarni diqqatni jamlashga qat'iy undadi.,urge | implore,dissuade
exorbitant,adjective,C2,haddan tashqari qimmat,чрезмерный,much too high especially in price,ɪɡˈzɔːbɪtənt,34183,describing,The shop charged an exorbitant delivery fee.,Do'kon haddan tashqari qimmat yetkazib berish haqini oldi.,excessive | inflated,reasonable
expedient,adjective,C2,qulay bo'lgani uchun tanlangan,целесообразный,useful for a particular purpose even if not ideal,ɪkˈspiːdiənt,34184,describing,It was expedient to postpone the meeting.,Uchrashuvni kechiktirish qulay bo'lgani uchun tanlandi.,practical | convenient,impractical
expunge,verb,C2,o'chirib tashlamoq,вычеркивать,to remove something completely from a record,ɪkˈspʌndʒ,34185,describing,The court agreed to expunge the old record.,Sud eski qaydni o'chirib tashlashga rozi bo'ldi.,erase | delete,retain
fallacious,adjective,C2,mantiqan noto'g'ri,ошибочный,based on a mistaken belief or reasoning,fəˈleɪʃəs,34186,describing,The argument is fallacious because it lacks evidence.,Dalil yetishmagani uchun bu dalil mantiqan noto'g'ri.,false | flawed,sound
fastidious,adjective,C2,juda sinchkov,придирчивый,paying great attention to small details,fæˈstɪdiəs,34187,describing,She is fastidious about grammar.,U grammatika borasida juda sinchkov.,meticulous | exacting,careless
fatuous,adjective,C2,ahmoqona,глупый,silly and lacking good judgment,ˈfætʃuəs,34188,describing,His fatuous remark embarrassed the group.,Uning ahmoqona gapi guruhni uyaltirdi.,foolish | inane,wise
feckless,adjective,C2,mas'uliyatsiz,безответственный,lacking strength of character or responsibility,ˈfekləs,34189,describing,The feckless manager ignored the warning.,Mas'uliyatsiz menejer ogohlantirishni e'tiborsiz qoldirdi.,irresponsible | weak,responsible
fervent,adjective,C2,jo'shqin,пылкий,having very strong and sincere feelings,ˈfɜːvənt,34190,describing,She is a fervent advocate for equality.,U tenglikning jo'shqin tarafdoridir.,passionate | ardent,indifferent
florid,adjective,C2,haddan tashqari bezakli,вычурный,too elaborate or decorated in style,ˈflɒrɪd,34191,describing,The writer used florid language throughout.,Yozuvchi boshidan oxirigacha haddan tashqari bezakli til ishlatdi.,ornate | elaborate,plain
fortuitous,adjective,C2,omadli tasodifiy,случайный и удачный,happening by chance in a lucky way,fɔːˈtjuːɪtəs,34192,describing,Their meeting was fortuitous for both companies.,Ularning uchrashuvi ikki kompaniya uchun omadli tasodif edi.,lucky | accidental,unlucky
fractious,adjective,C2,kelishmovchilikka moyil,склочный,easily upset and likely to argue,ˈfrækʃəs,34193,describing,The fractious committee could not agree.,Kelishmovchilikka moyil qo'mita kelisha olmadi.,quarrelsome | irritable,cooperative
garrulous,adjective,C2,haddan tashqari sergap,болтливый,talking a lot especially about unimportant things,ˈɡærələs,34194,describing,The garrulous passenger talked for hours.,Haddan tashqari sergap yo'lovchi soatlab gapirdi.,talkative | loquacious,taciturn
gratuitous,adjective,C2,keraksiz va sababsiz,необоснованный,unnecessary and without a good reason,ɡrəˈtjuːɪtəs,34195,describing,The film contained gratuitous violence.,Filmda keraksiz va sababsiz zo'ravonlik bor edi.,unwarranted | needless,justified
hackneyed,adjective,C2,juda ko'p ishlatilgan,избитый,used too often to be interesting,ˈhæknid,34196,describing,The speech relied on hackneyed phrases.,Nutq juda ko'p ishlatilgan iboralarga tayandi.,clichéd | trite,original
hapless,adjective,C2,omadsiz,невезучий,unlucky and often unable to help yourself,ˈhæpləs,34197,describing,The hapless traveller lost his bag twice.,Omadsiz sayohatchi sumkasini ikki marta yo'qotdi.,unfortunate | luckless,fortunate
hedonistic,adjective,C2,zavqqa berilgan,гедонистический,focused on pleasure as the main aim of life,ˌhiːdəˈnɪstɪk,34198,describing,He rejected the hedonistic lifestyle.,U zavqqa berilgan hayot tarzini rad etdi.,pleasure-seeking | self-indulgent,ascetic
heretical,adjective,C2,an'anaviy qarashga zid,еретический,against accepted religious or social beliefs,həˈretɪkl,34199,describing,Heretical ideas shocked the community.,An'anaviy qarashga zid g'oyalar jamoani hayratga soldi.,unorthodox | radical,orthodox
