headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
hang around,phrasal verb,B2,aylanib yurmoq,слоняться,to stay somewhere without a clear purpose,hæŋ əˈraʊnd,34235,phrasal,We hung around until the shop opened.,Do'kon ochilguncha aylanib yurdik.,linger | wait,leave
hang on,phrasal verb,B1,kutib turmoq,подождать,to wait for a short time,hæŋ ɒn,34236,phrasal,Hang on while I find the address.,Manzilni topgunimcha kutib turing.,wait | hold,proceed
keep up,phrasal verb,B2,ortda qolmaslik,не отставать,to continue at the same level or speed,kiːp ʌp,34237,phrasal,It is hard to keep up with the class.,Sinf bilan ortda qolmaslik qiyin.,maintain | continue,fall behind
knock out,phrasal verb,C1,hayratga solmoq,поражать,to impress someone greatly,nɒk aʊt,34238,phrasal,Her performance knocked out the audience.,Uning chiqishi tomoshabinlarni hayratga soldi.,impress | amaze,disappoint
lead to,phrasal verb,B2,olib kelmoq,приводить,to cause a result,liːd tuː,34239,phrasal,Poor planning can lead to delays.,Yomon rejalash kechikishlarga olib kelishi mumkin.,cause | result in,prevent
line up,phrasal verb,B2,navbatga turmoq,выстраиваться,to form or arrange in a row,laɪn ʌp,34240,phrasal,People lined up outside the cinema.,Odamlar kinoteatr oldida navbatga turdilar.,queue | arrange,scatter
look ahead,phrasal verb,C1,kelajakni o'ylamoq,смотреть вперед,to think about the future,lʊk əˈhed,34241,phrasal,We need to look ahead and plan carefully.,Biz kelajakni o'ylab puxta rejalashimiz kerak.,plan | anticipate,ignore
look around,phrasal verb,B1,atrofni ko'zdan kechirmoq,осматриваться,to explore a place,lʊk əˈraʊnd,34242,phrasal,They looked around the old town.,Ular eski shahar atrofini ko'zdan kechirdilar.,explore | inspect,ignore
opt for,phrasal verb,C1,tanlamoq,выбирать,to choose one option,ɒpt fɔː,34243,phrasal,Many customers opt for the cheaper model.,Ko'p mijozlar arzonroq modelni tanlaydilar.,choose | select,reject
own up,phrasal verb,C1,tan olmoq,признаваться,to admit that you did something wrong,əʊn ʌp,34244,phrasal,He finally owned up to the mistake.,U nihoyat xatosini tan oldi.,admit | confess,deny
pin down,phrasal verb,C1,aniq belgilamoq,уточнять,to make something exact or certain,pɪn daʊn,34245,phrasal,We need to pin down a meeting date.,Uchrashuv sanasini aniq belgilashimiz kerak.,define | determine,blur
pull out,phrasal verb,B2,chetga chiqmoq,выходить,to leave an activity or agreement,pʊl aʊt,34246,phrasal,The investor decided to pull out.,Investor chetga chiqishga qaror qildi.,withdraw | exit,join
put across,phrasal verb,C1,aniq yetkazmoq,доносить,to communicate an idea successfully,pʊt əˈkrɒs,34247,phrasal,She put across her point clearly.,U o'z fikrini aniq yetkazdi.,convey | explain,confuse
put aside,phrasal verb,C1,chetga surib qo'ymoq,откладывать,to save something for later,pʊt əˈsaɪd,34248,phrasal,Try to put aside some money each month.,Har oy biroz pulni chetga surib qo'ying.,save | reserve,spend
put back,phrasal verb,B2,orqaga surmoq,откладывать,to delay something until later,pʊt bæk,34249,phrasal,They put back the launch by a week.,Ular ishga tushirishni bir haftaga orqaga surdilar.,postpone | delay,advance
put down,phrasal verb,C1,kamsitmoq,унижать,to make someone feel less important,pʊt daʊn,34250,phrasal,Do not put down your teammates.,Jamoadoshlaringizni kamsitmang.,belittle | insult,praise
run across,phrasal verb,C1,tasodifan uchratmoq,случайно встретить,to find or meet by chance,rʌn əˈkrɒs,34251,phrasal,I ran across an old photograph.,Men tasodifan eski suratni uchratdim.,encounter | discover,miss
run out,phrasal verb,B2,tugab qolmoq,заканчиваться,to have no more of something,rʌn aʊt,34252,phrasal,We ran out of time before lunch.,Tushlikdan oldin vaqtimiz tugab qoldi.,expire | finish,remain
set back,phrasal verb,C1,orqaga tortmoq,тормозить,to delay progress or development,set bæk,34253,phrasal,The injury set back his recovery.,Jarohat uning tiklanishini orqaga tortdi.,delay | hinder,advance
sum up,phrasal verb,B2,xulosa qilmoq,подводить итог,to state the main points briefly,sʌm ʌp,34254,phrasal,To sum up the project needs more funding.,Xulosa qilib aytganda loyiha ko'proq mablag'ga muhtoj.,summarize | conclude,elaborate
take away,phrasal verb,B1,olib ketmoq,уносить,to remove something from a place,teɪk əˈweɪ,34255,phrasal,Please take away these empty cups.,Iltimos bu bo'sh piyolalarni olib keting.,remove | carry,bring
walk away,phrasal verb,C1,voz kechib ketmoq,уйти,to leave a difficult situation,wɔːk əˈweɪ,34256,phrasal,She chose to walk away from the deal.,U kelishuvdan voz kechib ketishni tanladi.,leave | withdraw,engage
wear down,phrasal verb,C1,holdan toydirmoq,изматывать,to gradually make someone weak or tired,weə daʊn,34257,phrasal,Constant stress can wear down anyone.,Doimiy stress har kimni holdan toydirishi mumkin.,exhaust | weaken,energize
work on,phrasal verb,B1,ustida ishlamoq,работать над,to spend time improving something,wɜːk ɒn,34258,phrasal,He is working on his pronunciation.,U talaffuzi ustida ishlayapti.,improve | develop,neglect
work through,phrasal verb,C1,bosqichma-bosqich hal qilmoq,прорабатывать,to deal with something carefully over time,wɜːk θruː,34259,phrasal,We can work through the problem together.,Muammoni birga bosqichma-bosqich hal qilamiz.,resolve | process,avoid
zone out,phrasal verb,C1,xayolga berilib qolmoq,отключаться,to stop paying attention,zəʊn aʊt,34260,phrasal,I zoned out during the long lecture.,Uzun ma'ruza davomida xayolga berilib qoldim.,daydream | drift,focus
