headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,example_ru,synonyms,antonyms
fulsome,adjective,C2,haddan tashqari maqtovli,чрезмерно льстивый,excessive and insincere in praise,ˈfʊlsəm,,advanced,The fulsome apology sounded dishonest.,Haddan tashqari maqtovli kechirim samimiy tuyulmadi.,,excessive | flattering,sincere | restrained
gainsay,verb,C2,inkor etmoq,отрицать,to deny or contradict,ˌɡeɪnˈseɪ,,advanced,No one can gainsay the evidence.,Hech kim dalilni inkor eta olmaydi.,,deny | dispute,confirm | accept
gambit,noun,C2,strategik yurish,ход,a planned action to gain advantage,ˈɡæmbɪt,,advanced,Her opening gambit impressed the board.,Uning dastlabki strategik yurishi kengashni qoyil qoldirdi.,,tactic | move,reaction | retreat
garrulity,noun,C2,sergaplik,болтливость,the habit of talking too much,ɡəˈruːləti,,advanced,His garrulity made the meeting longer.,Uning sergapligi yig‘ilishni cho‘zdi.,,talkativeness | verbosity,silence | brevity
germane,adjective,C2,aloqador,уместный,relevant to the subject,dʒɜːˈmeɪn,,advanced,Only germane evidence should be included.,Faqat mavzuga aloqador dalillar kiritilishi kerak.,,relevant | applicable,irrelevant | unrelated
glib,adjective,C2,yuzaki gapdon,бойкий но поверхностный,fluent but not sincere or careful,ɡlɪb,,advanced,His glib answer failed to convince us.,Uning yuzaki gapdon javobi bizni ishontirmadi.,,slick | superficial,thoughtful | sincere
gossamer,adjective,C2,juda nafis,тонкий как паутина,very light and delicate,ˈɡɒsəmə,,advanced,A gossamer curtain moved in the breeze.,Juda nafis parda shabadada qimirladi.,,delicate | light,heavy | coarse
grandiloquent,adjective,C2,balandparvoz,напыщенный,using impressive but exaggerated language,ɡrænˈdɪləkwənt,,advanced,The mayor made a grandiloquent speech.,Hokim balandparvoz nutq so‘zladi.,,pompous | ornate,plain | simple
harangue,verb,C2,uzoq koyib gapirmoq,разглагольствовать,to lecture someone angrily,həˈræŋ,,advanced,The coach began to harangue the players.,Murabbiy o‘yinchilarni uzoq koyib gapira boshladi.,,lecture | scold,praise | comfort
impugn,verb,C2,shubha ostiga qo‘ymoq,оспаривать,to question someone’s honesty or validity,ɪmˈpjuːn,,advanced,The lawyer tried to impugn the witness.,Advokat guvohning ishonchliligini shubha ostiga qo‘ymoqchi bo‘ldi.,,challenge | dispute,support | confirm
inchoate,adjective,C2,hali shakllanmagan,зачаточный,not fully developed yet,ɪnˈkəʊət,,advanced,The plan remains inchoate and vague.,Reja hali shakllanmagan va noaniq.,,undeveloped | vague,mature | complete
jejune,adjective,C2,sodda va mazmunsiz,незрелый,"too simple, naive, or lacking substance",dʒɪˈdʒuːn,,advanced,The review dismissed the film as jejune.,Sharh filmni mazmunsiz deb rad etdi.,,naive | shallow,mature | profound
limpid,adjective,C2,tiniq,ясный,clear and easy to understand,ˈlɪmpɪd,,advanced,Her limpid explanation helped the class.,Uning tiniq tushuntirishi sinfga yordam berdi.,,clear | lucid,confusing | muddy
lugubrious,adjective,C2,g‘amgin,мрачный,looking or sounding very sad,lʊˈɡuːbriəs,,advanced,He spoke in a lugubrious voice.,U g‘amgin ovozda gapirdi.,,mournful | gloomy,cheerful | bright
mawkish,adjective,C2,haddan tashqari hissiyotli,приторный,too emotional in an unpleasant way,ˈmɔːkɪʃ,,advanced,The ending felt mawkish and forced.,Yakun haddan tashqari hissiyotli va majburiy tuyuldi.,,sentimental | sugary,restrained | dry
abeyance,noun,C2,vaqtincha to‘xtatib turish,приостановка,a temporary pause or suspension,əˈbeɪəns,,advanced,The rule remains in abeyance until Monday.,Qoida dushanbagacha vaqtincha to‘xtatib turiladi.,,suspension | pause,continuation | activity
abject,adjective,C2,ayanchli,жалкий,extremely bad or hopeless,ˈæbdʒekt,,advanced,They lived in abject poverty.,Ular ayanchli qashshoqlikda yashashdi.,,miserable | wretched,proud | prosperous
abnegate,verb,C2,voz kechmoq,отречься,to give up a right or desire,ˈæbnɪɡeɪt,,advanced,Leaders should not abnegate responsibility.,Rahbarlar mas’uliyatdan voz kechmasligi kerak.,,renounce | surrender,claim | keep
abscission,noun,C2,ajralib tushish,отсечение,the act of cutting off or separation,æbˈsɪʒən,,advanced,Leaf abscission happens in autumn.,Barglarning ajralib tushishi kuzda sodir bo‘ladi.,,separation | cutting,attachment | union
acerbic,adjective,C2,achchiq kinoyali,язвительный,sharp and critical in tone,əˈsɜːbɪk,,advanced,Her acerbic comment silenced the room.,Uning achchiq kinoyali izohi xonani jim qildi.,,biting | caustic,kind | gentle
acidulous,adjective,C2,nordon kinoyali,кисловатый и язвительный,slightly sour or sharply critical,əˈsɪdjʊləs,,advanced,He gave an acidulous reply to the proposal.,U taklifga nordon kinoyali javob berdi.,,sour | sharp,sweet | mild
acme,noun,C2,eng yuqori cho‘qqi,вершина,the highest point of achievement,ˈækmi,,advanced,The novel is the acme of her career.,Roman uning faoliyatidagi eng yuqori cho‘qqidir.,,peak | summit,depth | bottom
acquisitive,adjective,C2,mol-dunyo orttirishga o‘ch,стяжательный,strongly wanting to get more things,əˈkwɪzətɪv,,advanced,An acquisitive culture can damage trust.,Molparast madaniyat ishonchga zarar yetkazishi mumkin.,,greedy | grasping,generous | selfless
adamantine,adjective,C2,egilmas,твердый как алмаз,extremely hard or unbreakable,ˌædəˈmæntaɪn,,advanced,She showed adamantine resolve under pressure.,U bosim ostida egilmas qat’iyat ko‘rsatdi.,,unyielding | hard,flexible | soft
adjunct,noun,C1,qo‘shimcha qism,дополнение,something added but not essential,ˈædʒʌŋkt,,advanced,The lab is an adjunct to the main course.,Laboratoriya asosiy kursga qo‘shimcha qismdir.,,addition | supplement,core | necessity
adumbrate,verb,C2,xomaki tasvirlamoq,намечать,to outline something roughly,ˈædʌmbreɪt,,advanced,The report will adumbrate future risks.,Hisobot kelajakdagi xatarlarni xomaki tasvirlaydi.,,outline | sketch,detail | complete
aesthete,noun,C2,go‘zallik shinavandasi,эстет,a person who loves art and beauty,ˈiːsθiːt,,advanced,An aesthete notices small details in design.,Go‘zallik shinavandasi dizayndagi mayda jihatlarni sezadi.,,connoisseur | art lover,philistine | boor
akimbo,adverb,C1,qo‘llar belda,руки в боки,with hands on hips and elbows out,əˈkɪmbəʊ,,advanced,She stood with her arms akimbo at the door.,U eshik oldida qo‘llarini beliga tirab turdi.,,arms out | angled,straight | relaxed
allegory,noun,C1,ramziy hikoya,аллегория,a story with a hidden moral meaning,ˈælɪɡəri,,advanced,The film works as an allegory of greed.,Film ochko‘zlik haqida ramziy hikoya sifatida ishlaydi.,,symbolism | parable,literalness | realism
amatory,adjective,C2,ishqiy,любовный,related to romantic love,ˈamətəri,,advanced,The poet wrote amatory verses.,Shoir ishqiy she’rlar yozdi.,,romantic | loving,hostile | cold
amenable,adjective,C1,ko‘nuvchan,уступчивый,willing to accept advice or change,əˈmiːnəbl,,advanced,The team is amenable to feedback.,Jamoa fikr mulohazani qabul qilishga tayyor.,,receptive | willing,stubborn | resistant
anarchic,adjective,C1,tartibsiz,анархичный,without order or control,əˈnɑːkɪk,,advanced,The meeting became anarchic after the vote.,Ovoz berishdan keyin yig‘ilish tartibsiz bo‘lib ketdi.,,chaotic | lawless,ordered | controlled
ancillary,adjective,C1,yordamchi,вспомогательный,providing support to the main thing,ænˈsɪləri,,advanced,Ancillary services improve patient care.,Yordamchi xizmatlar bemor parvarishini yaxshilaydi.,,supporting | auxiliary,main | central
anfractuous,adjective,C2,egri-bugri,извилистый,full of twists and turns,ænˈfræktʃuəs,,advanced,The path was anfractuous and narrow.,Yo‘l egri bugri va tor edi.,,winding | twisted,straight | direct
animadversion,noun,C2,keskin tanqid,резкое замечание,a critical remark or comment,ˌænɪmædˈvɜːʃən,,advanced,The policy drew public animadversion.,Siyosat jamoatchilikning keskin tanqidiga uchradi.,,criticism | rebuke,praise | approval
anomalous,adjective,C2,g‘ayrioddiy,аномальный,different from what is normal,əˈnɒmələs,,advanced,The anomalous result confused researchers.,G‘ayrioddiy natija tadqiqotchilarni chalg‘itdi.,,abnormal | irregular,normal | typical
anomie,noun,C2,ijtimoiy me’yor yo‘qligi,аномия,a lack of social norms or stability,ˈænəmi,,advanced,Rapid change can produce anomie.,Tez o‘zgarish ijtimoiy me’yor yo‘qligini keltirishi mumkin.,,normlessness | alienation,order | stability
anthropocentric,adjective,C2,insonni markazga qo‘yadigan,антропоцентричный,focused mainly on humans,ˌænθrəpəʊˈsentrɪk,,advanced,The theory is deeply anthropocentric.,Nazariya kuchli darajada insonga markazlangan.,,human centred | human focused,ecocentric | nonhuman
apathy,noun,C1,loqaydlik,апатия,lack of interest or emotion,ˈæpəθi,,advanced,Political apathy worries many teachers.,Siyosiy loqaydlik ko‘p o‘qituvchilarni xavotirga soladi.,,indifference | passivity,interest | passion
apogee,noun,C2,eng yuqori nuqta,апогей,the highest point of development,ˈæpədʒiː,,advanced,The speech marked the apogee of his career.,Nutq uning faoliyatidagi eng yuqori nuqtani belgiladi.,,peak | zenith,nadir | low point
apostate,noun,C2,e’tiqodidan voz kechgan odam,отступник,a person who abandons a belief,əˈpɒsteɪt,,advanced,The apostate criticised his old movement.,E’tiqodidan voz kechgan odam eski harakatini tanqid qildi.,,renegade | defector,believer | loyalist
apothegm,noun,C2,hikmatli gap,изречение,a short wise saying,ˈapəθem,,advanced,The teacher quoted an old apothegm.,O‘qituvchi eski hikmatli gapni keltirdi.,,maxim | saying,ramble | nonsense
apotheosis,noun,C2,mukammal timsol,апофеоз,the highest or most perfect example of something,əˌpɒθiˈəʊsɪs,,advanced,The building is the apotheosis of modern design.,Bino zamonaviy dizaynning oliy namunasidir.,,ideal | peak,decline | failure
appurtenance,noun,C2,tegishli jihoz yoki qo‘shimcha,принадлежность,something that belongs to something else,əˈpɜːtɪnəns,,advanced,The garage is an appurtenance of the house.,Garaj uyning tegishli qo‘shimchasidir.,,accessory | attachment,main part | core
ardor,noun,C2,jo‘shqin ishtiyoq,пыл,strong enthusiasm or passion,ˈɑːdə,,advanced,She defended the idea with ardor.,U g‘oyani jo‘shqin ishtiyoq bilan himoya qildi.,,passion | zeal,apathy | indifference
arraign,verb,C2,rasmiy ayblamoq,предъявить обвинение,to formally accuse in court,əˈreɪn,,advanced,The court will arraign the suspect tomorrow.,Sud gumondorni ertaga rasmiy ayblaydi.,,charge | accuse,acquit | free
asperse,verb,C2,tuhmat qilmoq,чернить,to attack someone’s reputation,əˈspɜːs,,advanced,Do not asperse her character without proof.,Dalilsiz uning sha’niga tuhmat qilmang.,,slander | defame,praise | defend
assail,verb,C1,qattiq hujum qilmoq,нападать,to attack strongly,əˈseɪl,,advanced,Critics assail the plan every week.,Tanqidchilar rejaga har hafta qattiq hujum qiladi.,,attack | criticise,defend | praise
atavistic,adjective,C2,qadimiy instinktga oid,атавистический,related to ancient primitive behaviour,ˌætəˈvɪstɪk,,advanced,His atavistic fear appeared in the dark.,Qorong‘ida uning qadimiy instinktga oid qo‘rquvi paydo bo‘ldi.,,primitive | ancestral,modern | advanced
atrabilious,adjective,C2,badjahl va tushkun,желчный,gloomy or bad-tempered,ˌætrəˈbɪliəs,,advanced,The atrabilious manager frightened new staff.,Doim jahldor menejer yangi xodimlarni qo‘rqitdi.,,irritable | gloomy,cheerful | pleasant
auspices,noun,C2,homiylik,покровительство,protection or support from an organisation,ˈɔːspɪsɪz,,advanced,The event ran under the auspices of UNESCO.,Tadbir UNESCO homiyligi ostida o‘tdi.,,patronage | support,opposition | neglect
autocrat,noun,C1,mustabid rahbar,автократ,a ruler with unlimited power,ˈɔːtəkræt,,advanced,The autocrat banned public criticism.,Mustabid rahbar jamoat tanqidini taqiqladi.,,dictator | tyrant,democrat | reformer
badinage,noun,C2,yengil hazil,шутливая болтовня,playful conversation or teasing,ˈbædɪnɑːʒ,,advanced,Their badinage made the dinner lively.,Ularning yengil hazili kechki ovqatni jonlantirdi.,,banter | teasing,seriousness | silence
baleful,adjective,C2,xatarli,зловещий,threatening harm or evil,ˈbeɪlfʊl,,advanced,He gave a baleful stare.,U xatarli qarash tashladi.,,menacing | sinister,kind | harmless
bantam,adjective,C2,kichkina ammo jangovar,маленький но бойкий,small but aggressive or energetic,ˈbæntəm,,advanced,The bantam boxer surprised everyone.,Kichkina ammo jangovar bokschi hammani hayratga soldi.,,small | feisty,large | timid
beatific,adjective,C2,baxtiyor va sokin,блаженный,showing calm happiness,ˌbiːəˈtɪfɪk,,advanced,She wore a beatific smile.,U baxtiyor va sokin tabassum qildi.,,blissful | serene,miserable | angry
bedlam,noun,C1,to‘s-to‘polon,суматоха,a scene of noise and confusion,ˈbedləm,,advanced,The classroom became bedlam after lunch.,Tushlikdan keyin sinf to‘s to‘polonga aylandi.,,chaos | uproar,order | calm
beguile,verb,C2,maftun etmoq,очаровать,to charm or trick someone,bɪˈɡaɪl,,advanced,The story can beguile young readers.,Hikoya yosh o‘quvchilarni maftun etishi mumkin.,,charm | deceive,repel | bore
beneficent,adjective,C2,ezgulik qiluvchi,благотворный,doing good or helping others,bɪˈnefɪsənt,,advanced,The beneficent policy helped poor families.,Ezgulik qiluvchi siyosat kambag‘al oilalarga yordam berdi.,,kind | charitable,harmful | cruel
benighted,adjective,C2,jaholatda qolgan,невежественный,lacking knowledge or enlightenment,bɪˈnaɪtɪd,,advanced,The benighted village lacked basic schools.,Johil qolgan qishloqda oddiy maktablar ham yo‘q edi.,,ignorant | backward,enlightened | educated
bereft,adjective,C1,mahrum qolgan,лишенный,deprived of something important,bɪˈreft,,advanced,The town was bereft of hope.,Shahar umiddan mahrum qolgan edi.,,deprived | lacking,filled | supplied
besmirch,verb,C2,nomini bulg‘amoq,запятнать,to damage someone’s reputation,bɪˈsmɜːtʃ,,advanced,The scandal could besmirch the brand.,Mojaro brend nomini bulg‘ashi mumkin.,,tarnish | stain,honour | cleanse
bilious,adjective,C2,jahldor va yoqimsiz,желчный,bad tempered or unpleasant,ˈbɪliəs,,advanced,His bilious remarks annoyed the guests.,Uning jahldor va yoqimsiz gaplari mehmonlarni ranjitdi.,,irritable | bitter,pleasant | cheerful
blandishment,noun,C2,xushomad,лесть,flattering words used to persuade,ˈblændɪʃmənt,,advanced,She ignored every blandishment from the salesman.,U sotuvchining har bir xushomadini e’tiborsiz qoldirdi.,,flattery | coaxing,criticism | insult
bode,verb,C2,darak bermoq,предвещать,to be a sign of future events,bəʊd,,advanced,Dark clouds bode heavy rain.,Qora bulutlar kuchli yomg‘irdan darak beradi.,,foretell | indicate,hide | mislead
boorish,adjective,C1,qo‘pol,грубый,rude and socially unpleasant,ˈbʊərɪʃ,,advanced,His boorish joke offended everyone.,Uning qo‘pol hazili hammani ranjitdi.,,rude | crude,polite | refined
bovine,adjective,C2,sust va fahmsiz,туповатый,"slow, dull, or cow-like in manner",ˈbəʊvaɪn,,advanced,He answered with a bovine stare.,U lanj va sust qarash bilan javob berdi.,,dull | slow,alert | sharp
brackish,adjective,C2,sho‘rroq,солоноватый,slightly salty,ˈbrækɪʃ,,advanced,The well water tasted brackish.,Quduq suvi sho‘rroq ta’m berdi.,,salty | saline,fresh | sweet
bravado,noun,C1,soxta dadillik,бравада,false confidence meant to impress,brəˈvɑːdəʊ,,advanced,His bravado faded during the crisis.,Inqiroz paytida uning soxta jasorati yo‘qoldi.,,swagger | bluster,fear | modesty
broach,verb,C2,mavzuni ochmoq,затронуть тему,to begin discussing a difficult topic,brəʊtʃ,,advanced,She hesitated to broach the salary issue.,U maosh masalasini ochishga ikkilanib turdi.,,raise | introduce,avoid | drop
brusque,adjective,C1,qisqa va qo‘pol,резкий,quick and rude in speech,bruːsk,,advanced,The clerk gave a brusque reply.,Xodim qisqa va qo‘pol javob berdi.,,curt | abrupt,polite | gentle
bucolic,adjective,C2,qishloqona sokin,сельский,pleasantly rural,bjuːˈkɒlɪk,,advanced,They enjoyed the bucolic scenery.,Ular qishloqona sokin manzaradan zavq olishdi.,,rural | pastoral,urban | industrial
cabal,noun,C2,maxfiy guruh,тайная группа,a secret group with political aims,kəˈbæl,,advanced,A cabal tried to influence the vote.,Maxfiy guruh ovoz berishga ta’sir qilmoqchi bo‘ldi.,,clique | faction,public | majority
cachet,noun,C2,nufuz belgisi,престиж,a mark of prestige or quality,ˈkæʃeɪ,,advanced,The award gave the school cachet.,Mukofot maktabga obro‘ belgisi berdi.,,prestige | status,disgrace | shame
cadge,verb,C2,tilanib olmoq,выклянчивать,to get something by asking without paying,kædʒ,,advanced,He tried to cadge a free ticket.,U bepul chipta tilanib olishga urindi.,,beg | sponge,pay | earn
celerity,noun,C2,tezkorlik,быстрота,great speed in action,səˈlerəti,,advanced,The team responded with celerity.,Jamoa tezkorlik bilan javob berdi.,,speed | swiftness,slowness | delay
censorious,adjective,C2,tanqidgo‘y,критиканский,often strongly critical,senˈsɔːriəs,,advanced,Her censorious tone discouraged debate.,Uning tanqidgo‘y ohangi bahsni susaytirdi.,,critical | faultfinding,approving | tolerant
chastise,verb,C2,koyimoq,отчитывать,to criticise or punish someone,tʃæˈstaɪz,,advanced,The editor will chastise careless writers.,Muharrir beparvo yozuvchilarni koyiydi.,,rebuke | scold,praise | reward
chauvinist,noun,C1,o‘z guruhini ko‘r-ko‘rona ustun deb biluvchi,шовинист,a person who aggressively believes their group is superior,ˈʃəʊvɪnɪst,,advanced,The chauvinist refused to respect other cultures.,Shovinist boshqa madaniyatlarni hurmat qilishdan bosh tortdi.,,bigot | nationalist,egalitarian | liberal
circumlocution,noun,C2,aylanma gapirish,окольная речь,using more words than necessary to avoid speaking directly,ˌsɜːkəmləˈkjuːʃən,,advanced,His circumlocution hid the real answer.,Uning aylanma gapi haqiqiy javobni yashirdi.,,wordiness | evasion,directness | brevity
cloying,adjective,C2,me’daga tegadigan darajada shirin,приторный,too sweet or sentimental,ˈklɔɪɪŋ,,advanced,The cloying song soon became annoying.,Me’daga tegadigan darajada shirin qo‘shiq tezda bezor qildi.,,sugary | excessive,subtle | restrained
coalesce,verb,C2,birlashmoq,сливаться,to come together into one,kəʊəˈles,,advanced,Several groups may coalesce after the election.,Saylovdan keyin bir nechta guruh birlashishi mumkin.,,merge | unite,separate | split
codify,verb,C1,qonunlashtirib tizimlash,кодифицировать,to arrange rules into a system,ˈkəʊdɪfaɪ,,advanced,The ministry will codify the new standards.,Vazirlik yangi standartlarni tizimlashtiradi.,,systematise | organise,scatter | confuse
collusion,noun,C2,til biriktirish,сговор,secret cooperation for dishonest purposes,kəˈluːʒən,,advanced,The firms denied collusion on prices.,Kompaniyalar narx bo‘yicha til biriktirishni rad etdi.,,conspiracy | complicity,independence | honesty
combustible,adjective,C1,yonuvchan,горючий,able to catch fire,kəmˈbʌstəbl,,advanced,Keep combustible materials away from heat.,Yonuvchan materiallarni issiqdan uzoq tuting.,,flammable | burnable,fireproof | safe
complaisant,adjective,C2,ortiqcha ko‘nuvchan,услужливый,willing to please others too easily,kəmˈpleɪzənt,,advanced,The complaisant assistant never questioned orders.,Ortiqcha ko‘nuvchan yordamchi buyruqlarni hech so‘ramadi.,,obliging | compliant,defiant | stubborn
concatenate,verb,C2,zanjir qilib ulash,сцеплять,to link things together in a series,kənˈkætəneɪt,,advanced,The program will concatenate several files.,Dastur bir nechta faylni zanjir qilib ulaydi.,,link | join,separate | split
confluent,adjective,C2,qo‘shilib oqadigan,сливающийся,flowing together or merging,ˈkɒnfluənt,,advanced,The confluent streams formed a river.,Qo‘shilib oqadigan irmoqlar daryoga aylandi.,,merging | joining,separate | divided
conjugal,adjective,C2,nikohga oid,супружеский,related to marriage,ˈkɒndʒʊɡəl,,advanced,They discussed conjugal rights in court.,Ular sudda nikohga oid huquqlarni muhokama qildi.,,marital | spousal,single | unmarried
connivance,noun,C2,yashirin rozilik,попустительство,secret approval of wrongdoing,kəˈnaɪvəns,,advanced,The fraud continued through official connivance.,Firibgarlik rasmiy yashirin rozilik bilan davom etdi.,,complicity | collusion,opposition | prevention
consanguinity,noun,C2,qon-qarindoshlik,кровное родство,relationship by blood,ˌkɒnsæŋˈɡwɪnəti,,advanced,The law considers consanguinity in inheritance cases.,Qonun meros ishlarida qon qarindoshlikni hisobga oladi.,,kinship | blood relation,unrelatedness | distance
consonant,adjective,C2,mos keladigan,согласующийся,in agreement with something,ˈkɒnsənənt,,advanced,The decision is consonant with our values.,Qaror qadriyatlarimizga mos keladi.,,consistent | compatible,conflicting | contrary
