headword,pos,example_en,example_uz,example_ru
cheers,interjection,"Could you pass the salt? Yes, sure. Cheers.",,
consequently,adverb,"The company failed to innovate; consequently, it lost its market share.",,
consequently,adverb,"Heavy rain caused flooding; consequently, the event was cancelled.",,
bring about,phrasal verb,The government hopes these reforms will bring about real change.,,
bring about,phrasal verb,New technologies are bringing about a revolution in medicine.,,
drift apart,phrasal verb,"We were best friends in school, but we slowly started to drift apart after graduation.",,
drift apart,phrasal verb,It’s common for couples to drift apart if they stop making time for one another.,,
get the ball rolling,idiom,We need to get the ball rolling before the deadline approaches.,,
get the ball rolling,idiom,"To get the ball rolling, I've prepared an initial budget plan.",,
touch base,idiom,Could we touch base briefly before the presentation starts?,,
touch base,idiom,"It's been a while, let's touch base and catch up on current developments.",,
stay in the loop,idiom,I’d like to stay in the loop so I don’t miss any important emails.,,
stay in the loop,idiom,She made sure to keep the team in the loop during the crisis.,,
the bottom line,idiom,"Whatever the arguments are, the bottom line is cost reduction.",,
the bottom line,idiom,The bottom line is that the proposal was rejected by the board.,,
on the same page,idiom,It's important that the client and the team are on the same page.,,
on the same page,idiom,Are we on the same page regarding the project deadlines?,,
a win-win situation,idiom,"If we offer the discount, it becomes a win-win situation for us and the customers.",,
a win-win situation,idiom,We are looking for a win-win situation in this negotiation.,,
think outside the box,idiom,His proposal was great because he wasn't afraid to think outside the box.,,
think outside the box,idiom,Management is asking us to think outside the box regarding the budget cuts.,,
at the end of the day,idiom,"At the end of the day, we need a solution that saves the company money.",,
at the end of the day,idiom,"It’s a tough decision, but at the end of the day, it’s what's best for the team.",,
to move the goalposts,idiom,We feel as though management is moving the goalposts regarding our performance targets.,,
to move the goalposts,idiom,They moved the goalposts halfway through the contract negotiation.,,
bring to the table,idiom,What unique skills do you bring to the table for this role?,,
bring to the table,idiom,We need to see what the new partners can bring to the table.,,
to move the needle,idiom,The recent marketing campaign didn't really move the needle for our brand awareness.,,
to move the needle,idiom,Small improvements in efficiency won't move the needle much this quarter.,,
worth my while,idiom,The project needs to show better results for it to be worth my while.,,
worth my while,idiom,"If the salary package is competitive, it’s certainly worth my while.",,
a steep learning curve,idiom,"I knew the role had a steep learning curve, but I'm managing well.",,
a steep learning curve,idiom,There is a steep learning curve when you transition into management.,,
down in the dumps,idiom,"Don't stay down in the dumps, things will surely get better soon.",,
down in the dumps,idiom,"She felt a bit down in the dumps after the long, grey winter.",,
to be fuming,idiom,I was fuming when I saw how they had treated the office equipment.,,
to be fuming,idiom,He was absolutely fuming after the meeting finished.,,
to be at one's wits' end,idiom,She was at her wits' end trying to calm the crying toddler.,,
to be at one's wits' end,idiom,The constant noise from the neighbours has left me at my wits' end.,,
to be on edge,idiom,The constant noise in the city keeps everyone on edge.,,
to be on edge,idiom,Try not to be so on edge; it’s just a routine check-up.,,
to be taken aback,idiom,The committee was taken aback by the sudden change in policy.,,
to be taken aback,idiom,She was taken aback when she heard the news of the merger.,,
to be at the end of one's tether,idiom,"After three hours of arguing, she was at the end of her tether.",,
to be at the end of one's tether,idiom,He's reached the end of his tether with the constant project delays.,,
to take something to heart,idiom,It's hard not to take the criticism to heart when you work so hard.,,
to take something to heart,idiom,She tends to take every minor mistake to heart.,,
to get a kick out of,idiom,He gets a kick out of scaring people on Halloween.,,
to get a kick out of,idiom,Do you get a kick out of high-adrenaline sports?,,
to be sick and tired of,idiom,She’s sick and tired of the constant noise from the construction site.,,
to be sick and tired of,idiom,We are all sick and tired of these endless meetings that go nowhere.,,
to have mixed feelings,idiom,She had mixed feelings about leaving her childhood home.,,
to have mixed feelings,idiom,I have mixed feelings about the new office regulations.,,
hit it off,idiom,"We didn't know anyone at the party, but we hit it off right away.",,
hit it off,idiom,It’s rare to hit it off with a stranger so quickly.,,
keep someone at arm's length,idiom,She kept the new neighbours at arm's length until she felt she could trust them.,,
keep someone at arm's length,idiom,It is wise to keep dishonest people at arm's length.,,
get on like a house on fire,idiom,My sister and her new roommate get on like a house on fire.,,
get on like a house on fire,idiom,"They have different backgrounds, but they really get on like a house on fire.",,
to talk things through,idiom,It's better to talk things through before things get worse.,,
to talk things through,idiom,"I'm feeling confused, can we talk things through this evening?",,
to cut a long story short,idiom,"We argued for hours, but to cut a long story short, we decided to sell the house.",,
to cut a long story short,idiom,"The project was a disaster, but to cut a long story short, we learned a lot from it.",,
as it turned out,idiom,"I was worried about the interview, but as it turned out, the questions were quite simple.",,
as it turned out,idiom,"He promised to be there on time, but as it turned out, he didn't even show up.",,
at the crack of dawn,idiom,Farmers usually wake up at the crack of dawn to start their daily chores.,,
at the crack of dawn,idiom,I was on the train at the crack of dawn for my business trip.,,
all of a sudden,idiom,"Everything was quiet, but all of a sudden, the alarm went off.",,
all of a sudden,idiom,"He was laughing at a joke, and all of a sudden, he stopped.",,
the funny thing is,idiom,"I tried to avoid him all day, but the funny thing is, we sat right next to each other on the bus.",,
the funny thing is,idiom,"The funny thing is, I actually enjoyed the documentary more than the action movie.",,
as fate would have it,idiom,"I needed a specific book for my thesis, and as fate would have it, I found it in a small shop in Venice.",,
as fate would have it,idiom,"We were looking for a venue for the wedding, and as fate would have it, we found the perfect spot by chance.",,
as it happens,idiom,"He claimed he had never seen the film, but as it happens, he was the lead actor.",,
as it happens,idiom,"I didn't think I'd be able to attend, but as it happens, my meeting was cancelled.",,
the icing on the cake,idiom,"We had a great time at the concert, and meeting the band afterwards was the icing on the cake.",,
the icing on the cake,idiom,"Winning the award was fantastic, but getting the scholarship was the icing on the cake.",,
to make matters worse,idiom,"The project was already behind schedule; to make matters worse, our key designer fell ill.",,
to make matters worse,idiom,"I lost my wallet, and to make matters worse, I had my passport inside it.",,
i couldn't believe my eyes,idiom,The price of the ticket was so cheap that I couldn't believe my eyes.,,
i couldn't believe my eyes,idiom,"He showed me his old collection, and I honestly couldn't believe my eyes.",,
as luck would have it,idiom,"I was looking for a pen and, as luck would have it, I found one in my bag.",,
as luck would have it,idiom,"As luck would have it, it started to pour with rain right when we arrived.",,
the final straw,idiom,"The constant noise was the final straw, so I moved out.",,
the final straw,idiom,This broken promise was the final straw in our relationship.,,
it just so happens that,idiom,It just so happens that we both studied at the same university.,,
it just so happens that,idiom,It just so happens that the shop is closed on Mondays.,,
a turning point,idiom,That defeat proved to be a turning point for the whole team.,,
a turning point,idiom,The invention of the internet was a turning point in human history.,,
the penny dropped,idiom,"I didn't understand the assignment at first, but then the penny dropped.",,
the penny dropped,idiom,"It took me a few minutes for the penny to drop, but then I realized he was lying.",,
to my surprise,idiom,"I went to the store, and to my surprise, it was completely empty.",,
to my surprise,idiom,"To my surprise, they had actually finished the report by the deadline.",,
it goes without saying,idiom,It goes without saying that practice is essential for learning a language.,,
it goes without saying,idiom,It goes without saying that we should be respectful in the workplace.,,
all in all,idiom,"The weather was poor, but all in all, we had a fantastic time.",,
all in all,idiom,"All in all, the movie was decent, though the acting could have been better.",,
to steer clear of,idiom,Local residents usually steer clear of that district after dark.,,
to steer clear of,idiom,"If you want an authentic meal, steer clear of the restaurants near the tourist information center.",,
a stone's throw away,idiom,The museum is a stone's throw from the central railway station.,,
a stone's throw away,idiom,Finding an apartment a stone's throw from the city center is quite expensive.,,
to soak up the atmosphere,idiom,You need a few days in Rome to really soak up the atmosphere of the city.,,
to soak up the atmosphere,idiom,It's worth visiting the night market just to soak up the atmosphere.,,
to travel light,idiom,"If you are planning to hike, you really need to travel light.",,
to travel light,idiom,Traveling light makes it much easier to use public transport in foreign cities.,,
a tourist trap,idiom,I avoid the main square because it's nothing but a tourist trap.,,
a tourist trap,idiom,The gift shop was clearly a tourist trap with inflated prices.,,
to travel on a shoestring,idiom,It is possible to travel on a shoestring if you stay in hostels.,,
to travel on a shoestring,idiom,We are planning to travel on a shoestring through Southeast Asia this summer.,,
to be a home away from home,idiom,We want our hotel to be a home away from home for all our guests.,,
to be a home away from home,idiom,That small library is a real home away from home for me.,,
on a shoestring budget,idiom,It’s surprisingly easy to visit Asia on a shoestring budget if you stay in hostels.,,
on a shoestring budget,idiom,They managed to have a great holiday even on a shoestring budget.,,
a pit stop,idiom,"The drive is long, so we’ll definitely need a few pit stops.",,
a pit stop,idiom,Let’s make a quick pit stop at the petrol station before we hit the motorway.,,
a flying visit,idiom,"I can only pay a flying visit to your city, but I hope to see the main sights.",,
a flying visit,idiom,She made a flying visit to see her parents before catching her flight.,,
to be spoilt for choice,idiom,"With so many excursions available, tourists are spoilt for choice.",,
to be spoilt for choice,idiom,We were spoilt for choice with all the different types of street food.,,
a hidden gem,idiom,The cafe is a hidden gem tucked away in a quiet side street.,,
a hidden gem,idiom,"I’m hesitant to share the location, as I want to keep this hidden gem to myself.",,
it's a must-see,idiom,The view from the top of the tower is a must-see for all visitors.,,
it's a must-see,idiom,Most people agree that the historical centre is a must-see.,,
to broaden one's horizons,idiom,Traveling to different countries certainly helps to broaden your horizons.,,
to broaden one's horizons,idiom,I believe that meeting people from diverse backgrounds helps broaden one's horizons.,,
to see the sights,idiom,Are you going to see the sights while you're in Rome?,,
to see the sights,idiom,"After we checked into the hotel, we grabbed a map and went to see the sights.",,
the hustle and bustle,idiom,Sometimes you just need to escape the hustle and bustle of city life.,,
the hustle and bustle,idiom,The train station was filled with the usual hustle and bustle of commuters.,,
to meet a deadline,idiom,It is always a challenge to meet a deadline when the requirements keep changing.,,
to meet a deadline,idiom,The team managed to meet the deadline despite the technical issues.,,
to be snowed under,idiom,He has been snowed under with paperwork all week.,,
to be snowed under,idiom,"Don't expect a reply today, she's absolutely snowed under.",,
a nine-to-five job,idiom,She finds the routine of a nine-to-five job quite comforting.,,
a nine-to-five job,idiom,"Is it really a nine-to-five job, or do you have to work weekends too?",,
to pull one's weight,idiom,She doesn't think her colleague is really pulling his weight.,,
to pull one's weight,idiom,The manager noticed that some team members weren't pulling their weight.,,
to be tied up,idiom,Could we reschedule? I'm completely tied up with this report all morning.,,
to be tied up,idiom,"He's tied up at the moment, but he should be free in about twenty minutes.",,
to keep on top of things,idiom,We need a better project management tool to help us keep on top of our deadlines.,,
to keep on top of things,idiom,It's difficult to keep on top of things when the team is short-staffed.,,
get off the ground,idiom,It took months of preparation to finally get the new marketing strategy off the ground.,,
get off the ground,idiom,The local council is struggling to get the community centre off the ground.,,
to be under a lot of pressure,idiom,I feel like I'm constantly under a lot of pressure at this job.,,
to be under a lot of pressure,idiom,Medical staff are currently under a lot of pressure due to staff shortages.,,
to be hooked on,idiom,Teenagers often get hooked on social media platforms for hours.,,
to be hooked on,idiom,She got hooked on that online game during the lockdown.,,
the digital divide,idiom,The digital divide is becoming a major obstacle for online education.,,
the digital divide,idiom,COVID-19 highlighted the severity of the digital divide globally.,,
digital footprint,idiom,Employers often check your digital footprint before hiring you.,,
digital footprint,idiom,It is hard to erase your digital footprint once you've posted something.,,
glued to the screen,idiom,It's unhealthy to be glued to the screen for hours on end.,,
glued to the screen,idiom,The children are completely glued to the screen playing video games.,,
keep up with the latest trends,idiom,Companies must innovate to keep up with the latest trends in the industry.,,
keep up with the latest trends,idiom,"I try to keep up with the latest trends, but technology changes too fast.",,
a game-changer,idiom,Many analysts believe that AI will be a massive game-changer for the healthcare industry.,,
a game-changer,idiom,This new software feature is a real game-changer for my daily productivity.,,
to keep up with the times,idiom,Many traditional companies are struggling to keep up with the times.,,
to keep up with the times,idiom,He reads tech blogs every day to keep up with the times.,,
to be knackered,idiom,"After that football match, the whole team was knackered.",,
to be knackered,idiom,"Are you coming out tonight? No, I'm knackered, I'm just going to sleep.",,
to be gutted,idiom,She was gutted to miss her best friend’s wedding.,,
to be gutted,idiom,We were all gutted that we lost the game in the final minute.,,
to wrap something up,idiom,We need to wrap up the project by Friday afternoon.,,
to wrap something up,idiom,Can we wrap this conversation up later? I'm in a rush.,,
to miss out on,idiom,I stayed in all weekend and felt like I was missing out on the fun.,,
to miss out on,idiom,He didn't want to miss out on the chance to study abroad.,,
my head is spinning,idiom,My head is spinning from all the different instructions you gave me.,,
my head is spinning,idiom,"After listening to the complex physics lecture, my head was spinning.",,
fed up with,idiom,"He got fed up with waiting for the bus, so he decided to walk.",,
fed up with,idiom,Are you fed up with your current job yet?,,
to crack on,idiom,I need to crack on with my essay if I want to finish by tonight.,,
to crack on,idiom,Stop chatting and crack on with your homework!,,
to pull my leg,idiom,"He told me he met a celebrity, but I knew he was pulling my leg.",,
to pull my leg,idiom,Stop pulling my leg! There is no way that happened.,,
to lose the plot,idiom,I think the manager has lost the plot; he's making no sense lately.,,
to lose the plot,idiom,"When the pressure mounted, she just lost the plot and started shouting.",,
do a runner,idiom,The customer tried to do a runner without paying the bill.,,
do a runner,idiom,"When the police arrived, the suspects did a runner.",,
to pop out,idiom,Could you watch the house while I pop out to see my neighbour?,,
to pop out,idiom,He popped out for a cigarette and hasn't returned yet.,,
fair enough,idiom,"He said he was too busy to help, so fair enough.",,
fair enough,idiom,"I understand why you're upset. Fair enough, I'll apologise.",,
to be chuffed,idiom,She was chuffed to bits when she heard the news.,,
to be chuffed,idiom,I'm well chuffed that you could make it.,,
buckets of rain,idiom,"Look outside, it’s coming down in buckets!",,
buckets of rain,idiom,We had to cancel the picnic because it was raining buckets all afternoon.,,
to be a bit of a nightmare,idiom,Trying to get all the documents ready was a bit of a nightmare.,,
to be a bit of a nightmare,idiom,"Moving house is always a bit of a nightmare, isn't it?",,
fancy doing something,idiom,I fancy seeing that new film at the cinema this weekend.,,
fancy doing something,idiom,Do you fancy going for a walk in the park?,,
my mind went blank,idiom,I was so nervous during the interview that my mind went blank.,,
my mind went blank,idiom,Don't worry if your mind goes blank; just take a deep breath.,,
to run by (someone),idiom,"Before I send this email, I need to run it by my manager.",,
to run by (someone),idiom,Do you have a second? I'd like to run something by you.,,
a bit of a long shot,idiom,"It's a long shot, but we could try calling them one more time.",,
a bit of a long shot,idiom,Winning the lottery is always a bit of a long shot.,,
out and about,idiom,Are you going to be out and about this weekend?,,
out and about,idiom,We were just out and about when we bumped into an old friend.,,
to make up my mind,idiom,"It took me a while, but I finally made up my mind to go.",,
to make up my mind,idiom,She made up her mind instantly.,,
to make a point of doing something,idiom,She makes a point of thanking every customer personally.,,
to make a point of doing something,idiom,The director makes a point of checking in with staff regularly.,,
to give someone a hand,idiom,I'd be happy to give you a hand with your presentation.,,
to give someone a hand,idiom,Thanks for giving me a hand earlier today.,,
to be up to,idiom,"I'm not sure what to do today, what are you up to?",,
to be up to,idiom,"They look suspicious, I wonder what they're up to.",,
to slip one's mind,idiom,"It slipped my mind that today was your birthday, happy belated birthday!",,
to slip one's mind,idiom,"Did you pick up the milk? Oh, it slipped my mind entirely.",,
to be spot on,idiom,The weather forecast for today was spot on; it didn't rain at all.,,
to be spot on,idiom,His impression of the manager was absolutely spot on.,,
to give something a go,idiom,Why don't you give cooking a go this weekend?,,
to give something a go,idiom,"It looks difficult, but I’ll give it a go anyway.",,
to be up for something,idiom,I’m not really up for a party; I’d rather just relax at home.,,
to be up for something,idiom,"If you're up for a long walk, let's head to the park.",,
to do my head in,idiom,The noise from the neighbours is starting to do my head in.,,
to do my head in,idiom,Doing these repetitive tasks all day really does my head in.,,
to make a go of it,idiom,"It's a difficult business, but I’m determined to make a go of it.",,
to make a go of it,idiom,"We didn't get off to a good start, but we're trying to make a go of it.",,
i'm tied up at the moment,idiom,"Sorry, I'm tied up at the moment with this report.",,
i'm tied up at the moment,idiom,Could you wait a minute? I'm completely tied up at the moment.,,
catch you later,idiom,"Catch you later, let me know how the interview goes.",,
catch you later,idiom,"Nice chatting with you, catch you later!",,
i'm not really into it,idiom,"I tried rock climbing, but I'm not really into it.",,
i'm not really into it,idiom,"Some people love horror films, but I'm not really into them.",,
make yourself at home,idiom,"Don't stand on ceremony, just make yourself at home.",,
make yourself at home,idiom,"Please, make yourself at home and help yourself to a drink.",,
makes sense,idiom,It makes sense to start early so we can avoid the traffic.,,
makes sense,idiom,"Does that make sense, or would you like me to explain it again?",,
a ballpark figure,idiom,That's just a ballpark figure; the real price might be higher.,,
a ballpark figure,idiom,He gave us a ballpark figure of how many guests might attend.,,
take it easy,idiom,"Take it easy, there's no need to shout.",,
take it easy,idiom,The doctor told him to take it easy while he recovers.,,
to make a move,idiom,"Thanks for the dinner, but I should really make a move now.",,
to make a move,idiom,We're going to make a move before the traffic gets really bad.,,
to weigh up the options,idiom,We are currently weighing up the options regarding the new marketing strategy.,,
to weigh up the options,idiom,"Before you commit, it's worth weighing up the options carefully.",,
to pull an all-nighter,idiom,Pulling an all-nighter is never a good idea as you won't be sharp for the exam.,,
to pull an all-nighter,idiom,Most university students have pulled an all-nighter at least once in their life.,,
to breeze through an exam,idiom,"I thought the test would be difficult, but I actually breezed through it.",,
to breeze through an exam,idiom,He breezed through the presentation as if he had been practising for weeks.,,
to scrape through,idiom,"He scraped through the interview, but he didn't feel very confident about the job.",,
to scrape through,idiom,"If you don't attend the tutorials, you'll be lucky to scrape through the course.",,
to sail through,idiom,"Because of his experience, he sailed through the interview process.",,
to sail through,idiom,"Most students found the test difficult, but Sarah sailed through it without any issues.",,
to get to grips with,idiom,"Once you get to grips with the basic concepts, the rest of the course is straightforward.",,
to get to grips with,idiom,The seminar helped us get to grips with the complexities of economic policy.,,
to pass with flying colours,idiom,"If you study consistently, I’m sure you’ll pass the IELTS with flying colours.",,
to pass with flying colours,idiom,He managed to pass his driving test with flying colours on the first attempt.,,
foot the bill,idiom,It is unfair for developing nations to foot the bill for climate damage caused by the West.,,
foot the bill,idiom,"If companies pollute our rivers, they should be the ones to foot the bill for the cleanup.",,
take a toll on,idiom,Frequent wildfires are taking a toll on local forest ecosystems.,,
take a toll on,idiom,Urbanisation has taken a significant toll on biodiversity.,,
be on the brink of,idiom,The world's coral reefs are on the brink of total collapse.,,
be on the brink of,idiom,We are on the brink of an environmental crisis if we do not act now.,,
to be at a tipping point,idiom,The delicate ecosystem of the rainforest is currently at a tipping point.,,
to be at a tipping point,idiom,We are at a tipping point where immediate action is required to save the species.,,
a throwaway society,idiom,Cheap electronics are a major reason why we have become a throwaway society.,,
a throwaway society,idiom,Repairing items is becoming rare in our modern throwaway society.,,
to be on the brink of disaster,idiom,The local ecosystem is on the brink of disaster due to illegal logging.,,
to be on the brink of disaster,idiom,We are currently on the brink of an environmental disaster if we don't act now.,,
take a heavy toll on,idiom,Intensive farming practices take a heavy toll on soil quality.,,
take a heavy toll on,idiom,Oil spills take a heavy toll on marine life for decades.,,
to be in jeopardy,idiom,The future of the coral reefs is in jeopardy if sea temperatures continue to rise.,,
to be in jeopardy,idiom,Local communities fear their way of life is in jeopardy from rising sea levels.,,
to turn the tide,idiom,Local recycling schemes are helping to turn the tide against plastic waste.,,
to turn the tide,idiom,It will take global cooperation to turn the tide of biodiversity loss.,,
to put a strain on nature,idiom,Overfishing continues to put a severe strain on our oceans.,,
to put a strain on nature,idiom,Tourism in sensitive areas can put a strain on nature if not managed properly.,,
foot the bill for environmental damage,idiom,It is unfair for local communities to foot the bill for cleaning up industrial waste.,,
foot the bill for environmental damage,idiom,Large corporations should be legally required to foot the bill for environmental damage.,,
to be at stake,idiom,"With climate change, the lives of millions of people are at stake.",,
to be at stake,idiom,We must act now because our children's future is at stake.,,
to be at the mercy of nature,idiom,Farmers are often at the mercy of nature regarding the annual rainfall.,,
to be at the mercy of nature,idiom,"Modern technology helps, but we are still at the mercy of nature during storms.",,
to wreak havoc on,idiom,The storm wreaked havoc on the coastal villages last night.,,
to wreak havoc on,idiom,Industrial waste often wreaks havoc on local water quality.,,
to bear the brunt of,idiom,Coastal communities are currently bearing the brunt of rising sea levels.,,
to bear the brunt of,idiom,Farmers in the region bore the brunt of last year's severe drought.,,
to do one's bit,idiom,"Even if it is just a small gesture, everyone should do their bit.",,
to do one's bit,idiom,We can all do our bit to reduce carbon emissions.,,
to get back to nature,idiom,Hiking in the mountains is a perfect way to get back to nature.,,
to get back to nature,idiom,We built a vegetable garden because we wanted to get back to nature.,,
it’s a no-brainer,idiom,The salary offer was so high that accepting the job was a no-brainer.,,
it’s a no-brainer,idiom,Upgrading to the faster internet speed for only two dollars more is a no-brainer.,,
there's no harm in,idiom,There's no harm in asking for a discount if you're a regular customer.,,
there's no harm in,idiom,There's no harm in trying a new learning method for a week.,,
leaves a lot to be desired,idiom,"While the plot was interesting, the acting in the film left a lot to be desired.",,
leaves a lot to be desired,idiom,The customer service at that restaurant really leaves a lot to be desired.,,
there's a catch,idiom,"We can get the tickets for free, but the catch is we have to attend a presentation.",,
there's a catch,idiom,"It sounds like the perfect holiday, but there's a catch with the travel dates.",,
it comes with its fair share of problems,idiom,"Being a professional athlete comes with its fair share of problems, mostly injuries.",,
it comes with its fair share of problems,idiom,"Remote work is great, but it comes with its fair share of problems like isolation.",,
one of the pitfalls is,idiom,One of the pitfalls of learning a language is giving up too soon.,,
one of the pitfalls is,idiom,One of the pitfalls of fast fashion is the poor quality of garments.,,
a significant hurdle,idiom,The language barrier is a significant hurdle for international students.,,
a significant hurdle,idiom,Gaining experience is a significant hurdle for graduates entering the market.,,
it falls short,idiom,"While the design is modern, it falls short in terms of practicality.",,
it falls short,idiom,His performance in the exam fell short of his own high expectations.,,
the flip side,idiom,"Tourism brings money, but the flip side is environmental damage.",,
the flip side,idiom,The flip side of fame is the total loss of privacy.,,
a real turn-off,idiom,His aggressive tone during the interview was a real turn-off.,,
a real turn-off,idiom,Long waiting times are a real turn-off for most online shoppers.,,
it's not without its problems,idiom,"This new software is fast, but it's not without its problems.",,
it's not without its problems,idiom,"Electric cars are the future, but they are not without their problems.",,
a real thorn in my side,idiom,Bureaucracy is a real thorn in the side of small business owners.,,
a real thorn in my side,idiom,Trying to balance work and studies is a real thorn in my side.,,
a bit of a pain,idiom,Setting up all this equipment is a bit of a pain.,,
a bit of a pain,idiom,It's a bit of a pain that the gym is closed on Sundays.,,
it's a bit of a let-down,idiom,"I was excited about the new restaurant, but the service was a bit of a let-down.",,
it's a bit of a let-down,idiom,"The performance was good, but the lack of audience interaction was a bit of a let-down.",,
the only snag,idiom,The plans are ready; the only snag is the weather forecast.,,
the only snag,idiom,"Everything went well, but the only snag was the missing documentation.",,
there is a price to pay,idiom,"You want quick results, but there is a price to pay in terms of quality.",,
there is a price to pay,idiom,"If you want that promotion, there is a price to pay: you will have less free time.",,
not without its faults,idiom,"Although the plan is ambitious, it is not without its faults.",,
not without its faults,idiom,"No education system is perfect, and this one is not without its faults.",,
on the other hand,idiom,"Living in the city offers great job opportunities. On the other hand, rural life provides more peace and quiet.",,
on the other hand,idiom,"Some argue stricter laws reduce crime. On the other hand, they can infringe on personal freedoms.",,
having said that,idiom,"He can be quite stubborn in meetings. Having said that, his dedication to the project is unmatched.",,
having said that,idiom,"The hotel was far from the centre. Having said that, the sea views from the room were spectacular.",,
be that as it may,idiom,"He has no formal qualifications in the field. Be that as it may, his practical experience is invaluable to the team.",,
be that as it may,idiom,"The weather forecast is promising. Be that as it may, we should still pack waterproofs for the hike.",,
by the same token,idiom,"A society that values free speech must tolerate offensive opinions. By the same token, it has a duty to combat hate speech.",,
by the same token,idiom,"Investing in preventive healthcare saves money long-term. By the same token, early childhood education reduces social costs later.",,
for all that,idiom,"He was arrogant, difficult to work with, and often late. For all that, he was a genuine creative genius.",,
for all that,idiom,"The holiday was plagued by bad weather, lost luggage, and a noisy hotel. For all that, we managed to have a relaxing time.",,
on top of that,idiom,"It's a great city to live in; on top of that, the job market is booming.",,
on top of that,idiom,"She’s an incredible pianist. On top of that, she composes all her own music.",,
for the most part,idiom,"For the most part, I really enjoyed the holiday.",,
for the most part,idiom,"The economy is, for the most part, stable right now.",,
a far cry from,idiom,The current political climate is a far cry from what we were promised.,,
a far cry from,idiom,The sequel is a far cry from the brilliance of the first film.,,
on a par with,idiom,Her skills are on a par with those of a senior developer.,,
on a par with,idiom,This restaurant is on a par with the best ones in the capital.,,
