headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
banal,adjective,C2,jo'n va zerikarli,банальный,too ordinary to be interesting,bəˈnɑːl,31115,sat,The speech relied on banal slogans.,Nutq jo'n va zerikarli shiorlarga tayandi.,trite | clichéd,original
benevolent,adjective,C1,mehribon va saxiy,доброжелательный,kind and willing to help others,bəˈnevələnt,31116,sat,The benevolent donor funded the library.,Mehribon donor kutubxonani moliyalashtirdi.,kind | charitable,malicious
boisterous,adjective,C1,shovqinli va jo'shqin,шумный и оживленный,noisy cheerful and energetic,ˈbɔɪstərəs,31117,sat,Boisterous fans celebrated the victory.,Shovqinli va jo'shqin muxlislar g'alabani nishonladilar.,lively | rowdy,quiet
callous,adjective,C2,rahmsiz,черствый,showing no concern for others' feelings,ˈkæləs,31118,sat,The callous remark upset the family.,Rahmsiz gap oilani xafa qildi.,heartless | cruel,compassionate
calumny,noun,C2,tuhmat,клевета,a false statement intended to harm someone,ˈkæləmni,31119,sat,The article was dismissed as calumny.,Maqola tuhmat sifatida rad etildi.,slander | defamation,praise
censure,noun,C2,qattiq qoralash,порицание,strong official criticism,ˈsenʃə,31120,sat,The minister faced public censure for the error.,Vazir xato uchun jamoatchilikning qattiq qoralashiga uchradi.,condemnation | rebuke,approval
chide,verb,C2,malomat qilmoq,бранить,to speak angrily to someone about a fault,tʃaɪd,31121,sat,The teacher chided him for arriving late.,O'qituvchi uni kech kelgani uchun malomat qildi.,scold | rebuke,praise
circumspect,adjective,C2,ehtiyotkor va o'ylangan,осмотрительный,careful not to take risks,ˈsɜːkəmspekt,31122,sat,Investors remained circumspect during the crisis.,Investorlar inqiroz paytida ehtiyotkor bo'lib qoldilar.,cautious | prudent,reckless
coerce,verb,C1,majburlamoq,принуждать,to force someone to do something,ˈkəʊɜːs,31123,sat,No one should coerce workers into overtime.,Hech kim xodimlarni ortiqcha ishlashga majburlamasligi kerak.,compel | force,persuade
colloquial,adjective,C1,so'zlashuv uslubidagi,разговорный,used in informal everyday speech,kəˈləʊkwiəl,31124,sat,The dialogue contains colloquial language.,Dialogda so'zlashuv uslubidagi til bor.,informal | conversational,formal
complacency,noun,C2,o'zidan ortiqcha qoniqish,самодовольство,a feeling of satisfaction that stops improvement,kəmˈpleɪsnsi,31125,sat,Complacency can cause a team to lose focus.,O'zidan ortiqcha qoniqish jamoaning diqqatini yo'qotishiga olib kelishi mumkin.,self-satisfaction | smugness,vigilance
conciliatory,adjective,C2,kelishtiruvchi,примирительный,intended to make people less angry,kənˈsɪliətəri,31126,sat,Her conciliatory tone ended the argument.,Uning kelishtiruvchi ohangi bahsni tugatdi.,peaceful | soothing,hostile
conflate,verb,C2,aralashtirib yubormoq,смешивать,to treat two different things as one,kənˈfleɪt,31127,sat,Do not conflate opinion with evidence.,Fikrni dalil bilan aralashtirib yubormang.,merge | confuse,distinguish
contrite,adjective,C2,pushaymon,раскаявшийся,feeling sorry for having done wrong,kənˈtraɪt,31128,sat,He sounded contrite after the mistake.,U xatodan keyin pushaymon bo'lib ko'rindi.,remorseful | apologetic,unrepentant
credulous,adjective,C2,tez ishonuvchan,легковерный,too ready to believe things,ˈkredjələs,31129,sat,Credulous readers believed the false story.,Tez ishonuvchan o'quvchilar yolg'on hikoyaga ishondilar.,gullible | naive,skeptical
debase,verb,C2,qadrini tushirmoq,унижать,to reduce the quality or value of something,dɪˈbeɪs,31130,sat,The scandal could debase public trust.,Janjal jamoatchilik ishonchi qadrini tushirishi mumkin.,degrade | lower,elevate
debilitate,verb,C2,holdan toydirmoq,изнурять,to make someone or something weak,dɪˈbɪlɪteɪt,31131,sat,The disease can debilitate older patients.,Kasallik keksa bemorlarni holdan toydirishi mumkin.,weaken | exhaust,strengthen
deceit,noun,C1,aldov,обман,the act of deliberately misleading someone,dɪˈsiːt,31132,sat,The deal was built on deceit.,Kelishuv aldov ustiga qurilgan edi.,deception | dishonesty,honesty
decorous,adjective,C2,odobli va munosib,благопристойный,polite and socially acceptable,ˈdekərəs,31133,sat,The guests remained decorous throughout dinner.,Mehmonlar kechki ovqat davomida odobli bo'lib qoldilar.,proper | polite,unseemly
desultory,adjective,C2,tartibsiz,бессистемный,lacking a clear plan or purpose,ˈdesəltəri,31134,sat,His desultory reading produced little progress.,Uning tartibsiz o'qishi kam natija berdi.,aimless | random,methodical
diatribe,noun,C2,achchiq tanqid nutqi,гневная тирада,a long angry and critical speech,ˈdaɪətraɪb,31135,sat,The columnist wrote a diatribe against corruption.,Sharhlovchi korrupsiyaga qarshi achchiq tanqid yozdi.,rant | tirade,praise
disabuse,verb,C2,noto'g'ri fikrdan qaytarmoq,разубеждать,to free someone from a false belief,ˌdɪsəˈbjuːz,31136,sat,The evidence disabused us of that assumption.,Dalillar bizni o'sha noto'g'ri fikrdan qaytardi.,correct | enlighten,deceive
disavow,verb,C2,rad etmoq,отрекаться,to deny responsibility or support,ˌdɪsəˈvaʊ,31137,sat,The company disavowed the offensive message.,Kompaniya haqoratli xabarni rad etdi.,deny | renounce,endorse
dissemble,verb,C2,haqiqiy hisni yashirmoq,лицемерить,to hide one's real thoughts or feelings,dɪˈsembl,31138,sat,She tried to dissemble her disappointment.,U hafsalasi pir bo'lganini yashirishga urindi.,pretend | conceal,reveal
docile,adjective,C2,itoatkor,покорный,quiet and easy to control,ˈdəʊsaɪl,31139,sat,The docile animal followed its handler.,Itoatkor hayvon boqib yuruvchiga ergashdi.,obedient | compliant,defiant
