headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
disbursement,noun,C2,mablag' to'lovi,выплата средств,the payment of money from a fund,dɪsˈbɜːsmənt,32119,business,The loan disbursement arrived this week.,Kredit mablag'i to'lovi shu hafta yetib keldi.,payment | payout,collection
expatriate,noun,C1,xorijda ishlovchi mutaxassis,экспат,a person living and working outside their home country,eksˈpætriət,32120,business,The expatriate managed the regional office.,Xorijda ishlovchi mutaxassis hududiy ofisni boshqardi.,foreign worker | migrant,native
factoring,noun,C2,debit qarzlarni sotib moliyalashtirish,факторинг,a service that buys a company's unpaid invoices,ˈfæktərɪŋ,32121,business,Factoring improved the supplier's cash position.,Faktoring yetkazib beruvchining pul holatini yaxshiladi.,financing | lending,withholding
forfaiting,noun,C2,eksport qarzlarini sotib moliyalashtirish,форфейтинг,the purchase of long-term export receivables,ˈfɔːfeɪtɪŋ,32122,business,Forfaiting helped the exporter receive cash early.,Forfeyting eksportchiga pulni ertaroq olishga yordam berdi.,financing | discounting,withholding
insolvency,noun,C1,to'lovga qodirsizlik,неплатежеспособность,the state of being unable to pay debts,ɪnˈsɒlvənsi,32123,business,Insolvency forced the retailer to close stores.,To'lovga qodirsizlik savdo tarmog'ini do'konlarni yopishga majbur qildi.,bankruptcy | failure,solvency
markdown,noun,B2,narxni pasaytirish,уценка,a reduction in the selling price,ˈmɑːkdaʊn,32124,business,The store offered a markdown on winter coats.,Do'kon qishki paltolarga narx pasaytirdi.,discount | reduction,increase
outlay,noun,C1,xarajat,затрата,an amount of money spent,ˈaʊtleɪ,32125,business,The initial outlay was higher than expected.,Dastlabki xarajat kutilganidan yuqori bo'ldi.,expense | spending,income
remittance,noun,C1,pul jo'natmasi,денежный перевод,money sent to another person or place,rɪˈmɪtns,32126,business,The worker sends a monthly remittance home.,Ishchi uyiga har oy pul jo'natmasi yuboradi.,transfer | payment,receipt
securitization,noun,C2,aktivlarni qimmatli qog'ozga aylantirish,секьюритизация,the conversion of assets into tradable securities,sɪˌkjʊərətaɪˈzeɪʃn,32127,business,Securitization allowed the bank to sell its loans.,Sekyuritizatsiya bankka kreditlarini sotishga imkon berdi.,packaging | financing,retention
actuarial,adjective,C2,sug'urta riskini hisoblashga oid,актуарный,relating to financial risk calculations,ˌæktʃuˈeəriəl,32128,business,Actuarial data guide pension decisions.,Aktuar ma'lumotlar pensiya qarorlariga yo'l ko'rsatadi.,statistical | financial,guesswork
allotment,noun,C1,ajratilgan ulush,распределение,an amount officially given to someone,əˈlɒtmənt,32129,business,Each department received an allotment for training.,Har bir bo'lim trening uchun ajratilgan ulush oldi.,allocation | share,withdrawal
annuity,noun,C2,muntazam yillik to'lov,аннуитет,a fixed amount paid regularly over time,əˈnjuːəti,32130,business,Her annuity provides income after retirement.,Uning annuiteti nafaqadan keyin daromad beradi.,pension | payment,lump sum
apportionment,noun,C2,ulushlab taqsimlash,распределение по долям,the division of something into shares,əˈpɔːʃnmənt,32131,business,The apportionment of costs was agreed by both firms.,Xarajatlarni ulushlab taqsimlash ikki firma tomonidan kelishildi.,allocation | division,accumulation
appropriation,noun,C2,mablag' ajratish,ассигнование,money officially set aside for a purpose,əˌprəʊpriˈeɪʃn,32132,business,The budget includes an appropriation for research.,Budjetda tadqiqot uchun mablag' ajratish bor.,allocation | funding,withdrawal
ascertainment,noun,C2,aniqlash,установление,the act of finding out something for certain,ˌæsəˈteɪnmənt,32133,business,Price ascertainment took several days.,Narxni aniqlash bir necha kun oldi.,determination | verification,uncertainty
billable,adjective,C1,mijozga hisoblanadigan,оплачиваемый клиентом,able to be charged to a client,ˈbɪləbl,32134,business,Consultants record every billable hour.,Maslahatchilar mijozga hisoblanadigan har bir soatni qayd etadilar.,chargeable | payable,free
brokerage,noun,C2,vositachilik haqi,брокерская комиссия,the business or fee of a broker,ˈbrəʊkərɪdʒ,32135,business,The firm earns brokerage on each trade.,Firma har bir savdodan vositachilik haqi oladi.,commission | agency,ownership
capitalized,adjective,C2,kapital sifatida hisobga olingan,капитализированный,recorded as a long-term asset,ˈkæpɪtəlaɪzd,32136,business,The software cost was capitalized as an asset.,Dastur xarajati aktiv sifatida hisobga olindi.,funded | invested,expensed
collateralization,noun,C2,garov bilan ta'minlash,обеспечение залогом,the use of assets as security for a loan,kəˌlætərəlaɪˈzeɪʃn,32137,business,Collateralization reduced the lender's risk.,Garov bilan ta'minlash qarz beruvchining riskini kamaytirdi.,securing | pledging,unsecured
commissionable,adjective,C2,komissiya to'lanadigan,комиссионный,eligible for a sales commission,kəˈmɪʃənəbl,32138,business,Only new sales are commissionable this quarter.,Bu chorakda faqat yangi savdolarga komissiya to'lanadi.,rewarded | payable,unpaid
consultative,adjective,C1,maslahatlashuvga asoslangan,консультативный,involving advice and discussion,kənˈsʌltətɪv,32139,business,The manager uses a consultative leadership style.,Menejer maslahatlashuvga asoslangan rahbarlik usulidan foydalanadi.,advisory | collaborative,authoritarian
