headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
blow your own trumpet,idiom,C1,o‘zini maqtamoq,хвастаться,to boast about yourself,bləʊ jɔːr əʊn ˈtrʌmpɪt,34278,idioms,He tends to blow his own trumpet in interviews.,U intervyularda o‘zini maqtashga moyil.,boast | brag,downplay | modestly act
jump to conclusions,idiom,B2,shoshilib xulosa qilmoq,делать поспешные выводы,to decide too quickly,dʒʌmp tə kənˈkluːʒənz,34279,idioms,Do not jump to conclusions without evidence.,Dalilsiz shoshilib xulosa qilmang.,assume | prejudge,analyse | verify
no strings attached,idiom,B2,shartsiz,без условий,without special conditions,nəʊ strɪŋz əˈtætʃt,34280,idioms,The grant has no strings attached.,Grantda hech qanday shart yo‘q.,unconditional | free,conditional | limited
pull someone's leg,idiom,B2,hazillashmoq,подшучивать,to tease someone playfully,pʊl ˈsʌmwʌnz leɡ,34281,idioms,Do not pull someone's leg during serious talks.,Jiddiy suhbatda hazillashmang.,tease | joke,comfort | reassure
take it with a pinch of salt,idiom,C1,ishonch bilan qabul qilmaslik,отнестись скептически,to not fully believe something,teɪk ɪt wɪð ə pɪntʃ əv sɒlt,34282,idioms,Take it with a pinch of salt if it sounds unlikely.,Ishonarsiz tuyulsa buni shubha bilan qabul qiling.,doubt | question,believe | trust
break even,idiom,B2,zararsiz chiqmoq,выйти в ноль,to make neither profit nor loss,breɪk ˈiːvən,34283,idioms,The startup may break even this year.,Startap bu yil zararsiz chiqishi mumkin.,cover costs | balance,lose | overspend
scale up,phrasal verb,C1,kengaytirmoq,масштабировать,to increase in size,skeɪl ʌp,34284,phrasal,We need to scale up production.,Ishlab chiqarishni kengaytirishimiz kerak.,expand | grow,reduce | shrink
take stock,idiom,C1,vaziyatni baholamoq,оценить ситуацию,to review a situation,teɪk stɒk,34285,idioms,Managers should take stock before investing.,Menejerlar investitsiyadan oldin vaziyatni baholashi kerak.,assess | review,ignore | rush
get down to business,idiom,B2,ishga kirishmoq,перейти к делу,to start serious work,ɡet daʊn tə ˈbɪznəs,34286,idioms,Let us get down to business now.,Endi ishga kirishaylik.,start work | focus,delay | chat
stay ahead of the curve,idiom,C1,oldinda yurmoq,быть впереди,to remain more advanced,steɪ əˈhed əv ðə kɜːv,34287,idioms,Companies must stay ahead of the curve.,Kompaniyalar doim oldinda yurishi kerak.,lead | innovate,lag | follow
keep tabs on,idiom,C1,kuzatib bormoq,следить за,to monitor closely,kiːp tæbz ɒn,34288,idioms,We keep tabs on market changes.,Biz bozor o‘zgarishlarini kuzatib boramiz.,monitor | track,ignore | neglect
shift gears,idiom,C1,yo‘nalishni o‘zgartirmoq,сменить курс,to change approach,ʃɪft ɡɪəz,34289,idioms,We need to shift gears after the feedback.,Fikr-mulohazadan keyin yo‘nalishni o‘zgartirishimiz kerak.,change | adjust,continue | persist
go hand in hand,idiom,B2,birga kechmoq,идти рука об руку,to be closely connected,ɡəʊ hænd ɪn hænd,34290,idioms,Success and discipline go hand in hand.,Muvaffaqiyat va intizom birga kechadi.,connect | accompany,separate | conflict
run rings around,idiom,C1,ancha ustun bo‘lmoq,быть на голову выше,to perform much better,rʌn rɪŋz əˈraʊnd,34291,idioms,She can run rings around most competitors.,U ko‘p raqiblardan ancha ustun.,outperform | surpass,trail | lose
lose your touch,idiom,C1,mahoratini yo‘qotmoq,потерять хватку,to become less skilled,luːz jɔː tʌtʃ,34292,idioms,Do not lose your touch after success.,Muvaffaqiyatdan keyin mahoratingizni yo‘qotmang.,decline | weaken,improve | master
know the ropes,idiom,B2,ishni yaxshi bilmoq,знать свое дело,to understand how things work,nəʊ ðə rəʊps,34293,idioms,She really does know the ropes here.,U bu yerda ishni juda yaxshi biladi.,understand | master,misunderstand | guess
under no circumstances,idiom,C1,hech qanday holatda,ни при каких обстоятельствах,never in any situation,ˈʌndə nəʊ ˈsɜːkəmstənsɪz,34294,idioms,Under no circumstances should you share passwords.,Hech qanday holatda parollarni ulashmang.,never | absolutely not,sometimes | possibly
