headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
apprehensive,adjective,C1,xavotirli,тревожный,worried about something that may happen,ˌæprɪˈhensɪv,33210,feelings,She felt apprehensive before the interview.,U suhbatdan oldin xavotirli edi.,anxious | uneasy,confident
ardent,adjective,C1,juda ishtiyoqli,страстный,showing strong feelings or enthusiasm,ˈɑːdənt,33211,feelings,He is an ardent supporter of the team.,U jamoaning juda ishtiyoqli muxlisi.,passionate | devoted,indifferent
assured,adjective,C1,o'ziga ishongan,уверенный,confident and certain about something,əˈʃʊəd,33212,feelings,She gave an assured answer to the question.,U savolga o'ziga ishongan holda javob berdi.,confident | certain,uncertain
blithe,adjective,C1,beparvo xursand,беззаботный,happy and not worried about problems,blaɪð,33213,feelings,He made a blithe promise without checking the facts.,U faktlarni tekshirmay beparvo va'da berdi.,carefree | cheerful,worried
bothered,adjective,B2,xafa yoki bezovta,обеспокоенный,annoyed or worried by something,ˈbɒðəd,33214,feelings,She was bothered by the rude remark.,U qo'pol gapdan bezovta bo'ldi.,annoyed | troubled,unconcerned
brash,adjective,C1,haddan tashqari dadil,дерзкий,self-confident in a rude or noisy way,bræʃ,33215,feelings,His brash manner made a poor impression.,Uning haddan tashqari dadil odati yomon taassurot qoldirdi.,bold | arrogant,modest
breathless,adjective,B2,hansiragan,запыхавшийся,unable to breathe easily after effort or excitement,ˈbreθləs,33216,feelings,She arrived breathless after running upstairs.,U yuqoriga yugurib chiqib hansiragan holda keldi.,panting | winded,relaxed
brazen,adjective,C1,betakalluf va uyalmaydigan,наглый,showing no shame about bad behaviour,ˈbreɪzn,33217,feelings,It was a brazen attempt to deceive us.,Bu bizni aldashga betakalluf urinish edi.,shameless | bold,ashamed
carefree,adjective,B2,g'amsiz,беззаботный,free from worries and responsibilities,ˈkeəfriː,33218,feelings,They enjoyed a carefree day at the beach.,Ular sohilda g'amsiz kun o'tkazdilar.,relaxed | lighthearted,worried
chatty,adjective,B1,sergap,болтливый,fond of talking in a friendly way,ˈtʃæti,33219,feelings,Our chatty neighbour knows everyone.,Sergap qo'shnimiz hammani taniydi.,talkative | sociable,quiet
cheeky,adjective,B2,sho'x va betakalluf,дерзкий,slightly rude in an amusing way,ˈtʃiːki,33220,feelings,The child gave a cheeky smile.,Bola sho'x va betakalluf jilmaydi.,playful | impudent,respectful
chivalrous,adjective,C1,oliyjanob,рыцарский,polite and honourable especially towards others,ˈʃɪvlrəs,33221,feelings,His chivalrous gesture impressed the guests.,Uning oliyjanob harakati mehmonlarni hayratda qoldirdi.,gallant | courteous,selfish
clingy,adjective,B2,juda yopishqoq,навязчивый,wanting to stay very close to someone,ˈklɪŋi,33222,feelings,The toddler became clingy around strangers.,Kichkina bola begonalar yonida juda yopishqoq bo'ldi.,dependent | attached,independent
cocky,adjective,C1,kekkaygan,самоуверенный,too confident in an annoying way,ˈkɒki,33223,feelings,He sounded cocky after winning once.,U bir marta yutgach kekkayib gapirdi.,arrogant | smug,humble
compassionate,adjective,B2,rahmdil,сострадательный,showing sympathy and a wish to help,kəmˈpæʃənət,33224,feelings,The nurse was compassionate with every patient.,Hamshira har bir bemorga rahmdil edi.,kind | caring,callous
contemptuous,adjective,C1,nafrat bilan qaraydigan,презрительный,showing that you think someone is unworthy,kənˈtemptʃuəs,33225,feelings,She gave him a contemptuous look.,U unga nafrat bilan qaradi.,scornful | disdainful,respectful
coy,adjective,C1,uyalinqiragan,жеманный,shy in a playful or affected way,kɔɪ,33226,feelings,She gave a coy answer to the question.,U savolga uyalingandek javob berdi.,shy | bashful,open
cranky,adjective,B2,jizzaki,раздражительный,easily annoyed or in a bad mood,ˈkræŋki,33227,feelings,He gets cranky when he misses lunch.,U tushlik qilmasa jizzaki bo'lib qoladi.,grumpy | irritable,cheerful
dejected,adjective,C1,ruhi tushgan,подавленный,sad because of failure or disappointment,dɪˈdʒektɪd,33228,feelings,The team looked dejected after the loss.,Jamoa mag'lubiyatdan keyin ruhi tushgandek ko'rindi.,downcast | discouraged,elated
detached,adjective,C1,befarq,отстраненный,not emotionally involved in a situation,dɪˈtætʃt,33229,feelings,She remained detached during the discussion.,U muhokama davomida befarq qoldi.,distant | unemotional,involved
dismayed,adjective,C1,ko'ngli qolgan,огорченный,upset and disappointed by something,dɪsˈmeɪd,33230,feelings,We were dismayed by the cancellation.,Biz bekor qilingandan ko'nglimiz qoldi.,disappointed | upset,pleased
distressed,adjective,C1,qattiq tashvishlangan,расстроенный,very upset or worried,dɪˈstrest,33231,feelings,He was distressed by the bad news.,U yomon xabardan qattiq tashvishlandi.,troubled | upset,calm
earnest,adjective,B2,jiddiy va samimiy,искренний,serious and sincere,ˈɜːnɪst,33232,feelings,She made an earnest effort to help.,U yordam berish uchun jiddiy va samimiy harakat qildi.,sincere | serious,insincere
ecstatic,adjective,C1,nihoyatda quvongan,восторженный,extremely happy and excited,ɪkˈstætɪk,33233,feelings,They were ecstatic about the result.,Ular natijadan nihoyatda quvondilar.,elated | thrilled,miserable
edgy,adjective,C1,asabiy,напряженный,nervous and easily annoyed,ˈedʒi,33234,feelings,Everyone felt edgy before the announcement.,E'lon oldidan hamma asabiy edi.,tense | nervous,relaxed
effusive,adjective,C2,haddan tashqari iliq,восторженный,showing feelings in an enthusiastic way,ɪˈfjuːsɪv,33235,feelings,She was effusive in her thanks.,U minnatdorchiligini haddan tashqari iliq bildirdi.,enthusiastic | warm,reserved
empathetic,adjective,C1,boshqani his qiladigan,эмпатичный,able to understand another person's feelings,ˌempəˈθetɪk,33236,feelings,An empathetic listener makes people feel safe.,Boshqani his qiladigan tinglovchi odamlarni xavfsiz his qildiradi.,understanding | caring,insensitive
envious,adjective,B2,havas qiluvchi,завистливый,wishing that you had what someone else has,ˈenviəs,33237,feelings,He felt envious of her success.,U uning muvaffaqiyatiga havas qildi.,jealous | covetous,content
evasive,adjective,C1,ochiq javobdan qochadigan,уклончивый,avoiding giving a clear answer,ɪˈveɪsɪv,33238,feelings,The manager was evasive about the delay.,Menejer kechikish haqida ochiq javobdan qochdi.,vague | indirect,direct
excitable,adjective,B2,tez hayajonlanadigan,легко возбудимый,becoming excited or upset easily,ɪkˈsaɪtəbl,33239,feelings,The excitable dog barked at every visitor.,Tez hayajonlanadigan it har bir mehmonni ko'rib hurardi.,lively | reactive,calm
exultant,adjective,C2,g'alabadan quvongan,ликующий,feeling very happy because of success,ɪɡˈzʌltənt,33240,feelings,The exultant players lifted the trophy.,G'alabadan quvongan o'yinchilar kubokni ko'tardilar.,triumphant | joyful,defeated
fearless,adjective,B2,qo'rqmas,бесстрашный,not afraid of danger or difficulty,ˈfɪələs,33241,feelings,The fearless reporter asked difficult questions.,Qo'rqmas muxbir qiyin savollar berdi.,brave | bold,fearful
fidgety,adjective,B2,bezovta qimirlaydigan,непоседливый,unable to keep still because of nervousness,ˈfɪdʒɪti,33242,feelings,The fidgety child kept moving in his seat.,Bezovta qimirlaydigan bola o'rindig'ida tinmay harakat qildi.,restless | nervous,still
forgetful,adjective,B1,unutuvchan,забывчивый,often unable to remember things,fəˈɡetfl,33243,feelings,My forgetful colleague missed the meeting again.,Unutuvchan hamkasbim yana yig'ilishni unutdi.,absentminded | careless,remembering
frazzled,adjective,C1,juda holdan toygan,измученный,tired and stressed after too much activity,ˈfræzld,33244,feelings,She felt frazzled after a busy week.,U band haftadan keyin juda holdan toyganini his qildi.,exhausted | stressed,relaxed
fretful,adjective,C1,xavotirchan,беспокойный,worried and unhappy about small things,ˈfretfl,33245,feelings,The baby was fretful all evening.,Chaqaloq butun kech davomida xavotirchan edi.,anxious | restless,content
frosty,adjective,C1,sovuq muomalali,холодный,unfriendly or showing anger,ˈfrɒsti,33246,feelings,She gave him a frosty reply.,U unga sovuq muomalali javob berdi.,cold | unfriendly,warm
gruff,adjective,C1,qattiq va qo'pol,грубоватый,rough and unfriendly in voice or manner,ɡrʌf,33247,feelings,The guard gave a gruff instruction.,Qo'riqchi qattiq va qo'pol ko'rsatma berdi.,rough | curt,gentle
guarded,adjective,C1,ehtiyotkor va yopiq,сдержанный,careful not to reveal thoughts or feelings,ˈɡɑːdɪd,33248,feelings,He was guarded when discussing his plans.,U rejalari haqida gapirganda ehtiyotkor va yopiq edi.,reserved | cautious,open
guileless,adjective,C2,sodda va samimiy,бесхитростный,honest and without tricks,ˈɡaɪlləs,33249,feelings,Her guileless smile won their trust.,Uning sodda va samimiy jilmayishi ularning ishonchini qozondi.,innocent | sincere,devious
harassed,adjective,C1,qiynalgan va charchagan,измученный,feeling stressed because of many demands,ˈhærəst,33250,feelings,The harassed manager answered calls all day.,Qiynalgan menejer kun bo'yi qo'ng'iroqlarga javob berdi.,stressed | pressured,relaxed
headstrong,adjective,C1,o'jar,своенравный,determined to do what you want despite advice,ˈhedstrɒŋ,33251,feelings,The headstrong child ignored every warning.,O'jar bola har bir ogohlantirishni e'tiborsiz qoldirdi.,stubborn | wilful,obedient
heartbroken,adjective,C1,yuragi ezilgan,убитый горем,extremely sad because of loss or disappointment,ˈhɑːtbrəʊkən,33252,feelings,She was heartbroken after the farewell.,U xayrlashuvdan keyin yuragi ezildi.,devastated | grief-stricken,joyful
horrified,adjective,B2,dahshatga tushgan,ужаснувшийся,extremely shocked and frightened,ˈhɒrɪfaɪd,33253,feelings,We were horrified by what we saw.,Biz ko'rgan narsadan dahshatga tushdik.,shocked | appalled,calm
humbled,adjective,C1,kamtar bo'lib qolgan,смиренный,made to feel less proud or important,ˈhʌmbld,33254,feelings,He felt humbled by their kindness.,U ularning mehribonligidan kamtar bo'lib qoldi.,modest | grateful,arrogant
impulsive,adjective,C1,shoshqaloq,импульсивный,acting suddenly without careful thought,ɪmˈpʌlsɪv,33255,feelings,Her impulsive purchase was unnecessary.,Uning shoshqaloq xaridi keraksiz edi.,rash | spontaneous,cautious
incredulous,adjective,C1,ishonmay hayron qolgan,недоверчивый,unable or unwilling to believe something,ɪnˈkredjələs,33256,feelings,He gave me an incredulous stare.,U menga ishonmay hayron qolgan holda qaradi.,skeptical | doubtful,believing
insistent,adjective,C1,qattiq turib olgan,настойчивый,firmly demanding that something happen,ɪnˈsɪstənt,33257,feelings,She was insistent on paying the bill.,U hisobni to'lashda qattiq turib oldi.,persistent | demanding,flexible
intrigued,adjective,C1,qiziqib qolgan,заинтригованный,very interested and wanting to know more,ɪnˈtriːɡd,33258,feelings,I was intrigued by his unusual idea.,Men uning noodatiy g'oyasiga qiziqib qoldim.,curious | fascinated,bored
irritable,adjective,B2,jizzaki,раздражительный,easily annoyed or made angry,ˈɪrɪtəbl,33259,feelings,He becomes irritable when he is tired.,U charchaganda jizzaki bo'lib qoladi.,cranky | touchy,calm
jaded,adjective,C1,bezib qolgan,пресыщенный,no longer interested because you have experienced too much,ˈdʒeɪdɪd,33260,feelings,The jaded critic disliked every new film.,Bezib qolgan tanqidchi har bir yangi filmni yoqtirmadi.,bored | weary,enthusiastic
jittery,adjective,C1,titroq va asabiy,нервный,nervous and unable to relax,ˈdʒɪtəri,33261,feelings,I felt jittery before my first speech.,Men birinchi nutqimdan oldin titroq va asabiy edim.,nervous | shaky,calm
listless,adjective,C1,lanj,вялый,without energy or interest,ˈlɪstləs,33262,feelings,She felt listless after being ill.,U kasal bo'lgandan keyin lanj his qildi.,lethargic | apathetic,energetic
mellow,adjective,C1,yumshoqtabiat,мягкий,calm and gentle in character or mood,ˈmeləʊ,33263,feelings,He became more mellow with age.,U yoshi ulg'aygani sayin yumshoqtabiat bo'ldi.,calm | gentle,harsh
mischievous,adjective,B2,sho'x,озорной,playfully causing trouble,ˈmɪstʃɪvəs,33264,feelings,The mischievous boy hid his sister's book.,Sho'x bola singlisining kitobini yashirdi.,naughty | playful,obedient
moody,adjective,B2,kayfiyati tez o'zgaradigan,переменчивый,with moods that change quickly,ˈmuːdi,33265,feelings,He can be moody after a long day.,U uzoq kundan keyin kayfiyati tez o'zgaradigan bo'lib qolishi mumkin.,temperamental | changeable,even-tempered
needy,adjective,C1,doimiy e'tibor talab qiladigan,требующий внимания,needing a lot of care or attention,ˈniːdi,33266,feelings,The needy child wanted her mother nearby.,Doimiy e'tibor talab qiladigan bola onasi yonida bo'lishini xohladi.,dependent | demanding,independent
nonchalant,adjective,C1,xotirjam beparvo,невозмутимый,calm and not showing worry,ˈnɒnʃələnt,33267,feelings,She gave a nonchalant shrug.,U xotirjam beparvo yelka qisdi.,casual | unconcerned,anxious
nosy,adjective,B2,haddan tashqari qiziquvchan,любопытный,too interested in other people's private matters,ˈnəʊzi,33268,feelings,My nosy neighbour asks personal questions.,Haddan tashqari qiziquvchan qo'shnim shaxsiy savollar beradi.,curious | intrusive,respectful
nurturing,adjective,C1,g'amxo'r,заботливый,giving care and encouragement,ˈnɜːtʃərɪŋ,33269,feelings,She has a nurturing way with children.,U bolalarga nisbatan g'amxo'r munosabatda bo'ladi.,caring | supportive,neglectful
obnoxious,adjective,C1,juda yoqimsiz,отвратительный,extremely unpleasant or offensive,əbˈnɒkʃəs,33270,feelings,His obnoxious behaviour ruined the evening.,Uning juda yoqimsiz xulqi kechani buzdi.,offensive | unpleasant,pleasant
obsessive,adjective,C1,haddan tashqari berilgan,навязчивый,thinking about something too much,əbˈsesɪv,33271,feelings,He became obsessive about small details.,U mayda tafsilotlarga haddan tashqari berilib ketdi.,fixated | compulsive,relaxed
openhearted,adjective,C1,ochiqko'ngil,отзывчивый,kind and honest about feelings,ˌəʊpənˈhɑːtɪd,33272,feelings,Her openhearted welcome made us comfortable.,Uning ochiqko'ngil kutib olishi bizni erkin his qildirdi.,warm | generous,guarded
orderly,adjective,B2,tartibli,организованный,well arranged and controlled,ˈɔːdəli,33273,feelings,He keeps his desk orderly.,U stolini tartibli saqlaydi.,neat | organized,chaotic
outgoing,adjective,B2,kirisha oladigan,общительный,friendly and confident with other people,ˌaʊtˈɡəʊɪŋ,33274,feelings,Her outgoing personality helped her make friends.,Uning kirisha oladigan fe'li do'st orttirishiga yordam berdi.,sociable | friendly,shy
panicky,adjective,C1,vahimali,панический,suddenly very worried or frightened,ˈpænɪki,33275,feelings,He became panicky when he lost his passport.,U pasportini yo'qotganda vahimali bo'lib qoldi.,anxious | frantic,calm
patronizing,adjective,C1,tepada turib gapiradigan,снисходительный,treating someone as less intelligent or important,ˈpeɪtrənaɪzɪŋ,33276,feelings,Her patronizing explanation annoyed me.,Uning tepada turib gapiradigan izohi jahlimni chiqardi.,condescending | superior,respectful
pessimistic,adjective,B2,salbiy umidli,пессимистичный,expecting bad things to happen,ˌpesɪˈmɪstɪk,33277,feelings,He is pessimistic about the plan.,U reja haqida salbiy umidli.,negative | doubtful,optimistic
petrified,adjective,C1,dahshatdan qotib qolgan,окаменевший от страха,extremely frightened,ˈpetrɪfaɪd,33278,feelings,The child was petrified of the thunder.,Bola momaqaldiroqdan dahshatdan qotib qoldi.,terrified | scared,brave
poised,adjective,C1,xotirjam va o'zini tutgan,уравновешенный,calm and confident in difficult situations,pɔɪzd,33279,feelings,She remained poised under pressure.,U bosim ostida ham xotirjam va o'zini tutgan edi.,composed | confident,flustered
possessive,adjective,C1,haddan tashqari egalik qiladigan,собственнический,wanting to control someone or keep them for yourself,pəˈzesɪv,33280,feelings,He became possessive of his new friend.,U yangi do'stiga nisbatan haddan tashqari egalik qiladigan bo'ldi.,controlling | jealous,generous
remorseful,adjective,C1,qattiq pushaymon,раскаявшийся,feeling very sorry for doing wrong,rɪˈmɔːsfl,33281,feelings,She was remorseful after hurting him.,U uni ranjitgandan keyin qattiq pushaymon bo'ldi.,sorry | contrite,unrepentant
resentful,adjective,C1,xafa va gina saqlagan,обиженный,feeling angry because something seems unfair,rɪˈzentfl,33282,feelings,He felt resentful about the unfair rule.,U adolatsiz qoida sabab xafa va gina saqladi.,bitter | offended,forgiving
sarcastic,adjective,B2,kinoyali,саркастичный,using words that mean the opposite to mock someone,sɑːˈkæstɪk,33283,feelings,She made a sarcastic comment about the delay.,U kechikish haqida kinoyali izoh berdi.,ironic | mocking,sincere
secretive,adjective,C1,sirli va yopiq,скрытный,not willing to share information,ˈsiːkrətɪv,33284,feelings,He was secretive about his weekend plans.,U dam olish kunidagi rejalari haqida sirli va yopiq edi.,private | guarded,open
touchy,adjective,B2,tez xafa bo'ladigan,обидчивый,easily offended or annoyed,ˈtʌtʃi,33285,feelings,Try not to mention that topic because she is touchy.,Bu mavzuni tilga olmang chunki u tez xafa bo'ladi.,sensitive | irritable,calm
sheepish,adjective,C1,uyalgan,смущенный,embarrassed because you did something silly,ˈʃiːpɪʃ,33286,feelings,He gave a sheepish grin after the mistake.,U xatodan keyin uyalgan holda jilmaydi.,embarrassed | bashful,proud
sheltered,adjective,C1,hayot tajribasi kam,защищенный,protected from difficult experiences,ˈʃeltəd,33287,feelings,She had a sheltered childhood.,Uning bolaligi juda himoyalangan holda o'tdi.,protected | naive,experienced
skeptical,adjective,C1,shubhalanuvchi,скептический,having doubts about whether something is true,ˈskeptɪkl,33288,feelings,They were skeptical about his promise.,Ular uning va'dasiga shubhalandilar.,doubtful | suspicious,convinced
smug,adjective,C1,o'zidan mamnun,самодовольный,too pleased with yourself in an annoying way,smʌɡ,33289,feelings,He looked smug after being proven right.,U haq ekanligi isbotlangach o'zidan mamnun ko'rindi.,self-satisfied | conceited,modest
snappy,adjective,C1,jerkib gapiradigan,резкий,speaking in a sharp impatient way,ˈsnæpi,33290,feelings,She gave a snappy reply to my question.,U savolimga jerkib javob berdi.,sharp | curt,pleasant
solemn,adjective,B2,jiddiy va qayg'uli,серьезный,very serious and not cheerful,ˈsɒləm,33291,feelings,The room became solemn after the news.,Xona xabardan keyin jiddiy va qayg'uli bo'lib qoldi.,serious | grave,cheerful
spontaneous,adjective,B2,o'z-o'zidan bo'lgan,спонтанный,done naturally without planning,spɒnˈteɪniəs,33292,feelings,We made a spontaneous decision to travel.,Biz sayohat qilishga o'z-o'zidan qaror qildik.,unplanned | natural,planned
stingy,adjective,B2,xasis,скупой,unwilling to spend or give money,ˈstɪndʒi,33293,feelings,He is too stingy to buy a gift.,U sovg'a olish uchun juda xasis.,mean | miserly,generous
subdued,adjective,C1,sokinlashgan,подавленный,quiet and less energetic than usual,səbˈdjuːd,33294,feelings,She seemed subdued after the argument.,U bahsdan keyin sokinlashgan ko'rindi.,quiet | restrained,lively
supportive,adjective,B2,qo'llab-quvvatlovchi,поддерживающий,giving help and encouragement,səˈpɔːtɪv,33295,feelings,My family was supportive of my choice.,Oilam tanlovimni qo'llab-quvvatladi.,helpful | encouraging,critical
sympathetic,adjective,B2,hamdard,сочувствующий,showing that you understand another person's feelings,ˌsɪmpəˈθetɪk,33296,feelings,She was sympathetic when I explained the problem.,Men muammoni tushuntirganda u hamdard bo'ldi.,compassionate | understanding,unsympathetic
tactful,adjective,C1,odob bilan ehtiyotkor,тактичный,careful not to upset or embarrass others,ˈtæktfl,33297,feelings,He gave a tactful answer to the awkward question.,U noqulay savolga odob bilan ehtiyotkor javob berdi.,diplomatic | considerate,blunt
teary,adjective,B2,ko'ziga yosh kelgan,слезливый,with tears in your eyes,ˈtɪəri,33298,feelings,She became teary during the farewell speech.,U xayrlashuv nutqi paytida ko'ziga yosh oldi.,emotional | weepy,dry-eyed
