headword,pos,example_en,example_uz,example_ru
woman,noun,The woman has two children.,,У женщины двое детей.
boy,noun,The boy plays football.,,Мальчик играет в футбол.
girl,noun,The girl reads a book.,,Девушка читает книгу.
people,noun,Many people live in Tashkent.,,В Ташкенте живет много людей.
name,noun,My name is Aziz.,,Меня зовут Азиз.
grandmother,noun,My grandmother tells nice stories.,,Моя бабушка рассказывает хорошие истории.
grandfather,noun,My grandfather is eighty years old.,,Моему дедушке восемьдесят лет.
husband,noun,Her husband is a driver.,,Ее муж водитель.
wife,noun,His wife works at a school.,,Его жена работает в школе.
apple,noun,I eat an apple every day.,,Я ем яблоко каждый день.
banana,noun,The banana is sweet.,,Банан сладкий.
bread,noun,We buy fresh bread every morning.,,Мы покупаем свежий хлеб каждое утро.
butter,noun,Put some butter on the bread.,,Нанесите на хлеб немного масла.
cake,noun,My mother makes a tasty cake.,,Моя мама готовит вкусный торт.
cheese,noun,I like cheese with bread.,,Я люблю сыр с хлебом.
chicken,noun,We cook chicken with rice.,,Готовим курицу с рисом.
coffee,noun,He drinks coffee in the morning.,,Он пьет кофе по утрам.
cook,verb,I cook dinner for my family.,,Я готовлю ужин для своей семьи.
cup,noun,Would you like a cup of tea?,,Хотите чашечку чая?
dinner,noun,We have dinner at seven.,,Ужинаем в семь.
breakfast,noun,I have breakfast with my family.,,Я завтракаю со своей семьей.
lunch,noun,We eat lunch at school.,,Мы обедаем в школе.
drink,verb,Drink more water in summer.,,Летом пейте больше воды.
eat,verb,We eat fruit every day.,,Мы едим фрукты каждый день.
egg,noun,I want two eggs for breakfast.,,Я хочу два яйца на завтрак.
food,noun,Uzbek food is very tasty.,,Узбекская еда очень вкусная.
fruit,noun,Fruit is good for your health.,,Фрукты полезны для здоровья.
juice,noun,I drink orange juice.,,Я пью апельсиновый сок.
meat,noun,We buy meat at the market.,,Мы покупаем мясо на рынке.
milk,noun,Children drink milk every day.,,Дети пьют молоко каждый день.
orange,noun,This orange is very sweet.,,Этот апельсин очень сладкий.
plate,noun,Put the food on the plate.,,Положите еду на тарелку.
potato,noun,My brother likes fried potatoes.,,Мой брат любит жареную картошку.
rice,noun,Plov is made from rice.,,Плов готовят из риса.
salt,noun,There is too much salt in the soup.,,В супе слишком много соли.
sugar,noun,I drink tea without sugar.,,Я пью чай без сахара.
tea,noun,Green tea is good in hot weather.,,Зеленый чай хорош в жаркую погоду.
vegetable,noun,Eat more vegetables every day.,,Ешьте больше овощей каждый день.
water,noun,Please give me some water.,,"Пожалуйста, дайте мне немного воды."
hungry,adjective,I'm hungry — let's have lunch.,,Я голоден — давай пообедаем.
thirsty,adjective,Runners are always thirsty.,,Бегуны всегда хотят пить.
bathroom,noun,The bathroom is next to the kitchen.,,Ванная комната находится рядом с кухней.
bed,noun,I go to bed at ten.,,Я ложусь спать в десять.
bedroom,noun,My bedroom is small but nice.,,"Моя спальня маленькая, но красивая."
chair,noun,Please sit on this chair.,,"Пожалуйста, сядьте на этот стул."
clean,verb,We clean the house on Sunday.,,Мы убираем дом в воскресенье.
door,noun,Please close the door.,,"Пожалуйста, закройте дверь."
floor,noun,The child sits on the floor.,,Ребенок сидит на полу.
garden,noun,My grandmother grows flowers in the garden.,,Моя бабушка выращивает цветы в саду.
house,noun,They live in a big house.,,Они живут в большом доме.
home,noun,I go home after work.,,Я иду домой после работы.
key,noun,I cannot find my keys.,,Я не могу найти свои ключи.
kitchen,noun,My mother is in the kitchen.,,Моя мама на кухне.
lamp,noun,Turn on the lamp please.,,"Включите лампу, пожалуйста."
live,verb,We live in Tashkent.,,Мы живем в Ташкенте.
room,noun,This room is very light.,,Эта комната очень светлая.
table,noun,The food is on the table.,,Еда на столе.
wall,noun,There is a picture on the wall.,,На стене висит картина.
window,noun,Open the window please.,,"Откройте окно, пожалуйста."
flat,noun,Our flat is on the third floor.,,Наша квартира находится на третьем этаже.
answer,verb,Please answer my question.,,"Пожалуйста, ответьте на мой вопрос."
ask,verb,Students ask many questions.,,Студенты задают много вопросов.
book,noun,This book is very interesting.,,Эта книга очень интересна.
class,noun,English class starts at nine.,,Урок английского начинается в девять.
classroom,noun,Our classroom is big and clean.,,Наш класс большой и чистый.
desk,noun,The student sits at the desk.,,Студент сидит за партой.
homework,noun,I do my homework in the evening.,,Я делаю домашнее задание вечером.
learn,verb,We learn ten new words every day.,,Мы учим десять новых слов каждый день.
lesson,noun,The lesson is forty minutes long.,,Урок длится сорок минут.
letter,noun,The English alphabet has 26 letters.,,В английском алфавите 26 букв.
listen,verb,Listen to the teacher carefully.,,Внимательно слушайте учителя.
pen,noun,Write your name with a pen.,,Напишите свое имя ручкой.
pencil,noun,Draw a picture with a pencil.,,Нарисуйте картинку карандашом.
question,noun,Can I ask a question?,,Могу ли я задать вопрос?
read,verb,I read books before sleep.,,Я читаю книги перед сном.
school,noun,Our school has a big library.,,В нашей школе есть большая библиотека.
student,noun,She is a good student.,,Она хорошая ученица.
teacher,noun,Our teacher explains everything well.,,Наш преподаватель все хорошо объясняет.
word,noun,What does this word mean?,,Что означает это слово?
write,verb,Write a short text about your family.,,Напишите небольшой текст о своей семье.
paper,noun,Take a piece of paper.,,Возьмите лист бумаги.
study,verb,My sister studies at university.,,Моя сестра учится в университете.
boss,noun,My boss is very kind.,,Мой босс очень добрый.
busy,adjective,I am busy on Mondays.,,Я занят по понедельникам.
doctor,noun,The doctor works at the hospital.,,Врач работает в больнице.
driver,noun,The taxi driver knows the city well.,,Таксист хорошо знает город.
job,noun,She has a new job at a bank.,,У нее новая работа в банке.
money,noun,Save your money for books.,,Экономьте деньги на книгах.
office,noun,My office is on the third floor.,,Мой кабинет находится на третьем этаже.
police,noun,Call the police for help.,,Позвоните в полицию за помощью.
work,verb,I work from nine to six.,,Я работаю с девяти до шести.
worker,noun,The workers build a new road.,,Рабочие строят новую дорогу.
nurse,noun,The nurse gives medicine to patients.,,Медсестра раздает пациентам лекарства.
farmer,noun,The farmer grows cotton and wheat.,,Фермер выращивает хлопок и пшеницу.
airport,noun,We arrived at the airport early.,,Мы приехали в аэропорт рано.
bag,noun,My bag is very heavy.,,Моя сумка очень тяжелая.
bicycle,noun,He goes to school by bicycle.,,Он ездит в школу на велосипеде.
bus,noun,The bus comes every ten minutes.,,Автобус ходит каждые десять минут.
car,noun,My uncle has a white car.,,У моего дяди белая машина.
city,noun,Tashkent is a big city.,,Ташкент – большой город.
country,noun,Uzbekistan is a beautiful country.,,Узбекистан – прекрасная страна.
go,verb,We go to the bazaar on Sunday.,,Мы идем на базар в воскресенье.
holiday,noun,We spent our holiday in the mountains.,,Наш отпуск мы провели в горах.
hotel,noun,The hotel is near the station.,,Отель находится рядом со станцией.
map,noun,Look at the map to find the street.,,"Посмотрите на карту, чтобы найти улицу."
plane,noun,The plane flies to Istanbul.,,Самолет летит в Стамбул.
road,noun,This road goes to Fergana.,,Эта дорога ведет в Фергану.
station,noun,The train station is old and beautiful.,,Вокзал старый и красивый.
stop,verb,The bus stops here.,,Автобус останавливается здесь.
street,noun,Our street is very quiet.,,Наша улица очень тихая.
taxi,noun,Take a taxi to the airport.,,Возьмите такси в аэропорт.
ticket,noun,I bought two tickets for the bus.,,Я купил два билета на автобус.
train,noun,The fast train goes to Samarkand.,,Скорый поезд идет в Самарканд.
travel,verb,I want to travel around the world.,,Я хочу путешествовать по всему миру.
walk,verb,We walk in the park every evening.,,Мы гуляем в парке каждый вечер.
trip,noun,Our school trip is on Friday.,,Наша школьная поездка в пятницу.
cloud,noun,There are dark clouds in the sky.,,На небе темные тучи.
cold,adjective,Winter is very cold here.,,Зима здесь очень холодная.
flower,noun,She gives flowers to her mother.,,Она дарит цветы своей матери.
grass,noun,Children play on the grass.,,Дети играют на траве.
hot,adjective,Summer in Uzbekistan is very hot.,,Лето в Узбекистане очень жаркое.
moon,noun,The moon is very bright tonight.,,Луна сегодня очень яркая.
mountain,noun,The mountains are covered with snow.,,Горы покрыты снегом.
rain,noun,The rain is strong today.,,Дождь сегодня сильный.
river,noun,The Amu Darya is a big river.,,Амударья – большая река.
sea,noun,Children love swimming in the sea.,,Дети любят купаться в море.
sky,noun,The sky is clear and blue.,,Небо чистое и голубое.
snow,noun,Snow falls in January.,,Снег выпадает в январе.
star,noun,We count stars at night.,,Мы считаем звезды ночью.
sun,noun,The sun rises early in summer.,,Солнце восходит рано летом.
tree,noun,Birds sing in the trees.,,Птицы поют на деревьях.
weather,noun,The weather is nice today.,,Погода сегодня хорошая.
wind,noun,A cold wind blows from the mountains.,,С гор дует холодный ветер.
warm,adjective,Spring days are warm.,,Весенние дни теплые.
animal,noun,Wild animals live in the mountains.,,Дикие животные живут в горах.
bird,noun,The birds fly to warm countries.,,Птицы улетают в теплые страны.
cat,noun,Our cat sleeps all day.,,Наш кот спит весь день.
cow,noun,The cow gives us milk.,,Корова дает нам молоко.
dog,noun,The dog plays in the garden.,,Собака играет в саду.
duck,noun,Ducks swim on the lake.,,Утки плавают по озеру.
elephant,noun,The elephant is the biggest land animal.,,Слон – самое большое наземное животное.
fish,noun,There are many fish in this river.,,В этой реке водится много рыбы.
horse,noun,He rides a horse very well.,,Он очень хорошо ездит на лошади.
lion,noun,The lion is a strong animal.,,Лев – сильное животное.
mouse,noun,The cat runs after the mouse.,,Кот бежит за мышкой.
sheep,noun,The sheep eat grass on the hill.,,Овцы едят траву на холме.
arm,noun,My arm hurts after sport.,,У меня болит рука после занятий спортом.
back,noun,Sit straight to help your back.,,"Сядьте прямо, чтобы помочь спине."
body,noun,Sport is good for the body.,,Спорт полезен для тела.
ear,noun,Rabbits have long ears.,,У кроликов длинные уши.
eye,noun,She has beautiful brown eyes.,,У нее красивые карие глаза.
face,noun,Wash your face every morning.,,Мойте лицо каждое утро.
foot,noun,My left foot hurts.,,У меня болит левая нога.
hair,noun,Her hair is long and black.,,Волосы у нее длинные и черные.
hand,noun,Wash your hands before eating.,,Мойте руки перед едой.
head,noun,Put the hat on your head.,,Наденьте шляпу на голову.
health,noun,Fruit and sport are good for health.,,Фрукты и спорт полезны для здоровья.
ill,adjective,He is ill and stays at home.,,Он болен и остается дома.
leg,noun,Football players have strong legs.,,У футболистов сильные ноги.
mouth,noun,Open your mouth and say aaa.,,Откройте рот и скажите ааа.
nose,noun,My nose is cold in winter.,,Зимой у меня холодный нос.
tooth,noun,Clean your teeth two times a day.,,Чистите зубы два раза в день.
sick,adjective,She feels sick after the long trip.,,Она чувствует себя плохо после долгой поездки.
tired,adjective,I am tired after work.,,Я устал после работы.
strong,adjective,My grandfather is still strong.,,Мой дедушка еще силен.
clothes,noun,She buys new clothes for Navruz.,,Она покупает новую одежду к Наврузу.
coat,noun,Wear your coat because it is cold.,,"Наденьте пальто, потому что холодно."
dress,noun,Her new dress is beautiful.,,Ее новое платье красивое.
hat,noun,He wears a hat in the sun.,,Он носит шляпу на солнце.
jacket,noun,Take a warm jacket with you.,,Возьмите с собой теплую куртку.
shirt,noun,My father wears a white shirt to work.,,Мой отец ходит на работу в белой рубашке.
shoe,noun,These shoes are very comfortable.,,Эта обувь очень удобная.
sock,noun,Wear warm socks in winter.,,Зимой носите теплые носки.
trousers,noun,His trousers are black.,,Его брюки черные.
T-shirt,noun,I wear a T-shirt in summer.,,Летом ношу футболку.
wear,verb,Students wear a uniform at school.,,Учащиеся носят в школе форму.
afternoon,noun,We play football in the afternoon.,,Мы играем в футбол после обеда.
always,adverb,She always helps her mother.,,Она всегда помогает своей матери.
day,noun,Monday is the first day of the week.,,Понедельник – первый день недели.
evening,noun,We drink tea in the evening.,,Пьем чай вечером.
hour,noun,The lesson is one hour long.,,Урок длится один час.
late,adjective,Do not be late for school.,,Не опаздывайте в школу.
early,adjective,I wake up early every day.,,Я просыпаюсь рано каждый день.
minute,noun,Wait five minutes please.,,"Подождите пять минут, пожалуйста."
month,noun,There are twelve months in a year.,,В году двенадцать месяцев.
morning,noun,I do exercises in the morning.,,Я делаю зарядку по утрам.
never,adverb,He never eats fast food.,,Он никогда не ест фаст-фуд.
night,noun,Stars shine at night.,,Звезды светят ночью.
now,adverb,I am busy now.,,Я сейчас занят.
often,adverb,We often visit our grandmother.,,Мы часто навещаем нашу бабушку.
sometimes,adverb,Sometimes we watch films together.,,Иногда мы вместе смотрим фильмы.
today,adverb,Today is a beautiful day.,,Сегодня прекрасный день.
tomorrow,adverb,We have an English test tomorrow.,,Завтра у нас тест по английскому.
week,noun,I do sport three times a week.,,Я занимаюсь спортом три раза в неделю.
year,noun,My sister is seven years old.,,Моей сестре семь лет.
yesterday,adverb,Yesterday we cooked plov.,,Вчера готовили плов.
time,noun,What time is it now?,,Сколько сейчас времени?
beautiful,adjective,Samarkand is a beautiful city.,,Самарканд – красивый город.
good,adjective,She is a good doctor.,,Она хороший врач.
bad,adjective,The weather is bad today.,,Погода сегодня плохая.
new,adjective,I have a new phone.,,У меня новый телефон.
old,adjective,This is a very old building.,,Это очень старое здание.
young,adjective,The young man helps his neighbors.,,Молодой человек помогает соседям.
big,adjective,They live in a big house.,,Они живут в большом доме.
small,adjective,A small cat sits at the door.,,У двери сидит маленький кот.
long,adjective,The Amu Darya is a long river.,,Амударья – длинная река.
short,adjective,Write a short answer.,,Напишите краткий ответ.
fast,adjective,The Afrosiyob train is very fast.,,Поезд Афросиаб очень быстрый.
slow,adjective,The old bus is slow.,,Старый автобус медленный.
easy,adjective,This exercise is easy.,,Это упражнение легкое.
difficult,adjective,The test was difficult.,,Испытание было трудным.
expensive,adjective,This phone is too expensive.,,Этот телефон слишком дорогой.
cheap,adjective,Vegetables are cheap at the bazaar.,,Овощи на базаре дешевые.
red,adjective,She has a red dress.,,У нее красное платье.
blue,adjective,The sky is blue today.,,Небо сегодня голубое.
green,adjective,Green tea is popular in Uzbekistan.,,Зеленый чай популярен в Узбекистане.
black,adjective,He wears black shoes.,,Он носит черные туфли.
white,adjective,The walls are white.,,Стены белые.
yellow,adjective,The leaves are yellow in autumn.,,Листья осенью желтые.
happy,adjective,I am happy to see you.,,Я рад тебя видеть.
sad,adjective,The film has a sad ending.,,У фильма печальный конец.
angry,adjective,The teacher is angry about the noise.,,Учитель злится на шум.
afraid,adjective,She is afraid of dogs.,,Она боится собак.
love,verb,I love my country.,,Я люблю свою страну.
like,verb,Do you like green tea?,,Вы любите зеленый чай?
laugh,verb,The joke made everyone laugh.,,Шутка рассмешила всех.
cry,verb,The baby cried all night.,,Ребенок плакал всю ночь.
smile,verb,She smiles at everyone.,,Она улыбается всем.
feel,verb,I feel tired today.,,Я чувствую себя усталым сегодня.
buy,verb,We buy fruit at the bazaar.,,Покупаем фрукты на базаре.
sell,verb,Farmers sell melons in summer.,,Летом фермеры продают дыни.
call,verb,Call me in the evening.,,Позвони мне вечером.
close,verb,Close your books please.,,"Закройте свои книги, пожалуйста."
open,verb,Open the window please.,,"Откройте окно, пожалуйста."
come,verb,Come to my birthday party.,,Приходи ко мне на день рождения.
dance,verb,People dance at weddings.,,Люди танцуют на свадьбах.
do,verb,I do my homework every day.,,Я делаю домашнее задание каждый день.
find,verb,I cannot find my pen.,,Я не могу найти свою ручку.
finish,verb,Finish your work before six.,,Закончи работу до шести.
get,verb,I get good marks in English.,,Я получаю хорошие оценки по английскому языку.
give,verb,Give me the salt please.,,"Дайте мне соль, пожалуйста."
have,verb,I have two brothers.,,У меня есть два брата.
help,verb,Children help their parents.,,Дети помогают своим родителям.
know,verb,I know the answer.,,Я знаю ответ.
look,verb,Look at the board please.,,"Посмотрите на доску, пожалуйста."
make,verb,My mother makes tasty somsa.,,Моя мама готовит вкусную сомсу.
need,verb,Plants need water and sun.,,Растениям нужна вода и солнце.
play,verb,Boys play football after school.,,Мальчики играют в футбол после школы.
put,verb,Put the books on the desk.,,Положите книги на стол.
run,verb,I run in the park every morning.,,Я бегаю в парке каждое утро.
say,verb,Say your name please.,,"Назовите свое имя, пожалуйста."
see,verb,I see the mountains from my window.,,Я вижу горы из окна.
sing,verb,She sings beautiful songs.,,Она поет красивые песни.
sit,verb,Please sit down.,,"Пожалуйста, сядьте."
sleep,verb,Children sleep ten hours.,,Дети спят десять часов.
speak,verb,Do you speak English?,,Вы говорите по-английски?
stand,verb,Students stand when the teacher comes.,,"Учащиеся встают, когда подходит учитель."
start,verb,The film starts at eight.,,Фильм начинается в восемь.
swim,verb,We swim in the river in summer.,,Летом мы купаемся в реке.
take,verb,Take your umbrella today.,,Возьми сегодня зонтик.
talk,verb,We talk about films with friends.,,Мы говорим о фильмах с друзьями.
tell,verb,Grandmother tells us old stories.,,Бабушка рассказывает нам старые истории.
think,verb,I think English is interesting.,,"Я думаю, что английский – это интересно."
understand,verb,Do you understand this word?,,Вы понимаете это слово?
use,verb,We use phones every day.,,Мы пользуемся телефонами каждый день.
want,verb,I want to learn English well.,,Я хочу хорошо выучить английский.
watch,verb,We watch football on TV.,,Мы смотрим футбол по телевизору.
bank,noun,I need to go to the bank.,,Мне нужно пойти в банк.
cafe,noun,We sit in a cafe near the park.,,Сидим в кафе возле парка.
cinema,noun,The new film is at the cinema.,,Новый фильм в кинотеатре.
hospital,noun,He works at the hospital.,,Он работает в больнице.
library,noun,The library is open until eight.,,Библиотека работает до восьми.
market,noun,She sells fruit at the market.,,Она продает фрукты на рынке.
museum,noun,The museum has very old books.,,В музее очень старые книги.
park,noun,Children play in the park.,,Дети играют в парке.
restaurant,noun,This restaurant cooks good plov.,,В этом ресторане готовят хороший плов.
shop,noun,The shop opens at nine.,,Магазин открывается в девять.
town,noun,My grandparents live in a small town.,,Мои бабушка и дедушка живут в маленьком городке.
village,noun,The village is quiet and green.,,Деревня тихая и зеленая.
arrive,verb,The train will arrive at nine.,,Поезд прибудет в девять.
luggage,noun,Her luggage was very heavy.,,Ее багаж был очень тяжелым.
passport,noun,Show your passport at the border.,,Покажите паспорт на границе.
journey,noun,The journey took six hours.,,Дорога заняла шесть часов.
abroad,adverb,They live abroad now.,,Они сейчас живут за границей.
traffic,noun,There was heavy traffic this morning.,,Сегодня утром было интенсивное движение.
bridge,noun,We walked across the old bridge.,,Мы прошли по старому мосту.
corner,noun,The shop is on the corner.,,Магазин находится на углу.
factory,noun,The factory makes cars.,,Завод производит автомобили.
meeting,noun,The meeting starts at ten.,,Встреча начнется в десять.
salary,noun,She earns a good salary.,,Она получает хорошую зарплату.
manager,noun,The manager was very kind.,,Менеджер был очень любезен.
customer,noun,The customer asked for help.,,Клиент обратился за помощью.
interview,noun,I have a job interview tomorrow.,,Завтра у меня собеседование.
experience,noun,She has a lot of experience.,,У нее большой опыт.
success,noun,His success made everyone happy.,,Его успех порадовал всех.
proud,adjective,I am proud of my sister.,,Я горжусь своей сестрой.
lonely,adjective,He felt lonely in the new city.,,Он чувствовал себя одиноким в новом городе.
surprised,adjective,We were surprised by the news.,,Мы были удивлены этой новостью.
worried,adjective,She is worried about the exam.,,Она беспокоится об экзамене.
bored,adjective,The children were bored at home.,,Детям было скучно дома.
comfortable,adjective,This chair is very comfortable.,,Это кресло очень удобное.
dangerous,adjective,Fast driving is dangerous.,,Быстрая езда опасна.
empty,adjective,The bottle is empty.,,Бутылка пуста.
modern,adjective,They live in a modern house.,,Они живут в современном доме.
quiet,adjective,The village is very quiet.,,Деревня очень тихая.
famous,adjective,He is a famous singer.,,Он известный певец.
foreign,adjective,She speaks three foreign languages.,,Она говорит на трех иностранных языках.
useful,adjective,This book is very useful.,,Эта книга очень полезна.
terrible,adjective,The weather was terrible.,,Погода была ужасной.
improve,verb,I want to improve my English.,,Я хочу улучшить свой английский.
explain,verb,Please explain the rules.,,"Пожалуйста, объясните правила."
describe,verb,Describe your best friend.,,Опиши своего лучшего друга.
decide,verb,We decided to stay home.,,Мы решили остаться дома.
accept,verb,She accepted the gift.,,Она приняла подарок.
borrow,verb,Can I borrow your pen?,,Можно одолжить вашу ручку?
lend,verb,He lent me some money.,,Он одолжил мне немного денег.
repeat,verb,Please repeat the question.,,"Пожалуйста, повторите вопрос."
prepare,verb,She prepared dinner for us.,,Она приготовила нам ужин.
receive,verb,I received your letter.,,Я получил твое письмо.
invite,verb,They invited us to the party.,,Они пригласили нас на вечеринку.
recipe,noun,This is my grandmother's recipe.,,Это рецепт моей бабушки.
dessert,noun,We had ice cream for dessert.,,На десерт у нас было мороженое.
delicious,adjective,The soup was delicious.,,Суп был восхитительным.
bitter,adjective,Black coffee tastes bitter.,,Черный кофе имеет горьковатый вкус.
storm,noun,A storm is coming tonight.,,Сегодня вечером надвигается буря.
climate,noun,The climate here is very dry.,,Климат здесь очень засушливый.
earth,noun,The earth goes around the sun.,,Земля вращается вокруг Солнца.
accident,noun,There was an accident on the main road.,,На главной дороге произошло ДТП.
advice,noun,My teacher gave me good advice.,,Мой учитель дал мне хороший совет.
agree,verb,I agree with your plan.,,Я согласен с твоим планом.
alone,adjective,She lives alone in the city.,,Она живет одна в городе.
apartment,noun,Our apartment is on the fifth floor.,,Наша квартира находится на пятом этаже.
appointment,noun,I have a doctor's appointment at three.,,У меня прием к врачу в три.
arrange,verb,We arranged a meeting for Monday.,,Мы договорились о встрече на понедельник.
article,noun,I read an article about space.,,Я прочитал статью о космосе.
attention,noun,Pay attention to the teacher.,,Обратите внимание на учителя.
beach,noun,The children played on the beach.,,Дети играли на пляже.
believe,verb,I believe her story.,,Я верю ее истории.
belt,noun,He bought a leather belt.,,Он купил кожаный ремень.
boring,adjective,The lecture was long and boring.,,Лекция была длинной и скучной.
camp,noun,We stayed at a camp near the lake.,,Мы остановились в палаточном лагере недалеко от озера.
carry,verb,He carried the heavy bag upstairs.,,Он понес тяжелую сумку наверх.
catch,verb,Catch the ball with both hands.,,Поймайте мяч обеими руками.
century,noun,This mosque was built in the 15th century.,,Эта мечеть была построена в 15 веке.
competition,noun,She won the English competition.,,Она выиграла конкурс по английскому языку.
cousin,noun,My cousin lives in Bukhara.,,Мой двоюродный брат живет в Бухаре.
dictionary,noun,Look up new words in the dictionary.,,Найдите новые слова в словаре.
diet,noun,A healthy diet includes fruit.,,Здоровая диета включает фрукты.
dirty,adjective,Wash your dirty hands.,,Вымойте грязные руки.
engineer,noun,My uncle is an engineer.,,Мой дядя инженер.
exam,noun,The maths exam was difficult.,,Экзамен по математике был трудным.
excited,adjective,The kids are excited about the trip.,,Дети в восторге от поездки.
forget,verb,Don't forget your umbrella.,,Не забудь свой зонтик.
gift,noun,She got many gifts on her birthday.,,На свой день рождения она получила много подарков.
guest,noun,We have guests this evening.,,Сегодня вечером у нас гости.
healthy,adjective,Walking every day keeps you healthy.,,Ежедневная ходьба сохраняет здоровье.
hurry,verb,Hurry or we will miss the bus.,,"Поторопитесь, иначе мы опоздаем на автобус."
island,noun,They sailed to a small island.,,Они приплыли на небольшой остров.
lazy,adjective,The lazy cat sleeps all day.,,Ленивый кот спит весь день.
lucky,adjective,You are lucky to have such friends.,,"Вам повезло, что у вас есть такие друзья."
medicine,noun,Take this medicine twice a day.,,Принимайте это лекарство два раза в день.
message,noun,Send me a message when you arrive.,,"Отправь мне сообщение, когда приедешь."
neighbour,noun,Our neighbour waters our flowers.,,Наш сосед поливает наши цветы.
