headword,pos,example_en,example_uz,example_ru
pull off,phrasal verb,We pulled it off with only a day to prepare.,Atigi bir kun tayyorgarlik bilan ham buni uddaladik.,"Мы справились, хотя на подготовку был всего один день."
put down to,phrasal verb,Doctors put his recovery down to regular exercise.,Shifokorlar uning tuzalishini muntazam mashq bilan izohladi.,Врачи связывают его выздоровление с регулярными физическими упражнениями.
put down to,phrasal verb,She puts her success down to patient teachers.,U muvaffaqiyatining sababini sabrli ustozlar deb biladi.,Она приписывает свой успех терпеливым учителям.
stand for,phrasal verb,This organisation stands for equal access to education.,Bu tashkilot ta'limdan teng foydalanish huquqini himoya qiladi.,Эта организация выступает за равный доступ к образованию.
stand for,phrasal verb,Our brand stands for simplicity and trust.,Brendimiz soddalik va ishonchni ifodalaydi.,Наш бренд означает простоту и доверие.
wind down,phrasal verb,I read for twenty minutes to wind down before bed.,Uxlashdan oldin tinchlanish uchun yigirma daqiqa kitob o'qiyman.,"Я читал двадцать минут, чтобы успокоиться перед сном."
wind down,phrasal verb,The company is winding down the old service.,Kompaniya eski xizmatni bosqichma-bosqich yopmoqda.,Компания сворачивает старый сервис.
wean off,phrasal verb,We are trying to wean the team off paper reports.,Jamoani qog'oz hisobotlardan asta-sekin voz kechirishga harakat qilyapmiz.,Мы пытаемся отучить команду от бумажных отчетов.
wean off,phrasal verb,She weaned herself off sugary drinks.,U shirin ichimliklardan asta-sekin voz kechdi.,Она отучилась от сладких напитков.
ward off,phrasal verb,The company cut costs to ward off bankruptcy.,Kompaniya bankrotlikni oldini olish uchun xarajatlarni qisqartirdi.,"Компания сократила расходы, чтобы предотвратить банкротство."
ward off,phrasal verb,She wore a thick coat to ward off the cold.,U sovuqni daf qilish uchun qalin palto kiydi.,"Она носила толстое пальто, чтобы защититься от холода."
vouch for,phrasal verb,Several clients vouched for the quality of the service.,Bir nechta mijoz xizmat sifatini tasdiqladi.,Несколько клиентов поручились за качество услуги.
vouch for,phrasal verb,Who can vouch for the accuracy of these figures?,Bu raqamlarning aniqligiga kim kafolat bera oladi?,Кто может поручиться за точность этих цифр?
track down,phrasal verb,It took me an hour to track down the error.,Xatoni topishimga bir soat ketdi.,"Мне потребовался час, чтобы найти ошибку."
track down,phrasal verb,Police tracked the missing car down within a day.,Politsiya yo'qolgan mashinani bir kun ichida topdi.,Полиция выследила пропавшую машину в течение суток.
think through,phrasal verb,She thought the plan through before replying.,U javob berishdan oldin rejani yaxshilab o'ylab chiqdi.,"Прежде чем ответить, она обдумала план."
think through,phrasal verb,Think through what you want to say in the interview.,Suhbatda nima demoqchi ekaningizni yaxshilab o'ylab chiqing.,"Продумайте, что вы хотите сказать на собеседовании."
shore up,phrasal verb,They raised funds to shore up the struggling business.,Ular qiynalayotgan biznesni qo'llab-quvvatlash uchun mablag' yig'di.,"Они собрали средства, чтобы поддержать переживающий трудности бизнес."
shore up,phrasal verb,Extra examples will shore up your argument.,Qo'shimcha misollar dalilingizni mustahkamlaydi.,Дополнительные примеры подкрепят ваши аргументы.
shake off,phrasal verb,She took a short walk to shake off her tiredness.,U charchoqni chiqarish uchun qisqa sayr qildi.,"Она совершила короткую прогулку, чтобы избавиться от усталости."
shake off,phrasal verb,The team shook off its slow start and won.,"Jamoa sust boshlanishni ortda qoldirib, g'alaba qozondi.",Команда оправилась после неудачного старта и победила.
see through,phrasal verb,Customers can see through dishonest advertising.,Mijozlar insofsiz reklamani tezda anglab oladi.,Покупатели способны распознать нечестную рекламу.
see through,phrasal verb,I saw through the trick before it was too late.,Kech bo'lishidan oldin hiylani tushunib yetdim.,"Я разгадал трюк, пока не стало слишком поздно."
roll out,phrasal verb,The training programme was rolled out nationwide.,O'quv dasturi butun mamlakat bo'ylab joriy etildi.,Программа обучения была развернута по всей стране.
roll out,phrasal verb,We are rolling out the feature to a small group first.,Funksiyani avval kichik guruh uchun ishga tushiryapmiz.,Сначала мы внедряем эту функцию для небольшой группы.
add insult to injury,idiom,"He missed the deadline and then blamed me, adding insult to injury.","U muddatni o'tkazib yubordi, keyin meni ayblab vaziyatni battar qildi.","Он пропустил срок, а затем усугубил ситуацию, обвинив меня."
add insult to injury,idiom,"The fee increased and, to add insult to injury, the service got worse.","To'lov oshdi, ustiga-ustak xizmat ham yomonlashdi.","Плата выросла, и вдобавок ко всему качество обслуживания ухудшилось."
sit on the fence,idiom,Several voters are still sitting on the fence.,Bir nechta saylovchi hali ham aniq qaror qilmagan.,Некоторые избиратели все еще не определились.
sit on the fence,idiom,She sat on the fence until both offers expired.,Ikkala taklif muddati tugaguncha u ikkilanib yurdi.,"Она колебалась, пока срок действия обоих предложений не истёк."
the best of both worlds,idiom,"This town offers the best of both worlds, nature and city life.",Bu shaharcha tabiat va shahar hayotining eng yaxshi jihatlarini birlashtiradi.,Этот город сочетает в себе лучшее от природы и городской жизни.
the best of both worlds,idiom,The hybrid course gives students the best of both worlds.,Aralash kurs talabalarga ikkala usulning ham afzalliklarini beradi.,Смешанный курс дает студентам преимущества обоих методов.
wrap your head around,idiom,I cannot wrap my head around why they rejected the offer.,Nega ular taklifni rad etganini tushuna olmayapman.,"Я не понимаю, почему они отклонили это предложение."
wrap your head around,idiom,The diagram helps learners wrap their heads around the process.,Diagramma o'quvchilarga jarayonni tushunishga yordam beradi.,Диаграмма помогает учащимся понять процесс.
burn your bridges,idiom,His angry email burned his bridges with the client.,Uning jahldor xati mijoz bilan aloqani butunlay buzdi.,Его гневное письмо полностью разрушило отношения с клиентом.
burn your bridges,idiom,She changed careers without burning her bridges.,U eski aloqalarini buzmasdan kasbini o'zgartirdi.,"Она сменила профессию, не разрывая прежних связей."
cross that bridge when we come to it,idiom,Do not worry about the final interview yet; cross that bridge when you come to it.,"Yakuniy suhbat haqida hozir tashvishlanmang, vaqti kelganda hal qilasiz.","Пока не беспокойтесь об итоговом собеседовании — решите этот вопрос, когда придёт время."
cross that bridge when we come to it,idiom,"Funding may become an issue, but we will cross that bridge later.","Mablag' muammoga aylanishi mumkin, lekin uni keyin hal qilamiz.","Деньги могут стать проблемой, но мы разберемся с этим позже."
a grey area,idiom,This case falls into a legal grey area.,Bu holat huquqiy jihatdan noaniq sohaga kiradi.,Данная ситуация является юридически неоднозначной.
a grey area,idiom,Online privacy is a grey area for many users.,Onlayn maxfiylik ko'p foydalanuvchilar uchun noaniq masala.,Конфиденциальность в Интернете является спорным вопросом для многих пользователей.
get a taste of your own medicine,idiom,"After weeks of interrupting us, she got a taste of her own medicine.","Haftalab gapimizni bo'lgach, u ham xuddi shunday munosabatni ko'rdi.","После того как она неделями перебивала нас, с ней поступили точно так же."
get a taste of your own medicine,idiom,He laughed when his rival got a taste of his own medicine.,Raqibi o'z qilmishiga yarasha javob olganida u kuldi.,"Он засмеялся, когда его оппонент получил достойный ответ."
go back to the drawing board,idiom,"If users dislike the design, it is back to the drawing board.","Foydalanuvchilarga dizayn yoqmasa, uni boshidan qayta ishlaymiz.","Если пользователям не понравится дизайн, мы переработаем его с нуля."
go back to the drawing board,idiom,The rejected proposal sent the team back to the drawing board.,Rad etilgan taklif jamoani rejani qayta tuzishga majbur qildi.,Отклоненное предложение заставило команду пересмотреть план.
keep something under your hat,idiom,She told me the news but asked me to keep it under my hat.,"U menga yangilikni aytdi, lekin uni sir saqlashimni so'radi.","Она сообщила мне новость, но попросила сохранить её в секрете."
keep something under your hat,idiom,Can you keep this idea under your hat until Monday?,Bu g'oyani dushanbagacha sir saqlay olasizmi?,Сможешь сохранить эту идею в секрете до понедельника?
put all your eggs in one basket,idiom,The company put all its eggs in one basket with a single product.,Kompaniya barcha imkoniyatini bitta mahsulotga bog'ladi.,Компания поставила всё на один-единственный продукт.
put all your eggs in one basket,idiom,Diversifying prevents you from putting all your eggs in one basket.,Turli yo'nalishlarga ajratish hamma imkoniyatni bitta variantga bog'lashdan saqlaydi.,Диверсификация помогает не зависеть только от одного варианта.
water under the bridge,idiom,The old mistake is water under the bridge.,Eski xato endi ahamiyatsiz o'tmishdagi voqea.,Старая ошибка теперь стала незначительным событием прошлого.
water under the bridge,idiom,Let us treat the argument as water under the bridge.,"Keling, janjalni o'tib ketgan gap deb hisoblaylik.","Будем считать, что скандал остался в прошлом."
your guess is as good as mine,idiom,Why did they cancel it? Your guess is as good as mine.,Nega uni bekor qilishdi? Men ham bilmayman.,Почему его отменили? Я тоже не знаю.
your guess is as good as mine,idiom,Your guess is as good as mine about the final price.,Yakuniy narx haqida men ham sizdan ortiq bilmayman.,"Я знаю об окончательной цене не больше, чем вы."
have your back against the wall,idiom,She performs well when her back is against the wall.,U tanlovsiz qiyin vaziyatda ham yaxshi ishlaydi.,"Она хорошо работает даже тогда, когда оказывается в крайне трудном положении."
have your back against the wall,idiom,The team fought back with their backs against the wall.,Jamoa o'ta qiyin vaziyatda ham qarshilik ko'rsatdi.,Команда выстояла даже в очень сложной ситуации.
come rain or shine,idiom,"The market opens on Sunday, come rain or shine.",Bozor har qanday sharoitda ham yakshanba kuni ochiladi.,В любом случае рынок откроется в воскресенье.
come rain or shine,idiom,"I will support you, come rain or shine.","Nima bo'lishidan qat'i nazar, sizni qo'llab-quvvatlayman.",Я поддержу тебя несмотря ни на что.
keep a straight face,idiom,She kept a straight face while telling the joke.,U hazilni aytayotganda jiddiy turdi.,"Рассказывая шутку, она сохраняла серьёзное выражение лица."
keep a straight face,idiom,Try to keep a straight face in the meeting.,Yig'ilishda kulmay jiddiy turishga harakat qiling.,Постарайтесь быть серьезным и не смеяться при встрече.
the elephant in the room,idiom,Nobody mentioned the elephant in the room: falling sales.,"Hech kim asosiy muammo, ya'ni savdo pasayishini tilga olmadi.",Никто не упомянул главную проблему – падение продаж.
the elephant in the room,idiom,Let us address the elephant in the room before planning further.,Keyingi rejadan oldin hamma chetlab o'tayotgan asosiy muammoni muhokama qilaylik.,"Прежде чем приступить к следующему плану, давайте обсудим главную проблему, которой все избегают."
by the book,idiom,We handled the complaint by the book.,Shikoyatni rasmiy qoidalarga muvofiq ko'rib chiqdik.,Мы рассмотрели жалобу в соответствии с официальными правилами.
by the book,idiom,"If we do this by the book, there will be no legal risk.","Buni qoidaga muvofiq qilsak, huquqiy xavf bo'lmaydi.","Если делать это по правилу, юридического риска не будет."
take the plunge,idiom,I took the plunge and applied for the scholarship.,"Ikkilanishni yengib, stipendiyaga ariza topshirdim.","Преодолевая колебания, я подал заявку на стипендию."
take the plunge,idiom,They are ready to take the plunge into self-employment.,Ular mustaqil ishlashga katta qadam tashlashga tayyor.,Они готовы сделать большой шаг к самостоятельной работе.
weather the storm,idiom,Strong friendships can weather the storm of disagreement.,Mustahkam do'stlik kelishmovchilikning qiyin davrini yengib o'tadi.,Крепкая дружба преодолевает трудные времена разногласий.
weather the storm,idiom,The team stayed calm and weathered the storm.,"Jamoa xotirjamlikni saqlab, qiyin davrni yengib o'tdi.",Команда сохранила спокойствие и преодолела трудный период.
