headword,pos,example_en,example_uz,example_ru
put your cards on the table,idiom,"Once everyone put their cards on the table, we found a solution.","Hamma fikrini ochiq aytgach, yechim topdik.","Когда все открыто высказались, мы нашли решение."
throw someone under the bus,idiom,He threw his colleague under the bus to avoid criticism.,U tanqiddan qochish uchun hamkasbini aybladi.,"Он подставил коллегу, чтобы избежать критики."
throw someone under the bus,idiom,Do not throw others under the bus when a group project fails.,"Guruh loyihasi muvaffaqiyatsiz bo'lsa, boshqalarni ayblamang.","Не подставляйте других, если групповой проект провалился."
go down in flames,idiom,"Their first launch went down in flames, but they learned from it.","Ularning ilk taqdimoti muvaffaqiyatsiz bo'ldi, ammo ular undan saboq oldi.","Их первый запуск с треском провалился, но они извлекли урок."
go down in flames,idiom,"Without evidence, the argument will go down in flames.",Dalilsiz bu fikr butunlay rad etiladi.,Без доказательств этот аргумент полностью провалится.
keep your ear to the ground,idiom,Good journalists keep their ears to the ground.,Yaxshi jurnalistlar yangiliklarni doim diqqat bilan kuzatadi.,Хорошие журналисты всегда держат руку на пульсе.
keep your ear to the ground,idiom,We kept our ear to the ground and noticed the trend early.,"Biz o'zgarishlarni kuzatib, tendensiyani erta payqadik.",Мы внимательно следили за изменениями и рано заметили тенденцию.
pull the plug,idiom,Investors may pull the plug if costs keep rising.,"Xarajatlar oshaversa, investorlar yordamni to'xtatishi mumkin.","Инвесторы могут прекратить поддержку, если расходы продолжат расти."
pull the plug,idiom,They pulled the plug on the experiment after a safety warning.,Xavfsizlik ogohlantirishidan keyin tajribani to'xtatishdi.,После предупреждения о безопасности эксперимент остановили.
have a lot on your plate,idiom,She has a lot on her plate during exam week.,Imtihon haftasida uning zimmasida juda ko'p ish bor.,Во время экзаменационной недели у неё очень много дел.
have a lot on your plate,idiom,Ask for help when you have too much on your plate.,"Zimmangizda ish haddan tashqari ko'p bo'lsa, yordam so'rang.","Просите о помощи, когда на вас слишком много задач."
be on thin ice,idiom,"You are on thin ice with the client, so check every detail.","Mijoz oldida vaziyatingiz nozik, shuning uchun har bir tafsilotni tekshiring.","Ваше положение перед клиентом шаткое, поэтому проверьте каждую деталь."
be on thin ice,idiom,The policy is on thin ice after the latest report.,So'nggi hisobotdan keyin siyosat jiddiy xavf ostida qoldi.,После последнего отчёта эта политика оказалась под серьёзной угрозой.
go against the grain,idiom,It goes against the grain for me to ignore a mistake.,Xatoni e'tiborsiz qoldirish mening tabiatimga zid.,Мне несвойственно игнорировать ошибку.
go against the grain,idiom,The researcher went against the grain and questioned the theory.,"Tadqiqotchi odatiy fikrga qarshi chiqib, nazariyani shubha ostiga oldi.",Исследователь пошёл против общепринятого мнения и поставил теорию под сомнение.
get your ducks in a row,idiom,We need a week to get our ducks in a row.,Barcha tayyorgarlikni tartibga solish uchun bizga bir hafta kerak.,"Нам нужна неделя, чтобы привести все дела в порядок."
get your ducks in a row,idiom,She got her ducks in a row and delivered the project early.,"U ishlarni tartibga solib, loyihani muddatidan oldin topshirdi.",Она всё организовала и сдала проект досрочно.
