headword,pos,example_en,example_uz
factory,noun,The factory makes shoes.,Zavod poyabzal ishlab chiqaradi.
meeting,noun,The meeting was longer than usual.,Yig'ilish odatdagidan uzoqroq bo'ldi.
meeting,noun,I have an important meeting today.,Bugun muhim uchrashuvim bor.
salary,noun,He spends half his salary on rent.,U maoshining yarmini ijaraga sarflaydi.
salary,noun,They asked for a higher salary.,Ular yuqoriroq maosh so'rashdi.
manager,noun,The manager solved the problem quickly.,Menejer muammoni tez hal qildi.
manager,noun,Ask the manager for a discount.,Chegirma uchun menejerdan so'rang.
customer,noun,The customer was happy with the service.,Mijoz xizmatdan mamnun bo'ldi.
customer,noun,Every customer gets a free cup of tea.,Har bir mijozga bepul choy beriladi.
office,noun,She works in an office downtown.,U shahar markazidagi ofisda ishlaydi.
office,noun,Our office is closed on Sundays.,Ofisimiz yakshanba kunlari yopiq.
interview,noun,The interview lasted thirty minutes.,Suhbat o'ttiz daqiqa davom etdi.
interview,noun,He was nervous before the interview.,U suhbatdan oldin hayajonlandi.
experience,noun,Travelling gives you life experience.,Sayohat sizga hayotiy tajriba beradi.
experience,noun,She has five years of teaching experience.,Uning besh yillik o'qituvchilik tajribasi bor.
success,noun,Hard work leads to success.,Mehnat muvaffaqiyatga olib boradi.
success,noun,We celebrated her success together.,Uning muvaffaqiyatini birga nishonladik.
afraid,adjective,Don't be afraid to ask questions.,Savol berishdan qo'rqmang.
afraid,adjective,The child is afraid of the dark.,Bola qorong'ulikdan qo'rqadi.
proud,adjective,His parents are proud of him.,Ota-onasi undan faxrlanadi.
proud,adjective,We are proud of our country.,Biz mamlakatimizdan faxrlanamiz.
lonely,adjective,She feels lonely without her friends.,U do'stlarisiz o'zini yolg'iz his qiladi.
lonely,adjective,The old house looked lonely.,Eski uy yolg'iz ko'rinardi.
surprised,adjective,I was surprised to see him there.,Uni o'sha yerda ko'rib hayron bo'ldim.
surprised,adjective,She looked surprised by the question.,U savoldan hayron bo'lganday ko'rindi.
worried,adjective,Don't be worried, everything is fine.,Xavotir olmang, hammasi joyida.
worried,adjective,He is worried about his health.,U sog'lig'idan xavotirda.
comfortable,adjective,These shoes are very comfortable.,Bu tufli juda qulay.
comfortable,adjective,Make yourself comfortable.,O'zingizni qulay his qiling.
dangerous,adjective,Swimming here is dangerous.,Bu yerda suzish xavfli.
dangerous,adjective,It is dangerous to text while driving.,Haydash paytida yozish xavfli.
modern,adjective,The city has many modern buildings.,Shaharda ko'plab zamonaviy binolar bor.
modern,adjective,She likes modern music.,U zamonaviy musiqani yoqtiradi.
quiet,adjective,Please be quiet in the library.,Iltimos kutubxonada tinch bo'ling.
quiet,adjective,We found a quiet place to rest.,Dam olish uchun tinch joy topdik.
famous,adjective,Samarkand is famous for its history.,Samarqand tarixi bilan mashhur.
famous,adjective,He wants to become a famous actor.,U mashhur aktyor bo'lishni xohlaydi.
foreign,adjective,Learning a foreign language is useful.,Chet tilini o'rganish foydali.
foreign,adjective,Many foreign tourists visit Khiva.,Ko'plab chet ellik sayyohlar Xivaga keladi.
useful,adjective,This website is very useful for students.,Bu sayt talabalar uchun juda foydali.
useful,adjective,Give me some useful advice.,Menga foydali maslahat bering.
improve,verb,Reading helps you improve your vocabulary.,Kitob o'qish so'z boyligingizni oshirishga yordam beradi.
improve,verb,His health improved after the operation.,Operatsiyadan keyin uning sog'lig'i yaxshilandi.
explain,verb,Can you explain this word to me?,Bu so'zni menga tushuntira olasizmi?
explain,verb,The teacher explained the lesson again.,O'qituvchi darsni yana tushuntirdi.
describe,verb,Describe your hometown in five sentences.,Tug'ilgan shahringizni besh gapda tasvirlang.
describe,verb,It is hard to describe the feeling.,Bu tuyg'uni tasvirlash qiyin.
decide,verb,It is time to decide.,Qaror qabul qilish vaqti keldi.
decide,verb,They decided to travel by train.,Ular poyezdda sayohat qilishga qaror qilishdi.
accept,verb,Please accept our apology.,Iltimos uzrimizni qabul qiling.
accept,verb,He accepted the job offer.,U ish taklifini qabul qildi.
borrow,verb,May I borrow your dictionary?,Lug'atingizni olib tursam bo'ladimi?
borrow,verb,She borrowed a book from the library.,U kutubxonadan kitob oldi.
lend,verb,Can you lend me some money?,Menga bir oz pul qarz bera olasizmi?
lend,verb,I never lend my phone to anyone.,Men telefonimni hech kimga bermayman.
repeat,verb,Could you repeat that more slowly?,Buni sekinroq takrorlay olasizmi?
repeat,verb,Repeat each word after the teacher.,Har bir so'zni o'qituvchidan keyin takrorlang.
prepare,verb,I need time to prepare for the exam.,Imtihonga tayyorlanish uchun vaqt kerak.
prepare,verb,Mother is preparing dinner.,Onam kechki ovqat tayyorlamoqda.
receive,verb,Did you receive my message?,Xabarimni oldingizmi?
receive,verb,She received a gift on her birthday.,U tug'ilgan kunida sovg'a oldi.
invite,verb,Let's invite our neighbours too.,Qo'shnilarimizni ham taklif qilaylik.
invite,verb,He invited me to his house.,U meni uyiga taklif qildi.
recipe,noun,I found the recipe on the internet.,Retseptni internetdan topdim.
recipe,noun,This recipe needs three eggs.,Bu retseptga uchta tuxum kerak.
dessert,noun,What would you like for dessert?,Shirinlikka nima xohlaysiz?
dessert,noun,The dessert was too sweet for me.,Shirinlik men uchun juda shirin edi.
vegetable,noun,Fresh vegetables are good for health.,Yangi sabzavotlar salomatlik uchun foydali.
vegetable,noun,We grow vegetables in our garden.,Biz bog'imizda sabzavot yetishtiramiz.
delicious,adjective,The cake smells delicious.,Tortning hidi mazali.
delicious,adjective,Grandma cooks delicious plov.,Buvim mazali osh pishiradi.
