headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,example_ru,synonyms,antonyms,word_family,common_mistake
sit on the fence,idiom,B2,aniq qaror qilmay ikkilanib turmoq,занимать нейтральную позицию,To avoid choosing between two sides or options.,,21043,idioms,You cannot sit on the fence forever; choose a course.,"Doim ikkilanib turolmaysiz, bir kursni tanlang.",Нельзя колебаться вечно — выберите один курс.,remain undecided,,sit on the fence about/over + noun,Do not change the fixed wording of this idiom.
the best of both worlds,idiom,B2,ikki tomonning ham eng yaxshi jihatlari,лучшее из двух миров,A situation that combines the advantages of two different options.,,21045,idioms,Remote work gives her the best of both worlds: flexibility and teamwork.,Masofaviy ish unga moslashuvchanlik va jamoaviy ishning eng yaxshi tomonlarini beradi.,Удаленная работа дает ей гибкость и лучшие аспекты командной работы.,ideal combination,,have/get the best of both worlds,Do not change the fixed wording of this idiom.
wrap your head around,idiom,B2,murakkab narsani tushunib yetmoq,осмыслить,To manage to understand a difficult or surprising idea.,,21047,idioms,It took me a while to wrap my head around the new system.,Yangi tizimni tushunib olishimga biroz vaqt ketdi.,"Мне потребовалось некоторое время, чтобы освоиться в новой системе.",understand | grasp,,wrap your head around + noun/wh-clause,Do not change the fixed wording of this idiom.
burn your bridges,idiom,C1,ortga qaytish yo'lini yopmoq,сжечь мосты,To damage a relationship or option so badly that you cannot return to it.,,21049,idioms,Do not burn your bridges when you leave a job.,Ishdan ketayotganda ortga qaytish yo'lini yopmang.,"Не блокируйте себе дорогу обратно, когда уходите с работы.",cut ties,,burn your bridges with + person/organisation,Do not change the fixed wording of this idiom.
cross that bridge when we come to it,idiom,B2,muammo kelganda hal qilamiz,"решим проблему, когда она возникнет",Used to postpone worrying about a possible future problem until it happens.,,21051,idioms,What if demand doubles? We will cross that bridge when we come to it.,Talab ikki baravar oshsa-chi? Bu muammoni kelganda hal qilamiz.,"Что, если спрос удвоится? Мы решим эту проблему, когда она появится.",deal with it later,,we'll cross that bridge when we come to it,Do not change the fixed wording of this idiom.
a grey area,idiom,B2,aniq qoida bo'lmagan noaniq masala,серая зона,A situation where the rules or the difference between right and wrong are unclear.,,21053,idioms,The use of personal devices at work remains a grey area.,Ishda shaxsiy qurilmalardan foydalanish hali ham aniq qoidasi yo'q masala.,"Использование личных устройств на работе по-прежнему остается проблемой, не имеющей четкого правила.",unclear case | ambiguous area,,be/remain a grey area,Do not change the fixed wording of this idiom.
get a taste of your own medicine,idiom,C1,o'zing qilgan yomon munosabatni o'zing ko'rmoq,испытать на себе собственное отношение,To experience the same unpleasant treatment that you gave others.,,21055,idioms,The bully finally got a taste of his own medicine.,Bezorining o'zi nihoyat boshqalarga qilgan munosabatni ko'rdi.,"Хулиган наконец испытал на себе то же отношение, которое проявлял к другим.",receive the same treatment,,get a taste of your own medicine,Do not change the fixed wording of this idiom.
go back to the drawing board,idiom,B2,rejani boshidan qayta tuzmoq,вернуться к разработке с нуля,To start planning again because the first attempt failed.,,21057,idioms,"The prototype failed, so we went back to the drawing board.","Prototip ishlamadi, shuning uchun rejani boshidan qayta tuzdik.","Прототип не сработал, поэтому мы перерисовали план с нуля.",start again | rethink,,go back to the drawing board,Do not change the fixed wording of this idiom.
keep something under your hat,idiom,B2,bir narsani sir saqlamoq,держать что-либо в секрете,To keep information secret and not tell anyone.,,21059,idioms,Keep the launch date under your hat for now.,Hozircha ishga tushirish sanasini sir saqlang.,Дату запуска пока держите в секрете.,keep secret,,keep + noun + under your hat,Do not change the fixed wording of this idiom.
put all your eggs in one basket,idiom,B2,hamma imkoniyatni bitta variantga bog'lamoq,положить все яйца в одну корзину,To risk everything by depending on only one plan or investment.,,21061,idioms,Do not put all your eggs in one basket; apply to several universities.,"Hamma umidingizni bitta joyga bog'lamang, bir nechta universitetga topshiring.","Не возлагайте все надежды на одно место, подавайте документы в несколько вузов.",risk everything on one option,,put all your eggs in one basket,Do not change the fixed wording of this idiom.
water under the bridge,idiom,B2,o'tib ketgan va endi ahamiyatsiz voqea,дело прошлое,A past problem that is no longer important or worth arguing about.,,21063,idioms,"We disagreed last year, but it is water under the bridge now.","O'tgan yili kelishmagandik, lekin hozir bu o'tib ketgan gap.","Мы не договорились в прошлом году, но теперь это уже в прошлом.",a thing of the past,,be water under the bridge,Do not change the fixed wording of this idiom.
your guess is as good as mine,idiom,B2,men ham sizdan ortiq bilmayman,я знаю не больше вашего,Used to say that you do not know the answer either.,,21065,idioms,When will the server return? Your guess is as good as mine.,Server qachon ishlaydi? Men ham sizdan ortiq bilmayman.,Когда сервер снова заработает? Я знаю не больше вас.,I have no idea,,your guess is as good as mine,Do not change the fixed wording of this idiom.
have your back against the wall,idiom,C1,juda qiyin va tanlovsiz vaziyatda qolmoq,оказаться в безвыходном положении,To be in a difficult situation with very few choices left.,,21067,idioms,"With the deadline tomorrow, we have our backs against the wall.",Muddat ertaga bo'lgani uchun juda qiyin vaziyatda qoldik.,"Мы находимся в очень сложной ситуации, потому что крайний срок - завтра.",be under severe pressure,,have your back against the wall,Do not change the fixed wording of this idiom.
come rain or shine,idiom,B2,har qanday sharoitda ham,при любых обстоятельствах,No matter what happens or what the conditions are.,,21069,idioms,"She walks every morning, come rain or shine.",U har qanday ob-havoda ham har tong sayr qiladi.,Она гуляет каждое утро при любой погоде.,no matter what,,come rain or shine,Do not change the fixed wording of this idiom.
keep a straight face,idiom,B2,kulmay jiddiy turmoq,сохранять серьёзное лицо,To avoid laughing or showing amusement.,,21071,idioms,I could not keep a straight face during his impression.,Uning taqlidi paytida kulmay turolmadim.,Я не мог перестать смеяться во время его подражания.,remain serious,,keep a straight face,Do not change the fixed wording of this idiom.
the elephant in the room,idiom,B2,"hamma biladigan, lekin gapirmaydigan katta muammo","очевидная проблема, о которой молчат",An obvious and serious problem that people avoid discussing.,,21073,idioms,The budget gap is the elephant in the room.,"Budjetdagi yetishmovchilik hamma biladigan, ammo gapirmaydigan katta muammo.","Дефицит бюджета – большая проблема, о которой все знают, но о которой не говорят.",unspoken issue,,the elephant in the room,Do not change the fixed wording of this idiom.
by the book,idiom,B2,qoidalarga to'liq amal qilib,строго по правилам,Exactly according to the official rules or procedure.,,21075,idioms,The inspector does everything by the book.,Inspektor hamma ishni qoidalarga to'liq amal qilib bajaradi.,Инспектор выполняет всю работу в полном соответствии с правилами.,according to the rules,,do/play/run + something + by the book,Do not change the fixed wording of this idiom.
take the plunge,idiom,B2,ikkilanishni yengib katta qadam tashlamoq,решиться на важный шаг,To finally decide to do something important or risky.,,21077,idioms,"After months of planning, she took the plunge and opened a cafe.",Bir necha oylik rejadan so'ng u katta qadam tashlab kafe ochdi.,После нескольких месяцев планирования она решилась на важный шаг и открыла кафе.,make the leap,,take the plunge and + verb,Do not change the fixed wording of this idiom.
weather the storm,idiom,C1,qiyin davrni bardosh bilan yengib o'tmoq,пережить трудный период,To survive a difficult period or serious problem.,,21079,idioms,The business cut costs to weather the storm.,Biznes qiyin davrni yengib o'tish uchun xarajatlarni qisqartirdi.,"Бизнес сократил расходы, чтобы пережить трудные времена.",survive a crisis | endure,,weather the storm,Do not change the fixed wording of this idiom.
